tourney_year,tourney_order,tourney_type_id,tourney_name,tourney_id,tourney_slug,tourney_year_id,tourney_location,tourney_date,tourney_month,tourney_day,tourney_singles_draw,tourney_conditions,tourney_surface,tourney_fin_commit_raw,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id
1948,1,grandslam,Australian Championships,580,australian-championships,1948-580,"Melbourne, Australia",1948/01/17,1,17,64,Outdoor,Grass,,/en/scores/archive/australian-championships/580/1948/results,Adrian Quist,/en/players/adrian-quist/q964/overview,adrian-quist,q964
1948,2,grandslam,French Championships,520,french-championships,1948-520,"Paris, France",1948/05/19,5,19,128,Outdoor,Clay,,/en/scores/archive/french-championships/520/1948/results,Frank Parker,/en/players/frank-parker/p154/overview,frank-parker,p154
1948,3,grandslam,Wimbledon,540,wimbledon,1948-540,"London, Great Britain",1948/06/21,6,21,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1948/results,Robert Falkenburg,/en/players/robert-falkenburg/f995/overview,robert-falkenburg,f995
1948,4,grandslam,US Championships,560,us-championships,1948-560,"New York, United States",1948/09/10,9,10,128,Outdoor,Grass,,/en/scores/archive/us-championships/560/1948/results,Richard Pancho Gonzales,/en/players/richard-pancho-gonzales/g077/overview,richard-pancho-gonzales,g077
