tourney_year,tourney_order,tourney_type_id,tourney_name,tourney_id,tourney_slug,tourney_year_id,tourney_location,tourney_date,tourney_month,tourney_day,tourney_singles_draw,tourney_conditions,tourney_surface,tourney_fin_commit_raw,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id
1964,1,grandslam,Australian Championships,580,australian-championships,1964-580,"Brisbane, Australia",1964/01/04,1,4,64,Outdoor,Grass,,/en/scores/archive/australian-championships/580/1964/results,Roy Emerson,/en/players/roy-emerson/e030/overview,roy-emerson,e030
1964,2,grandslam,French Championships,520,french-championships,1964-520,"Paris, France",1964/05/19,5,19,128,Outdoor,Clay,,/en/scores/archive/french-championships/520/1964/results,Manuel Santana,/en/players/manuel-santana/s245/overview,manuel-santana,s245
1964,3,grandslam,Wimbledon,540,wimbledon,1964-540,"London, Great Britain",1964/06/22,6,22,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1964/results,Roy Emerson,/en/players/roy-emerson/e030/overview,roy-emerson,e030
1964,4,grandslam,US Championships,560,us-championships,1964-560,"New York, United States",1964/09/02,9,2,128,Outdoor,Grass,,/en/scores/archive/us-championships/560/1964/results,Roy Emerson,/en/players/roy-emerson/e030/overview,roy-emerson,e030
