tourney_year,tourney_order,tourney_type_id,tourney_name,tourney_id,tourney_slug,tourney_year_id,tourney_location,tourney_date,tourney_month,tourney_day,tourney_singles_draw,tourney_conditions,tourney_surface,tourney_fin_commit_raw,currency,tourney_fin_commit,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id,tourney_doubles_draw,doubles_winner_1_name,doubles_winner_1_url,doubles_winner_1_player_slug,doubles_winner_1_player_id,doubles_winner_2_name,doubles_winner_2_url,doubles_winner_2_player_slug,doubles_winner_2_player_id
1972,1,,Auckland,301,auckland,1972-301,"Auckland, New Zealand",1971/12/06,12,6,32,Outdoor,Grass,"$13,000",USD,13000.0,/en/scores/archive/auckland/301/1972/results,Ray Ruffels,/en/players/ray-ruffels/r076/overview,ray-ruffels,r076,,,,,,,,,
1972,2,grandslam,Australian Open,580,australian-open,1972-580,"Melbourne, Australia",1971/12/27,12,27,64,Outdoor,Grass,"$10,000",USD,10000.0,/en/scores/archive/australian-open/580/1972/results,Ken Rosewall,/en/players/ken-rosewall/r075/overview,ken-rosewall,r075,32.0,Owen Davidson,/en/players/owen-davidson/d054/overview,owen-davidson,d054,Ken Rosewall,/en/players/ken-rosewall/r075/overview,ken-rosewall,r075
1972,3,,Sydney,338,sydney,1972-338,"Sydney, Australia",1972/01/03,1,3,64,Outdoor,Grass,"$2,500",USD,2500.0,/en/scores/archive/sydney/338/1972/results,Alex Metreveli,/en/players/alex-metreveli/m271/overview,alex-metreveli,m271,16.0,,,,,,,,
1972,4,,Baltimore,816,baltimore,1972-816,"Baltimore, United States",1972/01/07,1,7,16,Indoor,Carpet,"$7,500",USD,7500.0,/en/scores/archive/baltimore/816/1972/results,Ilie Nastase,/en/players/ilie-nastase/n008/overview,ilie-nastase,n008,8.0,,,,,,,,
1972,5,,Jacksonville,2047,jacksonville,1972-2047,"Jacksonville, United States",1972/01/12,1,12,16,Indoor,Hard,"$15,000",USD,15000.0,/en/scores/archive/jacksonville/2047/1972/results,Jimmy Connors,/en/players/jimmy-connors/c044/overview,jimmy-connors,c044,8.0,,,,,,,,
1972,6,,Adelaide-1,7308,adelaide,1972-7308,"Adelaide, Australia",1972/01/17,1,17,64,Outdoor,Grass,"$3,000",USD,3000.0,/en/scores/archive/adelaide/7308/1972/results,Alex Metreveli,/en/players/alex-metreveli/m271/overview,alex-metreveli,m271,16.0,,,,,,,,
1972,7,,London-1,2064,london,1972-2064,"London, Great Britain",1972/01/18,1,18,16,Indoor,Carpet,"$33,000",USD,33000.0,/en/scores/archive/london/2064/1972/results,Cliff Richey,/en/players/cliff-richey/r071/overview,cliff-richey,r071,16.0,,,,,,,,
1972,8,,Roanoke,2022,roanoke,1972-2022,"Roanoke, United States",1972/01/21,1,21,16,Indoor,Carpet,"$7,500",USD,7500.0,/en/scores/archive/roanoke/2022/1972/results,Jimmy Connors,/en/players/jimmy-connors/c044/overview,jimmy-connors,c044,,,,,,,,,
1972,9,,Omaha,2036,omaha,1972-2036,"Omaha, United States",1972/01/26,1,26,16,Indoor,Carpet,"$15,000",USD,15000.0,/en/scores/archive/omaha/2036/1972/results,Ilie Nastase,/en/players/ilie-nastase/n008/overview,ilie-nastase,n008,16.0,,,,,,,,
1972,10,,Cleveland-1,9215,cleveland,1972-9215,"Cleveland, United States",1972/01/26,1,26,8,Indoor,Hard,"$7,500",USD,7500.0,/en/scores/archive/cleveland/9215/1972/results,Vladimir Zednik,/en/players/vladimir-zednik/z023/overview,vladimir-zednik,z023,,,,,,,,,
1972,11,,Richmond WCT,802,richmond,1972-802,"Richmond, United States",1972/02/02,2,2,32,Indoor,Carpet,"$50,000",USD,50000.0,/en/scores/archive/richmond/802/1972/results,Rod Laver,/en/players/rod-laver/l058/overview,rod-laver,l058,16.0,Tom Okker,/en/players/tom-okker/o032/overview,tom-okker,o032,Marty Riessen,/en/players/marty-riessen/r055/overview,marty-riessen,r055
1972,12,,Des Moines,2061,des-moines,1972-2061,"Des Moines, United States",1972/02/02,2,2,16,Indoor,Carpet,"$15,000",USD,15000.0,/en/scores/archive/des-moines/2061/1972/results,Richard Pancho Gonzales,/en/players/richard-pancho-gonzales/g077/overview,richard-pancho-gonzales,g077,16.0,,,,,,,,
1972,13,,Kansas City-1,2062,kansas-city,1972-2062,"Kansas City, United States",1972/02/02,2,2,16,Indoor,Hard,"$15,000",USD,15000.0,/en/scores/archive/kansas-city/2062/1972/results,Tom Edlefsen,/en/players/tom-edlefsen/e035/overview,tom-edlefsen,e035,16.0,Ilie Nastase,/en/players/ilie-nastase/n008/overview,ilie-nastase,n008,Ion Tiriac,/en/players/ion-tiriac/t040/overview,ion-tiriac,t040
1972,14,,Los Angeles-1,2057,los-angeles,1972-2057,"Los Angeles, United States",1972/02/07,2,7,32,Indoor,Hard,"$40,000",USD,40000.0,/en/scores/archive/los-angeles/2057/1972/results,Andres Gimeno,/en/players/andres-gimeno/g075/overview,andres-gimeno,g075,16.0,Jim McManus,/en/players/jim-mcmanus/m144/overview,jim-mcmanus,m144,Jim Osborne,/en/players/jim-osborne/o046/overview,jim-osborne,o046
1972,15,,Philadelphia WCT,401,philadelphia,1972-401,"Philadelphia, United States",1972/02/08,2,8,32,Indoor,Carpet,"$50,000",USD,50000.0,/en/scores/archive/philadelphia/401/1972/results,Rod Laver,/en/players/rod-laver/l058/overview,rod-laver,l058,16.0,Arthur Ashe,/en/players/arthur-ashe/a063/overview,arthur-ashe,a063,Robert Lutz,/en/players/robert-lutz/l045/overview,robert-lutz,l045
1972,16,,Salisbury,355,salisbury,1972-355,"Salisbury, United States",1972/02/13,2,13,64,Indoor,Carpet,"$50,000",USD,50000.0,/en/scores/archive/salisbury/355/1972/results,Stan Smith,/en/players/stan-smith/s060/overview,stan-smith,s060,32.0,Andres Gimeno,/en/players/andres-gimeno/g075/overview,andres-gimeno,g075,Manuel Orantes,/en/players/manuel-orantes/o017/overview,manuel-orantes,o017
1972,17,,Toronto WCT,302,toronto,1972-302,"Toronto, Canada",1972/02/13,2,13,32,Indoor,Carpet,"$50,000",USD,50000.0,/en/scores/archive/toronto/302/1972/results,Rod Laver,/en/players/rod-laver/l058/overview,rod-laver,l058,16.0,BobCarmichael,/en/players/bob--carmichael/c080/overview,bob--carmichael,c080,Ray Ruffels,/en/players/ray-ruffels/r076/overview,ray-ruffels,r076
1972,18,,New York-1,2058,new-york,1972-2058,"New York, United States",1972/02/21,2,21,64,Indoor,Carpet,"$30,000",USD,30000.0,/en/scores/archive/new-york/2058/1972/results,Stan Smith,/en/players/stan-smith/s060/overview,stan-smith,s060,,,,,,,,,
1972,19,,Hollywood WCT,681,hollywood,1972-681,"Hollywood, United States",1972/02/28,2,28,32,Outdoor,Clay,"$50,000",USD,50000.0,/en/scores/archive/hollywood/681/1972/results,Ken Rosewall,/en/players/ken-rosewall/r075/overview,ken-rosewall,r075,16.0,Tom Okker,/en/players/tom-okker/o032/overview,tom-okker,o032,Marty Riessen,/en/players/marty-riessen/r055/overview,marty-riessen,r055
1972,20,,Hampton,657,hampton,1972-657,"Hampton, United States",1972/02/28,2,28,32,Indoor,Carpet,"$35,000",USD,35000.0,/en/scores/archive/hampton/657/1972/results,Stan Smith,/en/players/stan-smith/s060/overview,stan-smith,s060,16.0,Ilie Nastase,/en/players/ilie-nastase/n008/overview,ilie-nastase,n008,Ion Tiriac,/en/players/ion-tiriac/t040/overview,ion-tiriac,t040
1972,21,,Washington-1,9211,washington,1972-9211,"Washington, United States",1972/03/06,3,6,32,Indoor,Carpet,"$25,000",USD,25000.0,/en/scores/archive/washington/9211/1972/results,Stan Smith,/en/players/stan-smith/s060/overview,stan-smith,s060,16.0,Tom Edlefsen,/en/players/tom-edlefsen/e035/overview,tom-edlefsen,e035,Cliff Richey,/en/players/cliff-richey/r071/overview,cliff-richey,r071
1972,22,,WCT Aetna World Cup,9205,hartford,1972-9205,"Hartford, United States",1972/03/09,3,9,6,Indoor,Carpet,"$30,000",USD,30000.0,/en/scores/archive/hartford/9205/1972/results,,,,,,,,,,,,,
