tourney_year,tourney_order,tourney_type_id,tourney_name,tourney_id,tourney_slug,tourney_year_id,tourney_location,tourney_date,tourney_month,tourney_day,tourney_singles_draw,tourney_conditions,tourney_surface,tourney_fin_commit_raw,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id
1962,1,grandslam,Australian Championships,580,australian-championships,1962-580,"Sydney, Australia",1962/01/05,1,5,64,Outdoor,Grass,,/en/scores/archive/australian-championships/580/1962/results,Rod Laver,/en/players/rod-laver/l058/overview,rod-laver,l058
1962,2,grandslam,French Championships,520,french-championships,1962-520,"Paris, France",1962/05/21,5,21,128,Outdoor,Clay,,/en/scores/archive/french-championships/520/1962/results,Rod Laver,/en/players/rod-laver/l058/overview,rod-laver,l058
1962,3,grandslam,Wimbledon,540,wimbledon,1962-540,"London, Great Britain",1962/06/25,6,25,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1962/results,Rod Laver,/en/players/rod-laver/l058/overview,rod-laver,l058
1962,4,grandslam,US Championships,560,us-championships,1962-560,"New York, United States",1962/08/29,8,29,128,Outdoor,Grass,,/en/scores/archive/us-championships/560/1962/results,Rod Laver,/en/players/rod-laver/l058/overview,rod-laver,l058
