tourney_year,tourney_order,tourney_type_id,tourney_name,tourney_id,tourney_slug,tourney_year_id,tourney_location,tourney_date,tourney_month,tourney_day,tourney_singles_draw,tourney_conditions,tourney_surface,tourney_fin_commit_raw,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id
1954,1,grandslam,Australian Championships,580,australian-championships,1954-580,"Sydney, Australia",1954/01/22,1,22,32,Outdoor,Grass,,/en/scores/archive/australian-championships/580/1954/results,Mervyn Rose,/en/players/mervyn-rose/r163/overview,mervyn-rose,r163
1954,2,grandslam,French Championships,520,french-championships,1954-520,"Paris, France",1954/05/18,5,18,128,Outdoor,Clay,,/en/scores/archive/french-championships/520/1954/results,Tony Trabert,/en/players/tony-trabert/t094/overview,tony-trabert,t094
1954,3,grandslam,Wimbledon,540,wimbledon,1954-540,"London, Great Britain",1954/06/21,6,21,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1954/results,Jaroslav Drobny,/en/players/jaroslav-drobny/d531/overview,jaroslav-drobny,d531
1954,4,grandslam,US Championships,560,us-championships,1954-560,"New York, United States",1954/08/28,8,28,128,Outdoor,Grass,,/en/scores/archive/us-championships/560/1954/results,E. Victor Seixas,/en/players/e.-victor-seixas/s240/overview,e.-victor-seixas,s240
