tourney_year,tourney_order,tourney_type_id,tourney_name,tourney_id,tourney_slug,tourney_year_id,tourney_location,tourney_date,tourney_month,tourney_day,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,tourney_fin_commit_raw,currency,tourney_fin_commit,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id,doubles_winner_1_name,doubles_winner_1_url,doubles_winner_1_player_slug,doubles_winner_1_player_id,doubles_winner_2_name,doubles_winner_2_url,doubles_winner_2_player_slug,doubles_winner_2_player_id
1992,1,,Adelaide,7308,adelaide,1992-7308,Adelaide,1991/12/30,12,30,32.0,16.0,Outdoor,Hard,"$182,500",USD,182500.0,/en/scores/archive/adelaide/7308/1992/results,Goran Ivanisevic,/en/players/goran-ivanisevic/i034/overview,goran-ivanisevic,i034,Goran Ivanisevic,/en/players/goran-ivanisevic/i034/overview,goran-ivanisevic,i034,Marc Rosset,/en/players/marc-rosset/r214/overview,marc-rosset,r214
1992,2,,Wellington,354,wellington,1992-354,Wellington,1991/12/30,12,30,32.0,16.0,Outdoor,Hard,"$182,500",USD,182500.0,/en/scores/archive/wellington/354/1992/results,Jeff Tarango,/en/players/jeff-tarango/t136/overview,jeff-tarango,t136,Jared Palmer,/en/players/jared-palmer/p233/overview,jared-palmer,p233,Jonathan Stark,/en/players/jonathan-stark/s403/overview,jonathan-stark,s403
1992,3,,Sydney-1,338,sydney,1992-338,Sydney,1992/01/06,1,6,32.0,16.0,Outdoor,Hard,"$260,000",USD,260000.0,/en/scores/archive/sydney/338/1992/results,Emilio Sanchez,/en/players/emilio-sanchez/s014/overview,emilio-sanchez,s014,Sergio Casal,/en/players/sergio-casal/c024/overview,sergio-casal,c024,Emilio Sanchez,/en/players/emilio-sanchez/s014/overview,emilio-sanchez,s014
1992,4,,Auckland,301,auckland,1992-301,Auckland,1992/01/06,1,6,32.0,16.0,Outdoor,Hard,"$182,500",USD,182500.0,/en/scores/archive/auckland/301/1992/results,Jaime Yzaga,/en/players/jaime-yzaga/y017/overview,jaime-yzaga,y017,Wayne Ferreira,/en/players/wayne-ferreira/f196/overview,wayne-ferreira,f196,Jim Grabb,/en/players/jim-grabb/g039/overview,jim-grabb,g039
1992,5,grandslam,Australian Open,580,australian-open,1992-580,Melbourne,1992/01/13,1,13,128.0,64.0,Outdoor,Hard,,,,/en/scores/archive/australian-open/580/1992/results,Jim Courier,/en/players/jim-courier/c243/overview,jim-courier,c243,Mark Woodforde,/en/players/mark-woodforde/w035/overview,mark-woodforde,w035,Todd Woodbridge,/en/players/todd-woodbridge/w136/overview,todd-woodbridge,w136
1992,6,,Milan,408,milan,1992-408,Milan,1992/02/03,2,3,32.0,16.0,Indoor,Carpet,"$625,000",USD,625000.0,/en/scores/archive/milan/408/1992/results,Omar Camporese,/en/players/omar-camporese/c009/overview,omar-camporese,c009,Neil Broad,/en/players/neil-broad/b075/overview,neil-broad,b075,David Macpherson,/en/players/david-macpherson/m004/overview,david-macpherson,m004
1992,7,,San Francisco,424,san-francisco,1992-424,San Francisco,1992/02/03,2,3,32.0,16.0,Indoor,Hard,"$260,000",USD,260000.0,/en/scores/archive/san-francisco/424/1992/results,Michael Chang,/en/players/michael-chang/c274/overview,michael-chang,c274,Jim Grabb,/en/players/jim-grabb/g039/overview,jim-grabb,g039,Richey Reneberg,/en/players/richey-reneberg/r016/overview,richey-reneberg,r016
1992,8,,Maceio,201,maceio,1992-201,Maceio,1992/02/03,2,3,32.0,16.0,Outdoor,Clay,"$155,000",USD,155000.0,/en/scores/archive/maceio/201/1992/results,Tomas Carbonell,/en/players/tomas-carbonell/c216/overview,tomas-carbonell,c216,Gabriel Markus,/en/players/gabriel-markus/m412/overview,gabriel-markus,m412,John Sobel,/en/players/john-sobel/s358/overview,john-sobel,s358
1992,9,,Brussels,406,brussels,1992-406,Brussels,1992/02/10,2,10,32.0,16.0,Indoor,Carpet,"$800,000",USD,800000.0,/en/scores/archive/brussels/406/1992/results,Boris Becker,/en/players/boris-becker/b028/overview,boris-becker,b028,Boris Becker,/en/players/boris-becker/b028/overview,boris-becker,b028,John McEnroe,/en/players/john-mcenroe/m047/overview,john-mcenroe,m047
1992,10,,Memphis,402,memphis,1992-402,Memphis,1992/02/10,2,10,48.0,24.0,Indoor,Hard,"$780,000",USD,780000.0,/en/scores/archive/memphis/402/1992/results,MaliVai Washington,/en/players/malivai-washington/w124/overview,malivai-washington,w124,Mark Woodforde,/en/players/mark-woodforde/w035/overview,mark-woodforde,w035,Todd Woodbridge,/en/players/todd-woodbridge/w136/overview,todd-woodbridge,w136
1992,11,,Philadelphia,401,philadelphia,1992-401,Philadelphia,1992/02/17,2,17,48.0,24.0,Indoor,Carpet,"$1,040,000",USD,1040000.0,/en/scores/archive/philadelphia/401/1992/results,Pete Sampras,/en/players/pete-sampras/s402/overview,pete-sampras,s402,Mark Woodforde,/en/players/mark-woodforde/w035/overview,mark-woodforde,w035,Todd Woodbridge,/en/players/todd-woodbridge/w136/overview,todd-woodbridge,w136
1992,12,,Stuttgart-1,357,stuttgart,1992-357,Stuttgart,1992/02/17,2,17,32.0,16.0,Indoor,Carpet,"$1,040,000",USD,1040000.0,/en/scores/archive/stuttgart/357/1992/results,Goran Ivanisevic,/en/players/goran-ivanisevic/i034/overview,goran-ivanisevic,i034,Tom Nijssen,/en/players/tom-nijssen/n018/overview,tom-nijssen,n018,Cyril Suk,/en/players/cyril-suk/s329/overview,cyril-suk,s329
1992,13,,Rotterdam,407,rotterdam,1992-407,Rotterdam,1992/02/24,2,24,32.0,16.0,Indoor,Carpet,"$525,000",USD,525000.0,/en/scores/archive/rotterdam/407/1992/results,Boris Becker,/en/players/boris-becker/b028/overview,boris-becker,b028,Marc-Kevin Goellner,/en/players/marc-kevin-goellner/g252/overview,marc-kevin-goellner,g252,David Prinosil,/en/players/david-prinosil/p273/overview,david-prinosil,p273
