tourney_year,tourney_order,tourney_type_id,tourney_name,tourney_id,tourney_slug,tourney_year_id,tourney_location,tourney_date,tourney_month,tourney_day,tourney_singles_draw,tourney_conditions,tourney_surface,tourney_fin_commit_raw,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id
1949,1,grandslam,Australian Championships,580,australian-championships,1949-580,"Adelaide, Australia",1949/01/22,1,22,32,Outdoor,Grass,,/en/scores/archive/australian-championships/580/1949/results,Frank Sedgman,/en/players/frank-sedgman/s248/overview,frank-sedgman,s248
1949,2,grandslam,French Championships,520,french-championships,1949-520,"Paris, France",1949/05/19,5,19,128,Outdoor,Clay,,/en/scores/archive/french-championships/520/1949/results,Frank Parker,/en/players/frank-parker/p154/overview,frank-parker,p154
1949,3,grandslam,Wimbledon,540,wimbledon,1949-540,"London, Great Britain",1949/06/20,6,20,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1949/results,"Frederick ""Ted"" Schroeder","/en/players/frederick-""ted""-schroeder/sb40/overview","frederick-""ted""-schroeder",sb40
1949,4,grandslam,US Championships,560,us-championships,1949-560,"New York, United States",1949/08/26,8,26,64,Outdoor,Grass,,/en/scores/archive/us-championships/560/1949/results,Richard Pancho Gonzales,/en/players/richard-pancho-gonzales/g077/overview,richard-pancho-gonzales,g077
