tourney_year,tourney_order,tourney_type_id,tourney_name,tourney_id,tourney_slug,tourney_year_id,tourney_location,tourney_date,tourney_month,tourney_day,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,tourney_fin_commit_raw,currency,tourney_fin_commit,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id,doubles_winner_1_name,doubles_winner_1_url,doubles_winner_1_player_slug,doubles_winner_1_player_id,doubles_winner_2_name,doubles_winner_2_url,doubles_winner_2_player_slug,doubles_winner_2_player_id
2016,1,250,Doha,451,doha,2016-451,"Doha, Qatar",2016/01/04,1,4,32,16,Outdoor,Hard,"$1,283,855",USD,1283855.0,/en/scores/archive/doha/451/2016/results,Novak Djokovic,/en/players/novak-djokovic/d643/overview,novak-djokovic,d643,Feliciano Lopez,/en/players/feliciano-lopez/l397/overview,feliciano-lopez,l397,Marc Lopez,/en/players/marc-lopez/l480/overview,marc-lopez,l480
2016,2,250,Chennai,891,chennai,2016-891,"Chennai, India",2016/01/04,1,4,28,16,Outdoor,Hard,"$482,085",USD,482085.0,/en/scores/archive/chennai/891/2016/results,Stan Wawrinka,/en/players/stan-wawrinka/w367/overview,stan-wawrinka,w367,Oliver Marach,/en/players/oliver-marach/m760/overview,oliver-marach,m760,Fabrice Martin,/en/players/fabrice-martin/me04/overview,fabrice-martin,me04
2016,3,250,Brisbane,339,brisbane,2016-339,"Brisbane, Australia",2016/01/04,1,4,28,16,Outdoor,Hard,"$461,330",USD,461330.0,/en/scores/archive/brisbane/339/2016/results,Milos Raonic,/en/players/milos-raonic/r975/overview,milos-raonic,r975,Henri Kontinen,/en/players/henri-kontinen/ka80/overview,henri-kontinen,ka80,John Peers,/en/players/john-peers/pc96/overview,john-peers,pc96
2016,4,250,Auckland,301,auckland,2016-301,"Auckland, New Zealand",2016/01/11,1,11,28,16,Outdoor,Hard,"$520,070",USD,520070.0,/en/scores/archive/auckland/301/2016/results,Roberto Bautista Agut,/en/players/roberto-bautista-agut/bd06/overview,roberto-bautista-agut,bd06,Mate Pavic,/en/players/mate-pavic/pf00/overview,mate-pavic,pf00,Michael Venus,/en/players/michael-venus/v576/overview,michael-venus,v576
2016,5,250,Sydney,338,sydney,2016-338,"Sydney, Australia",2016/01/11,1,11,28,16,Outdoor,Hard,"$461,330",USD,461330.0,/en/scores/archive/sydney/338/2016/results,Viktor Troicki,/en/players/viktor-troicki/t840/overview,viktor-troicki,t840,Jamie Murray,/en/players/jamie-murray/mc81/overview,jamie-murray,mc81,Bruno Soares,/en/players/bruno-soares/s938/overview,bruno-soares,s938
2016,6,grandslam,Australian Open,580,australian-open,2016-580,"Melbourne, Australia",2016/01/18,1,18,128,64,Outdoor,Hard,"A$19,703,000",AUD,19703000.0,/en/scores/archive/australian-open/580/2016/results,Novak Djokovic,/en/players/novak-djokovic/d643/overview,novak-djokovic,d643,Jamie Murray,/en/players/jamie-murray/mc81/overview,jamie-murray,mc81,Bruno Soares,/en/players/bruno-soares/s938/overview,bruno-soares,s938
2016,7,250,Montpellier,375,montpellier,2016-375,"Montpellier, France",2016/02/01,2,1,28,16,Indoor,Hard,"€520,070",EUR,520070.0,/en/scores/archive/montpellier/375/2016/results,Richard Gasquet,/en/players/richard-gasquet/g628/overview,richard-gasquet,g628,Mate Pavic,/en/players/mate-pavic/pf00/overview,mate-pavic,pf00,Michael Venus,/en/players/michael-venus/v576/overview,michael-venus,v576
2016,8,250,Quito,7161,quito,2016-7161,"Quito, Ecuador",2016/02/01,2,1,28,16,Outdoor,Clay,"$520,070",USD,520070.0,/en/scores/archive/quito/7161/2016/results,Victor Estrella Burgos,/en/players/victor-estrella-burgos/e224/overview,victor-estrella-burgos,e224,Pablo Carreno Busta,/en/players/pablo-carreno-busta/cd85/overview,pablo-carreno-busta,cd85,Guillermo Duran,/en/players/guillermo-duran/d787/overview,guillermo-duran,d787
2016,9,250,Sofia,7434,sofia,2016-7434,"Sofia, Bulgaria",2016/02/01,2,1,28,16,Indoor,Hard,"€520,070",EUR,520070.0,/en/scores/archive/sofia/7434/2016/results,Roberto Bautista Agut,/en/players/roberto-bautista-agut/bd06/overview,roberto-bautista-agut,bd06,Wesley Koolhof,/en/players/wesley-koolhof/kc41/overview,wesley-koolhof,kc41,Matwe Middelkoop,/en/players/matwe-middelkoop/mb88/overview,matwe-middelkoop,mb88
2016,10,500,Rotterdam,407,rotterdam,2016-407,"Rotterdam, Netherlands",2016/02/08,2,8,32,16,Indoor,Hard,"€1,722,820",EUR,1722820.0,/en/scores/archive/rotterdam/407/2016/results,Martin Klizan,/en/players/martin-klizan/k966/overview,martin-klizan,k966,Nicolas Mahut,/en/players/nicolas-mahut/m873/overview,nicolas-mahut,m873,Vasek Pospisil,/en/players/vasek-pospisil/pd07/overview,vasek-pospisil,pd07
