tourney_year,tourney_order,tourney_type_id,tourney_name,tourney_id,tourney_slug,tourney_year_id,tourney_location,tourney_date,tourney_month,tourney_day,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,tourney_fin_commit_raw,currency,tourney_fin_commit,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id,doubles_winner_1_name,doubles_winner_1_url,doubles_winner_1_player_slug,doubles_winner_1_player_id,doubles_winner_2_name,doubles_winner_2_url,doubles_winner_2_player_slug,doubles_winner_2_player_id
2014,1,250,Brisbane,339,brisbane,2014-339,"Brisbane, Australia",2013/12/29,12,29,28,16,Outdoor,Hard,"$511,825",USD,511825,/en/scores/archive/brisbane/339/2014/results,Lleyton Hewitt,/en/players/lleyton-hewitt/h432/overview,lleyton-hewitt,h432,Mariusz Fyrstenberg,/en/players/mariusz-fyrstenberg/f364/overview,mariusz-fyrstenberg,f364,Daniel Nestor,/en/players/daniel-nestor/n210/overview,daniel-nestor,n210
2014,2,250,Doha,451,doha,2014-451,"Doha, Qatar",2013/12/30,12,30,32,16,Outdoor,Hard,"$1,195,500",USD,1195500,/en/scores/archive/doha/451/2014/results,Rafael Nadal,/en/players/rafael-nadal/n409/overview,rafael-nadal,n409,Tomas Berdych,/en/players/tomas-berdych/ba47/overview,tomas-berdych,ba47,Jan Hajek,/en/players/jan-hajek/h571/overview,jan-hajek,h571
2014,3,250,Chennai,891,chennai,2014-891,"Chennai, India",2013/12/30,12,30,28,16,Outdoor,Hard,"$459,140",USD,459140,/en/scores/archive/chennai/891/2014/results,Stan Wawrinka,/en/players/stan-wawrinka/w367/overview,stan-wawrinka,w367,Johan Brunstrom,/en/players/johan-brunstrom/b908/overview,johan-brunstrom,b908,Frederik Nielsen,/en/players/frederik-nielsen/n390/overview,frederik-nielsen,n390
2014,4,250,Auckland,301,auckland,2014-301,"Auckland, New Zealand",2014/01/06,1,6,28,16,Outdoor,Hard,"$514,345",USD,514345,/en/scores/archive/auckland/301/2014/results,John Isner,/en/players/john-isner/i186/overview,john-isner,i186,Julian Knowle,/en/players/julian-knowle/k263/overview,julian-knowle,k263,Marcelo Melo,/en/players/marcelo-melo/m919/overview,marcelo-melo,m919
2014,5,250,Sydney,338,sydney,2014-338,"Sydney, Australia",2014/01/06,1,6,28,16,Outdoor,Hard,"$511,825",USD,511825,/en/scores/archive/sydney/338/2014/results,Juan Martin del Potro,/en/players/juan-martin-del-potro/d683/overview,juan-martin-del-potro,d683,Daniel Nestor,/en/players/daniel-nestor/n210/overview,daniel-nestor,n210,Nenad Zimonjic,/en/players/nenad-zimonjic/z072/overview,nenad-zimonjic,z072
2014,6,grandslam,Australian Open,580,australian-open,2014-580,"Melbourne, Australia",2014/01/13,1,13,128,64,Outdoor,Hard,"A$14,982,200",AUD,14982200,/en/scores/archive/australian-open/580/2014/results,Stan Wawrinka,/en/players/stan-wawrinka/w367/overview,stan-wawrinka,w367,Lukasz Kubot,/en/players/lukasz-kubot/k540/overview,lukasz-kubot,k540,Robert Lindstedt,/en/players/robert-lindstedt/l335/overview,robert-lindstedt,l335
2014,7,250,Montpellier,375,montpellier,2014-375,"Montpellier, France",2014/02/03,2,3,28,16,Indoor,Hard,"€485,760",EUR,485760,/en/scores/archive/montpellier/375/2014/results,Gael Monfils,/en/players/gael-monfils/mc65/overview,gael-monfils,mc65,Nikolay Davydenko,/en/players/nikolay-davydenko/d402/overview,nikolay-davydenko,d402,Denis Istomin,/en/players/denis-istomin/i165/overview,denis-istomin,i165
2014,8,250,Vina del Mar,8996,vina-del-mar,2014-8996,"Vina del Mar, Chile",2014/02/03,2,3,28,16,Outdoor,Clay,"$485,760",USD,485760,/en/scores/archive/vina-del-mar/8996/2014/results,Fabio Fognini,/en/players/fabio-fognini/f510/overview,fabio-fognini,f510,Oliver Marach,/en/players/oliver-marach/m760/overview,oliver-marach,m760,Florin Mergea,/en/players/florin-mergea/mb27/overview,florin-mergea,mb27
2014,9,250,Zagreb,2276,zagreb,2014-2276,"Zagreb, Croatia",2014/02/03,2,3,28,16,Indoor,Hard,"€485,760",EUR,485760,/en/scores/archive/zagreb/2276/2014/results,Marin Cilic,/en/players/marin-cilic/c977/overview,marin-cilic,c977,Jean-Julien Rojer,/en/players/jean-julien-rojer/r513/overview,jean-julien-rojer,r513,Horia Tecau,/en/players/horia-tecau/t749/overview,horia-tecau,t749
2014,10,500,Rotterdam,407,rotterdam,2014-407,"Rotterdam, Netherlands",2014/02/10,2,10,32,16,Indoor,Hard,"€1,500,755",EUR,1500755,/en/scores/archive/rotterdam/407/2014/results,Tomas Berdych,/en/players/tomas-berdych/ba47/overview,tomas-berdych,ba47,Michael Llodra,/en/players/michael-llodra/l428/overview,michael-llodra,l428,Nicolas Mahut,/en/players/nicolas-mahut/m873/overview,nicolas-mahut,m873
2014,11,250,Memphis,424,memphis,2014-424,"Memphis, United States",2014/02/10,2,10,28,16,Indoor,Hard,"$647,675",USD,647675,/en/scores/archive/memphis/424/2014/results,Kei Nishikori,/en/players/kei-nishikori/n552/overview,kei-nishikori,n552,Eric Butorac,/en/players/eric-butorac/bc35/overview,eric-butorac,bc35,Raven Klaasen,/en/players/raven-klaasen/k609/overview,raven-klaasen,k609
2014,12,250,Buenos Aires,506,buenos-aires,2014-506,"Buenos Aires, Argentina",2014/02/10,2,10,32,16,Outdoor,Clay,"$567,760",USD,567760,/en/scores/archive/buenos-aires/506/2014/results,David Ferrer,/en/players/david-ferrer/f401/overview,david-ferrer,f401,Marcel Granollers,/en/players/marcel-granollers/g710/overview,marcel-granollers,g710,Marc Lopez,/en/players/marc-lopez/l480/overview,marc-lopez,l480
