tourney_year,tourney_order,tourney_type_id,tourney_name,tourney_id,tourney_slug,tourney_year_id,tourney_location,tourney_date,tourney_month,tourney_day,tourney_doubles_draw,tourney_conditions,tourney_surface,tourney_fin_commit_raw,currency,tourney_fin_commit,tourney_url_suffix,doubles_winner_1_name,doubles_winner_1_url,doubles_winner_1_player_slug,doubles_winner_1_player_id,doubles_winner_2_name,doubles_winner_2_url,doubles_winner_2_player_slug,doubles_winner_2_player_id,tourney_singles_draw,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id
1984,1,,WCT Doubles Finals,601,london,1984-601,London,1984/01/03,1,3,8.0,Indoor,Carpet,"$200,000",USD,200000,/en/scores/archive/london/601/1984/results,Pavel Slozil,/en/players/pavel-slozil/s056/overview,pavel-slozil,s056,Tomas Smid,/en/players/tomas-smid/s058/overview,tomas-smid,s058,,,,,
1984,2,,Auckland,301,auckland,1984-301,Auckland,1984/01/09,1,9,16.0,Outdoor,Hard,"$88,500",USD,88500,/en/scores/archive/auckland/301/1984/results,Brian Levine,/en/players/brian-levine/l022/overview,brian-levine,l022,John Van Nostrand,/en/players/john-van-nostrand/v050/overview,john-van-nostrand,v050,32.0,Danny Saltz,/en/players/danny-saltz/s008/overview,danny-saltz,s008
1984,3,,Philadelphia,401,philadelphia,1984-401,Philadelphia,1984/01/23,1,23,24.0,Indoor,Carpet,"$375,000",USD,375000,/en/scores/archive/philadelphia/401/1984/results,Peter Fleming,/en/players/peter-fleming/f030/overview,peter-fleming,f030,John McEnroe,/en/players/john-mcenroe/m047/overview,john-mcenroe,m047,48.0,John McEnroe,/en/players/john-mcenroe/m047/overview,john-mcenroe,m047
1984,4,,Richmond WCT,802,richmond,1984-802,Richmond,1984/02/01,2,1,8.0,Indoor,Carpet,"$100,000",USD,100000,/en/scores/archive/richmond/802/1984/results,John McEnroe,/en/players/john-mcenroe/m047/overview,john-mcenroe,m047,Patrick McEnroe,/en/players/patrick-mcenroe/m048/overview,patrick-mcenroe,m048,16.0,John McEnroe,/en/players/john-mcenroe/m047/overview,john-mcenroe,m047
1984,5,,Memphis,402,memphis,1984-402,Memphis,1984/02/06,2,6,24.0,Indoor,Carpet,"$315,000",USD,315000,/en/scores/archive/memphis/402/1984/results,Fritz Buehning,/en/players/fritz-buehning/b079/overview,fritz-buehning,b079,Peter Fleming,/en/players/peter-fleming/f030/overview,peter-fleming,f030,48.0,Jimmy Connors,/en/players/jimmy-connors/c044/overview,jimmy-connors,c044
1984,6,,La Quinta,404,la-quinta,1984-404,La Quinta,1984/02/13,2,13,28.0,Outdoor,Hard,"$265,000",USD,265000,/en/scores/archive/la-quinta/404/1984/results,Bernard Mitton,/en/players/bernard-mitton/m072/overview,bernard-mitton,m072,Butch Walts,/en/players/butch-walts/w002/overview,butch-walts,w002,56.0,Jimmy Connors,/en/players/jimmy-connors/c044/overview,jimmy-connors,c044
1984,7,,Madrid,309,madrid,1984-309,Madrid,1984/02/27,2,27,16.0,Indoor,Carpet,"$265,000",USD,265000,/en/scores/archive/madrid/309/1984/results,Peter Fleming,/en/players/peter-fleming/f030/overview,peter-fleming,f030,John McEnroe,/en/players/john-mcenroe/m047/overview,john-mcenroe,m047,32.0,John McEnroe,/en/players/john-mcenroe/m047/overview,john-mcenroe,m047
1984,8,,Brussels,406,brussels,1984-406,Brussels,1984/03/05,3,5,16.0,Indoor,Carpet,"$315,000",USD,315000,/en/scores/archive/brussels/406/1984/results,Tim Gullikson,/en/players/tim-gullikson/g048/overview,tim-gullikson,g048,Tom Gullikson,/en/players/tom-gullikson/g049/overview,tom-gullikson,g049,32.0,John McEnroe,/en/players/john-mcenroe/m047/overview,john-mcenroe,m047
1984,9,,Rotterdam,407,rotterdam,1984-407,Rotterdam,1984/03/12,3,12,16.0,Indoor,Carpet,"$315,000",USD,315000,/en/scores/archive/rotterdam/407/1984/results,Kevin Curren,/en/players/kevin-curren/c057/overview,kevin-curren,c057,Wojtek Fibak,/en/players/wojtek-fibak/f020/overview,wojtek-fibak,f020,32.0,,,,
1984,10,,Metz,7305,metz,1984-7305,Metz,1984/03/12,3,12,16.0,Indoor,Hard,"$88,500",USD,88500,/en/scores/archive/metz/7305/1984/results,,,,,,,,,32.0,Ramesh Krishnan,/en/players/ramesh-krishnan/k024/overview,ramesh-krishnan,k024
1984,11,,Milan,408,milan,1984-408,Milan,1984/03/19,3,19,16.0,Indoor,Carpet,"$435,000",USD,435000,/en/scores/archive/milan/408/1984/results,Pavel Slozil,/en/players/pavel-slozil/s056/overview,pavel-slozil,s056,Tomas Smid,/en/players/tomas-smid/s058/overview,tomas-smid,s058,32.0,Stefan Edberg,/en/players/stefan-edberg/e004/overview,stefan-edberg,e004
1984,12,,Boca Raton,718,boca-raton,1984-718,Boca Raton,1984/03/26,3,26,16.0,Outdoor,Hard,"$315,000",USD,315000,/en/scores/archive/boca-raton/718/1984/results,Mark Edmondson,/en/players/mark-edmondson/e005/overview,mark-edmondson,e005,Sherwood Stewart,/en/players/sherwood-stewart/s082/overview,sherwood-stewart,s082,32.0,Jimmy Connors,/en/players/jimmy-connors/c044/overview,jimmy-connors,c044
1984,13,,Houston WCT,405,houston,1984-405,Houston,1984/04/02,4,2,8.0,Outdoor,Clay,"$250,000",USD,250000,/en/scores/archive/houston/405/1984/results,Pat Cash,/en/players/pat-cash/c023/overview,pat-cash,c023,Paul McNamee,/en/players/paul-mcnamee/m050/overview,paul-mcnamee,m050,16.0,Mark Dickson,/en/players/mark-dickson/d028/overview,mark-dickson,d028
1984,14,,Bari,306,bari,1984-306,Bari,1984/04/02,4,2,16.0,Outdoor,Clay,"$88,500",USD,88500,/en/scores/archive/bari/306/1984/results,Stanislav Birner,/en/players/stanislav-birner/b046/overview,stanislav-birner,b046,Libor Pimek,/en/players/libor-pimek/p032/overview,libor-pimek,p032,32.0,Henrik Sundstrom,/en/players/henrik-sundstrom/s097/overview,henrik-sundstrom,s097
1984,15,,Luxembourg,431,luxembourg,1984-431,Luxembourg,1984/04/09,4,9,16.0,Indoor,Carpet,"$265,000",USD,265000,/en/scores/archive/luxembourg/431/1984/results,Anders Jarryd,/en/players/anders-jarryd/j006/overview,anders-jarryd,j006,Tomas Smid,/en/players/tomas-smid/s058/overview,tomas-smid,s058,32.0,Ivan Lendl,/en/players/ivan-lendl/l018/overview,ivan-lendl,l018
1984,16,,Nice,6120,nice,1984-6120,Nice,1984/04/09,4,9,16.0,Outdoor,Clay,"$88,500",USD,88500,/en/scores/archive/nice/6120/1984/results,Jan Gunnarsson,/en/players/jan-gunnarsson/g053/overview,jan-gunnarsson,g053,Michael Mortensen,/en/players/michael-mortensen/m090/overview,michael-mortensen,m090,32.0,Andres Gomez,/en/players/andres-gomez/g023/overview,andres-gomez,g023
1984,17,,Monte Carlo,410,monte-carlo,1984-410,Monte Carlo,1984/04/16,4,16,16.0,Outdoor,Clay,"$405,000",USD,405000,/en/scores/archive/monte-carlo/410/1984/results,Mark Edmondson,/en/players/mark-edmondson/e005/overview,mark-edmondson,e005,Sherwood Stewart,/en/players/sherwood-stewart/s082/overview,sherwood-stewart,s082,32.0,Henrik Sundstrom,/en/players/henrik-sundstrom/s097/overview,henrik-sundstrom,s097
1984,18,,Aix-en-Provence,342,aix-en-provence,1984-342,Aix-en-Provence,1984/04/23,4,23,16.0,Outdoor,Clay,"$88,500",USD,88500,/en/scores/archive/aix-en-provence/342/1984/results,Pat Cash,/en/players/pat-cash/c023/overview,pat-cash,c023,Paul McNamee,/en/players/paul-mcnamee/m050/overview,paul-mcnamee,m050,32.0,Juan Aguilera,/en/players/juan-aguilera/a007/overview,juan-aguilera,a007
1984,19,,WCT Finals,610,dallas,1984-610,Dallas,1984/04/24,4,24,,Indoor,Carpet,"$300,000",USD,300000,/en/scores/archive/dallas/610/1984/results,,,,,,,,,16.0,John McEnroe,/en/players/john-mcenroe/m047/overview,john-mcenroe,m047
1984,20,,Forest Hills WCT,415,forest-hills,1984-415,"Forest Hills, United States",1984/05/06,5,6,32.0,Outdoor,Clay,"$500,000",USD,500000,/en/scores/archive/forest-hills/415/1984/results,David Dowlen,/en/players/david-dowlen/d038/overview,david-dowlen,d038,Nduka Odizor,/en/players/nduka-odizor/o006/overview,nduka-odizor,o006,64.0,John McEnroe,/en/players/john-mcenroe/m047/overview,john-mcenroe,m047
1984,21,,Hamburg,414,hamburg,1984-414,Hamburg,1984/05/07,5,7,28.0,Outdoor,Clay,"$315,000",USD,315000,/en/scores/archive/hamburg/414/1984/results,Stefan Edberg,/en/players/stefan-edberg/e004/overview,stefan-edberg,e004,Anders Jarryd,/en/players/anders-jarryd/j006/overview,anders-jarryd,j006,56.0,Juan Aguilera,/en/players/juan-aguilera/a007/overview,juan-aguilera,a007
1984,22,,Florence,310,florence,1984-310,Florence,1984/05/07,5,7,16.0,Outdoor,Clay,"$88,500",USD,88500,/en/scores/archive/florence/310/1984/results,Mark Dickson,/en/players/mark-dickson/d028/overview,mark-dickson,d028,Chip Hooper,/en/players/chip-hooper/h033/overview,chip-hooper,h033,32.0,Francesco Cancellotti,/en/players/francesco-cancellotti/c013/overview,francesco-cancellotti,c013
1984,23,,Rome,416,rome,1984-416,Rome,1984/05/13,5,13,32.0,Outdoor,Clay,"$375,000",USD,375000,/en/scores/archive/rome/416/1984/results,Ken Flach,/en/players/ken-flach/f029/overview,ken-flach,f029,Robert Seguso,/en/players/robert-seguso/s034/overview,robert-seguso,s034,64.0,Andres Gomez,/en/players/andres-gomez/g023/overview,andres-gomez,g023
1984,24,,Munich,308,munich,1984-308,Munich,1984/05/14,5,14,16.0,Outdoor,Clay,"$88,500",USD,88500,/en/scores/archive/munich/308/1984/results,Boris Becker,/en/players/boris-becker/b028/overview,boris-becker,b028,Wojtek Fibak,/en/players/wojtek-fibak/f020/overview,wojtek-fibak,f020,32.0,Libor Pimek,/en/players/libor-pimek/p032/overview,libor-pimek,p032
1984,25,,World Team Cup,615,dusseldorf,1984-615,Dusseldorf,1984/05/21,5,21,8.0,Outdoor,Clay,"$531,000",USD,531000,/en/scores/archive/dusseldorf/615/1984/results,Peter Fleming,/en/players/peter-fleming/f030/overview,peter-fleming,f030,John McEnroe,/en/players/john-mcenroe/m047/overview,john-mcenroe,m047,16.0,John McEnroe,/en/players/john-mcenroe/m047/overview,john-mcenroe,m047
1984,26,grandslam,Roland Garros,520,roland-garros,1984-520,Paris,1984/05/28,5,28,64.0,Outdoor,Clay,"$1,150,000",USD,1150000,/en/scores/archive/roland-garros/520/1984/results,Henri Leconte,/en/players/henri-leconte/l014/overview,henri-leconte,l014,Yannick Noah,/en/players/yannick-noah/n022/overview,yannick-noah,n022,128.0,Ivan Lendl,/en/players/ivan-lendl/l018/overview,ivan-lendl,l018
1984,27,,London / Queen's Club,311,london,1984-311,London,1984/06/11,6,11,32.0,Outdoor,Grass,"$250,000",USD,250000,/en/scores/archive/london/311/1984/results,Pat Cash,/en/players/pat-cash/c023/overview,pat-cash,c023,Paul McNamee,/en/players/paul-mcnamee/m050/overview,paul-mcnamee,m050,64.0,John McEnroe,/en/players/john-mcenroe/m047/overview,john-mcenroe,m047
1984,28,,Bristol,313,bristol,1984-313,Bristol,1984/06/18,6,18,32.0,Outdoor,Grass,"$117,000",USD,117000,/en/scores/archive/bristol/313/1984/results,Larry Stefanki,/en/players/larry-stefanki/s081/overview,larry-stefanki,s081,Robert Van't Hof,/en/players/robert-van't-hof/v008/overview,robert-van't-hof,v008,64.0,Johan Kriek,/en/players/johan-kriek/k022/overview,johan-kriek,k022
1984,29,grandslam,Wimbledon,540,wimbledon,1984-540,London,1984/06/25,6,25,64.0,Outdoor,Grass,"$1,125,164",USD,1125164,/en/scores/archive/wimbledon/540/1984/results,Peter Fleming,/en/players/peter-fleming/f030/overview,peter-fleming,f030,John McEnroe,/en/players/john-mcenroe/m047/overview,john-mcenroe,m047,128.0,John McEnroe,/en/players/john-mcenroe/m047/overview,john-mcenroe,m047
1984,30,,Gstaad,314,gstaad,1984-314,Gstaad,1984/07/09,7,9,16.0,Outdoor,Clay,"$150,000",USD,150000,/en/scores/archive/gstaad/314/1984/results,Heinz Gunthardt,/en/players/heinz-gunthardt/g050/overview,heinz-gunthardt,g050,Markus Gunthardt,/en/players/markus-gunthardt/g060/overview,markus-gunthardt,g060,32.0,Joakim Nystrom,/en/players/joakim-nystrom/n030/overview,joakim-nystrom,n030
1984,31,,Newport,315,newport,1984-315,Newport,1984/07/09,7,9,16.0,Outdoor,Grass,"$117,000",USD,117000,/en/scores/archive/newport/315/1984/results,David Graham,/en/players/david-graham/g037/overview,david-graham,g037,Laurie Warder,/en/players/laurie-warder/w007/overview,laurie-warder,w007,32.0,Vijay Amritraj,/en/players/vijay-amritraj/a022/overview,vijay-amritraj,a022
1984,32,,Boston,417,boston,1984-417,Boston,1984/07/16,7,16,32.0,Outdoor,Clay,"$265,000",USD,265000,/en/scores/archive/boston/417/1984/results,Ken Flach,/en/players/ken-flach/f029/overview,ken-flach,f029,Robert Seguso,/en/players/robert-seguso/s034/overview,robert-seguso,s034,64.0,Aaron Krickstein,/en/players/aaron-krickstein/k023/overview,aaron-krickstein,k023
1984,33,,Stuttgart,321,stuttgart,1984-321,Stuttgart,1984/07/16,7,16,16.0,Outdoor,Clay,"$117,000",USD,117000,/en/scores/archive/stuttgart/321/1984/results,Andreas Maurer,/en/players/andreas-maurer/m036/overview,andreas-maurer,m036,Sandy Mayer,/en/players/sandy-mayer/m039/overview,sandy-mayer,m039,32.0,Henri Leconte,/en/players/henri-leconte/l014/overview,henri-leconte,l014
1984,34,,Bastad,316,bastad,1984-316,Bastad,1984/07/16,7,16,16.0,Outdoor,Clay,"$88,500",USD,88500,/en/scores/archive/bastad/316/1984/results,Jan Gunnarsson,/en/players/jan-gunnarsson/g053/overview,jan-gunnarsson,g053,Michael Mortensen,/en/players/michael-mortensen/m090/overview,michael-mortensen,m090,32.0,Henrik Sundstrom,/en/players/henrik-sundstrom/s097/overview,henrik-sundstrom,s097
1984,35,,Washington,418,washington,1984-418,Washington,1984/07/23,7,23,28.0,Outdoor,Clay,"$265,000",USD,265000,/en/scores/archive/washington/418/1984/results,Pavel Slozil,/en/players/pavel-slozil/s056/overview,pavel-slozil,s056,Ferdi Taygan,/en/players/ferdi-taygan/t037/overview,ferdi-taygan,t037,56.0,Andres Gomez,/en/players/andres-gomez/g023/overview,andres-gomez,g023
1984,36,,Kitzbuhel,319,kitzbuhel,1984-319,Kitzbuhel,1984/07/23,7,23,24.0,Outdoor,Clay,"$117,000",USD,117000,/en/scores/archive/kitzbuhel/319/1984/results,Henri Leconte,/en/players/henri-leconte/l014/overview,henri-leconte,l014,Pascal Portes,/en/players/pascal-portes/p042/overview,pascal-portes,p042,48.0,Jose Higueras,/en/players/jose-higueras/h019/overview,jose-higueras,h019
1984,37,,Hilversum,317,hilversum,1984-317,Hilversum,1984/07/23,7,23,16.0,Outdoor,Clay,"$88,500",USD,88500,/en/scores/archive/hilversum/317/1984/results,Anders Jarryd,/en/players/anders-jarryd/j006/overview,anders-jarryd,j006,Tomas Smid,/en/players/tomas-smid/s058/overview,tomas-smid,s058,32.0,Anders Jarryd,/en/players/anders-jarryd/j006/overview,anders-jarryd,j006
1984,38,,North Conway,705,north-conway,1984-705,North Conway,1984/07/30,7,30,32.0,Outdoor,Clay,"$265,000",USD,265000,/en/scores/archive/north-conway/705/1984/results,Brian Gottfried,/en/players/brian-gottfried/g029/overview,brian-gottfried,g029,Tomas Smid,/en/players/tomas-smid/s058/overview,tomas-smid,s058,64.0,Joakim Nystrom,/en/players/joakim-nystrom/n030/overview,joakim-nystrom,n030
