tourney_year,tourney_order,tourney_type_id,tourney_name,tourney_id,tourney_slug,tourney_year_id,tourney_location,tourney_date,tourney_month,tourney_day,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,tourney_fin_commit_raw,currency,tourney_fin_commit,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id,doubles_winner_1_name,doubles_winner_1_url,doubles_winner_1_player_slug,doubles_winner_1_player_id,doubles_winner_2_name,doubles_winner_2_url,doubles_winner_2_player_slug,doubles_winner_2_player_id
1975,1,grandslam,Australian Open,580,australian-open,1975-580,"Melbourne, Australia",1974/12/26,12,26,64.0,32.0,Outdoor,Grass,"$62,500",USD,62500,/en/scores/archive/australian-open/580/1975/results,John Newcombe,/en/players/john-newcombe/n044/overview,john-newcombe,n044,John Alexander,/en/players/john-alexander/a014/overview,john-alexander,a014,Phil Dent,/en/players/phil-dent/d074/overview,phil-dent,d074
1975,2,,Auckland,301,auckland,1975-301,"Auckland, New Zealand",1975/01/06,1,6,32.0,16.0,Outdoor,Grass,"$25,000",USD,25000,/en/scores/archive/auckland/301/1975/results,Onny Parun,/en/players/onny-parun/p070/overview,onny-parun,p070,BobCarmichael,/en/players/bob--carmichael/c080/overview,bob--carmichael,c080,Ray Ruffels,/en/players/ray-ruffels/r076/overview,ray-ruffels,r076
1975,3,,San Juan WCT,9208,san-juan,1975-9208,"San Juan, Puerto Rico",1975/01/13,1,13,16.0,,Outdoor,Clay,"$60,000",USD,60000,/en/scores/archive/san-juan/9208/1975/results,Rod Laver,/en/players/rod-laver/l058/overview,rod-laver,l058,,,,,,,,
1975,4,,Bahamas,2021,freeport,1975-2021,"Freeport, Bahamas",1975/01/13,1,13,32.0,,Outdoor,Hard,"$50,000",USD,50000,/en/scores/archive/freeport/2021/1975/results,Jimmy Connors,/en/players/jimmy-connors/c044/overview,jimmy-connors,c044,,,,,,,,
1975,5,,Baltimore,816,baltimore,1975-816,"Baltimore, United States",1975/01/13,1,13,16.0,8.0,Indoor,Carpet,"$30,000",USD,30000,/en/scores/archive/baltimore/816/1975/results,Brian Gottfried,/en/players/brian-gottfried/g029/overview,brian-gottfried,g029,Dick Crealy,/en/players/dick-crealy/c093/overview,dick-crealy,c093,Ray Ruffels,/en/players/ray-ruffels/r076/overview,ray-ruffels,r076
1975,6,,Philadelphia WCT,401,philadelphia,1975-401,"Philadelphia, United States",1975/01/20,1,20,128.0,64.0,Indoor,Carpet,"$115,000",USD,115000,/en/scores/archive/philadelphia/401/1975/results,Marty Riessen,/en/players/marty-riessen/r055/overview,marty-riessen,r055,Brian Gottfried,/en/players/brian-gottfried/g029/overview,brian-gottfried,g029,Raul Ramirez,/en/players/raul-ramirez/r065/overview,raul-ramirez,r065
1975,7,,Birmingham,650,birmingham,1975-650,"Birmingham, United States",1975/01/20,1,20,32.0,16.0,Indoor,Carpet,"$25,000",USD,25000,/en/scores/archive/birmingham/650/1975/results,Jimmy Connors,/en/players/jimmy-connors/c044/overview,jimmy-connors,c044,Jurgen Fassbender,/en/players/jurgen-fassbender/f068/overview,jurgen-fassbender,f068,Karl Meiler,/en/players/karl-meiler/m055/overview,karl-meiler,m055
1975,8,,Richmond WCT,802,richmond,1975-802,"Richmond, United States",1975/01/27,1,27,32.0,16.0,Indoor,Carpet,"$60,000",USD,60000,/en/scores/archive/richmond/802/1975/results,Bjorn Borg,/en/players/bjorn-borg/b058/overview,bjorn-borg,b058,Hans Kary,/en/players/hans-kary/k041/overview,hans-kary,k041,Fred McNair IV,/en/players/fred-mcnair-iv/m146/overview,fred-mcnair-iv,m146
1975,9,,Dayton,716,dayton,1975-716,"Dayton, United States",1975/01/28,1,28,16.0,8.0,Indoor,Carpet,"$30,000",USD,30000,/en/scores/archive/dayton/716/1975/results,Brian Gottfried,/en/players/brian-gottfried/g029/overview,brian-gottfried,g029,Ray Ruffels,/en/players/ray-ruffels/r076/overview,ray-ruffels,r076,Allan Stone,/en/players/allan-stone/s148/overview,allan-stone,s148
1975,10,,Roanoke,2022,roanoke,1975-2022,"Roanoke, United States",1975/01/29,1,29,32.0,16.0,Indoor,Carpet,"$25,000",USD,25000,/en/scores/archive/roanoke/2022/1975/results,Roger Taylor,/en/players/roger-taylor/t050/overview,roger-taylor,t050,Vitas Gerulaitis,/en/players/vitas-gerulaitis/g008/overview,vitas-gerulaitis,g008,Sandy Mayer,/en/players/sandy-mayer/m039/overview,sandy-mayer,m039
1975,11,,St. Petersburg WCT,1603,st-petersburg,1975-1603,"St. Petersburg, United States",1975/02/03,2,3,32.0,16.0,Indoor,Carpet,"$60,000",USD,60000,/en/scores/archive/st-petersburg/1603/1975/results,Raul Ramirez,/en/players/raul-ramirez/r065/overview,raul-ramirez,r065,Brian Gottfried,/en/players/brian-gottfried/g029/overview,brian-gottfried,g029,Raul Ramirez,/en/players/raul-ramirez/r065/overview,raul-ramirez,r065
1975,12,,Basel,328,reinach,1975-328,"Reinach, Switzerland",1975/02/03,2,3,32.0,16.0,Indoor,Hard,"$25,000",USD,25000,/en/scores/archive/reinach/328/1975/results,Jiri Hrebec,/en/players/jiri-hrebec/h066/overview,jiri-hrebec,h066,,,,,,,,
1975,13,,Little Rock,660,little-rock,1975-660,"Little Rock, United States",1975/02/03,2,3,32.0,16.0,Indoor,Hard,"$25,000",USD,25000,/en/scores/archive/little-rock/660/1975/results,Billy Martin,/en/players/billy-martin/m138/overview,billy-martin,m138,Marcelo Lara,/en/players/marcelo-lara/l057/overview,marcelo-lara,l057,Barry Phillips-Moore,/en/players/barry-phillips-moore/p078/overview,barry-phillips-moore,p078
1975,14,,Bologna WCT,312,bologna,1975-312,"Bologna, Italy",1975/02/06,2,6,32.0,16.0,Indoor,Carpet,"$60,000",USD,60000,/en/scores/archive/bologna/312/1975/results,Bjorn Borg,/en/players/bjorn-borg/b058/overview,bjorn-borg,b058,Paolo Bertolucci,/en/players/paolo-bertolucci/b129/overview,paolo-bertolucci,b129,Adriano Panatta,/en/players/adriano-panatta/p059/overview,adriano-panatta,p059
1975,15,,Toronto WCT,302,toronto,1975-302,"Toronto, Canada",1975/02/10,2,10,32.0,16.0,Indoor,Carpet,"$60,000",USD,60000,/en/scores/archive/toronto/302/1975/results,Harold Solomon,/en/players/harold-solomon/s065/overview,harold-solomon,s065,Dick Stockton,/en/players/dick-stockton/s090/overview,dick-stockton,s090,Erik Van Dillen,/en/players/erik-van-dillen/v049/overview,erik-van-dillen,v049
1975,16,,Salisbury,355,salisbury,1975-355,"Salisbury, United States",1975/02/10,2,10,64.0,32.0,Indoor,Carpet,"$50,000",USD,50000,/en/scores/archive/salisbury/355/1975/results,Jimmy Connors,/en/players/jimmy-connors/c044/overview,jimmy-connors,c044,Jimmy Connors,/en/players/jimmy-connors/c044/overview,jimmy-connors,c044,Ilie Nastase,/en/players/ilie-nastase/n008/overview,ilie-nastase,n008
1975,17,,Barcelona WCT,267,barcelona,1975-267,"Barcelona, Spain",1975/02/17,2,17,32.0,16.0,Indoor,Carpet,"$60,000",USD,60000,/en/scores/archive/barcelona/267/1975/results,Arthur Ashe,/en/players/arthur-ashe/a063/overview,arthur-ashe,a063,Arthur Ashe,/en/players/arthur-ashe/a063/overview,arthur-ashe,a063,Tom Okker,/en/players/tom-okker/o032/overview,tom-okker,o032
