tourney_year,tourney_order,tourney_type_id,tourney_name,tourney_id,tourney_slug,tourney_year_id,tourney_location,tourney_date,tourney_month,tourney_day,tourney_singles_draw,tourney_conditions,tourney_surface,tourney_fin_commit_raw,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id
1937,1,grandslam,Australian Championships,580,australian-championships,1937-580,"Sydney, Australia",1937/01/22,1,22,32,Outdoor,Grass,,/en/scores/archive/australian-championships/580/1937/results,Vivian Mcgrath,/en/players/vivian-mcgrath/mr22/overview,vivian-mcgrath,mr22
1937,2,grandslam,French Championships,520,french-championships,1937-520,"Paris, France",1937/05/21,5,21,128,Outdoor,Clay,,/en/scores/archive/french-championships/520/1937/results,Henner Henkel,/en/players/henner-henkel/hd86/overview,henner-henkel,hd86
1937,3,grandslam,Wimbledon,540,wimbledon,1937-540,"London, Great Britain",1937/06/21,6,21,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1937/results,Don Budge,/en/players/don-budge/bp59/overview,don-budge,bp59
1937,4,grandslam,US Championships,560,us-championships,1937-560,"New York, United States",1937/09/02,9,2,128,Outdoor,Grass,,/en/scores/archive/us-championships/560/1937/results,Don Budge,/en/players/don-budge/bp59/overview,don-budge,bp59
