tourney_year,tourney_order,tourney_type_id,tourney_name,tourney_id,tourney_slug,tourney_year_id,tourney_location,tourney_date,tourney_month,tourney_day,tourney_singles_draw,tourney_conditions,tourney_surface,tourney_fin_commit_raw,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id
1926,1,grandslam,Australian Championships,580,australian-championships,1926-580,"Adelaide, Australia",1926/01/23,1,23,64,Outdoor,Grass,,/en/scores/archive/australian-championships/580/1926/results,John Hawkes,/en/players/john-hawkes/hd44/overview,john-hawkes,hd44
1926,2,grandslam,French Championships,520,french-championships,1926-520,"Paris, France",1926/06/02,6,2,128,Outdoor,Grass,,/en/scores/archive/french-championships/520/1926/results,Henri Cochet,/en/players/henri-cochet/cj19/overview,henri-cochet,cj19
1926,3,grandslam,Wimbledon,540,wimbledon,1926-540,"London, Great Britain",1926/06/21,6,21,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1926/results,Jean Borotra,/en/players/jean-borotra/b820/overview,jean-borotra,b820
1926,4,grandslam,US Championships,560,us-championships,1926-560,"New York, United States",1926/09/13,9,13,64,Outdoor,Grass,,/en/scores/archive/us-championships/560/1926/results,Rene Lacoste,/en/players/rene-lacoste/lf18/overview,rene-lacoste,lf18
