tourney_year,tourney_order,tourney_type_id,tourney_name,tourney_id,tourney_slug,tourney_year_id,tourney_location,tourney_date,tourney_month,tourney_day,tourney_singles_draw,tourney_conditions,tourney_surface,tourney_fin_commit_raw,currency,tourney_fin_commit,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id,tourney_doubles_draw,doubles_winner_1_name,doubles_winner_1_url,doubles_winner_1_player_slug,doubles_winner_1_player_id,doubles_winner_2_name,doubles_winner_2_url,doubles_winner_2_player_slug,doubles_winner_2_player_id
1970,1,,Australian Round Robin,9290,australian-round-robin,1970-9290,Australia,1970/01/04,1,4,5.0,Outdoor,Grass,"$10,000",USD,10000.0,/en/scores/archive/australian-round-robin/9290/1970/results,Tony Roche,/en/players/tony-roche/r073/overview,tony-roche,r073,,,,,,,,,
1970,2,,Melbourne,3936,melbourne,1970-3936,"Melbourne, Australia",1970/01/10,1,10,64.0,Outdoor,Grass,"$12,000",USD,12000.0,/en/scores/archive/melbourne/3936/1970/results,John Newcombe,/en/players/john-newcombe/n044/overview,john-newcombe,n044,,,,,,,,,
1970,3,grandslam,Australian Open,580,australian-open,1970-580,"Sydney, Australia",1970/01/19,1,19,64.0,Outdoor,Grass,"$12,000",USD,12000.0,/en/scores/archive/australian-open/580/1970/results,Arthur Ashe,/en/players/arthur-ashe/a063/overview,arthur-ashe,a063,32.0,Robert Lutz,/en/players/robert-lutz/l045/overview,robert-lutz,l045,Stan Smith,/en/players/stan-smith/s060/overview,stan-smith,s060
1970,4,,Auckland,301,auckland,1970-301,"Auckland, New Zealand",1970/01/26,1,26,32.0,Outdoor,Grass,"$11,000",USD,11000.0,/en/scores/archive/auckland/301/1970/results,Roger Taylor,/en/players/roger-taylor/t050/overview,roger-taylor,t050,,,,,,,,,
1970,5,,Omaha,2036,omaha,1970-2036,"Omaha, United States",1970/01/28,1,28,16.0,Indoor,Hard,"$10,000",USD,10000.0,/en/scores/archive/omaha/2036/1970/results,Stan Smith,/en/players/stan-smith/s060/overview,stan-smith,s060,,,,,,,,,
1970,6,,Philadelphia,401,philadelphia,1970-401,"Philadelphia, United States",1970/02/02,2,2,64.0,Indoor,Carpet,"$50,000",USD,50000.0,/en/scores/archive/philadelphia/401/1970/results,Rod Laver,/en/players/rod-laver/l058/overview,rod-laver,l058,32.0,Ilie Nastase,/en/players/ilie-nastase/n008/overview,ilie-nastase,n008,Ion Tiriac,/en/players/ion-tiriac/t040/overview,ion-tiriac,t040
1970,7,,New York,2058,new-york,1970-2058,"New York, United States",1970/02/09,2,9,8.0,Indoor,Carpet,"$7,500",USD,7500.0,/en/scores/archive/new-york/2058/1970/results,Manuel Santana,/en/players/manuel-santana/s245/overview,manuel-santana,s245,,,,,,,,,
1970,8,,Hollywood,681,hollywood,1970-681,"Hollywood, United States",1970/02/12,2,12,8.0,Outdoor,Clay,"$10,000",USD,10000.0,/en/scores/archive/hollywood/681/1970/results,Ken Rosewall,/en/players/ken-rosewall/r075/overview,ken-rosewall,r075,,,,,,,,,
1970,9,,Richmond,802,richmond,1970-802,"Richmond, United States",1970/02/13,2,13,8.0,Indoor,Carpet,"$12,500",USD,12500.0,/en/scores/archive/richmond/802/1970/results,Arthur Ashe,/en/players/arthur-ashe/a063/overview,arthur-ashe,a063,,,,,,,,,
1970,10,,Salisbury,355,salisbury,1970-355,"Salisbury, United States",1970/02/16,2,16,64.0,Indoor,Hard,"$50,000",USD,50000.0,/en/scores/archive/salisbury/355/1970/results,Ilie Nastase,/en/players/ilie-nastase/n008/overview,ilie-nastase,n008,,,,,,,,,
1970,11,,Corpus Christi,6816,corpus-christi,1970-6816,"Corpus Christi, United States",1970/02/20,2,20,8.0,Outdoor,Hard,"$10,000",USD,10000.0,/en/scores/archive/corpus-christi/6816/1970/results,Ken Rosewall,/en/players/ken-rosewall/r075/overview,ken-rosewall,r075,,,,,,,,,
1970,12,,Macon,2066,macon,1970-2066,"Macon, United States",1970/02/23,2,23,32.0,Indoor,Carpet,"$15,000",USD,15000.0,/en/scores/archive/macon/2066/1970/results,Cliff Richey,/en/players/cliff-richey/r071/overview,cliff-richey,r071,,,,,,,,,
1970,13,,Los Angeles-1,6811,los-angeles,1970-6811,"Los Angeles, United States",1970/02/25,2,25,8.0,Indoor,Carpet,"$10,000",USD,10000.0,/en/scores/archive/los-angeles/6811/1970/results,Dennis Ralston,/en/players/dennis-ralston/r064/overview,dennis-ralston,r064,,,,,,,,,
