tourney_year,tourney_order,tourney_type_id,tourney_name,tourney_id,tourney_slug,tourney_year_id,tourney_location,tourney_date,tourney_month,tourney_day,tourney_singles_draw,tourney_conditions,tourney_surface,tourney_fin_commit_raw,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id
1957,1,grandslam,Australian Championships,580,australian-championships,1957-580,"Melbourne, Australia",1957/01/18,1,18,32,Outdoor,Grass,,/en/scores/archive/australian-championships/580/1957/results,Ashley Cooper,/en/players/ashley-cooper/c229/overview,ashley-cooper,c229
1957,2,grandslam,French Championships,520,french-championships,1957-520,"Paris, France",1957/05/21,5,21,128,Outdoor,Clay,,/en/scores/archive/french-championships/520/1957/results,Sven Davidson,/en/players/sven-davidson/dd18/overview,sven-davidson,dd18
1957,3,grandslam,Wimbledon,540,wimbledon,1957-540,"London, Great Britain",1957/06/24,6,24,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1957/results,Lew Hoad,/en/players/lew-hoad/h132/overview,lew-hoad,h132
1957,4,grandslam,US Championships,560,us-championships,1957-560,"New York, United States",1957/08/30,8,30,128,Outdoor,Grass,,/en/scores/archive/us-championships/560/1957/results,Mal Anderson,/en/players/mal-anderson/a060/overview,mal-anderson,a060
