tourney_year,tourney_order,tourney_type_id,tourney_name,tourney_id,tourney_slug,tourney_year_id,tourney_location,tourney_date,tourney_month,tourney_day,tourney_singles_draw,tourney_conditions,tourney_surface,tourney_fin_commit_raw,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id,tourney_doubles_draw,doubles_winner_1_name,doubles_winner_1_url,doubles_winner_1_player_slug,doubles_winner_1_player_id,doubles_winner_2_name,doubles_winner_2_url,doubles_winner_2_player_slug,doubles_winner_2_player_id,currency,tourney_fin_commit
1968,1,,Cape Town-1,9346,cape-town,1968-9346,"Cape Town, South Africa",1968/01/01,1,1,64,Outdoor,Hard,,/en/scores/archive/cape-town/9346/1968/results,Jan Leschly,/en/players/jan-leschly/l118/overview,jan-leschly,l118,,,,,,,,,,,
1968,2,,Perth,243,perth,1968-243,"Perth, Australia",1968/01/01,1,1,32,Outdoor,Grass,,/en/scores/archive/perth/243/1968/results,Bill Bowrey,/en/players/bill-bowrey/b224/overview,bill-bowrey,b224,,,,,,,,,,,
1968,3,,Bloemfontein,9343,bloemfontein,1968-9343,"Bloemfontein, South Africa",1968/01/08,1,8,64,Outdoor,Hard,,/en/scores/archive/bloemfontein/9343/1968/results,Marty Riessen,/en/players/marty-riessen/r055/overview,marty-riessen,r055,,,,,,,,,,,
1968,4,,Hobart,713,hobart,1968-713,"Hobart, Australia",1968/01/08,1,8,64,Outdoor,Grass,,/en/scores/archive/hobart/713/1968/results,Ray Ruffels,/en/players/ray-ruffels/r076/overview,ray-ruffels,r076,,,,,,,,,,,
1968,5,,Durban-1,260,durban,1968-260,"Durban, South Africa",1968/01/14,1,14,64,Outdoor,Hard,,/en/scores/archive/durban/260/1968/results,Robert Maud,/en/players/robert-maud/m140/overview,robert-maud,m140,,,,,,,,,,,
1968,6,grandslam,Australian Championships,580,australian-championships,1968-580,"Melbourne, Australia",1968/01/19,1,19,64,Outdoor,Grass,,/en/scores/archive/australian-championships/580/1968/results,Bill Bowrey,/en/players/bill-bowrey/b224/overview,bill-bowrey,b224,32.0,Dick Crealy,/en/players/dick-crealy/c093/overview,dick-crealy,c093,Allan Stone,/en/players/allan-stone/s148/overview,allan-stone,s148,,
1968,7,,Sydney WCT,9295,sydney,1968-9295,"Sydney, Australia",1968/01/20,1,20,8,Outdoor,Carpet,"$30,000",/en/scores/archive/sydney/9295/1968/results,Tony Roche,/en/players/tony-roche/r073/overview,tony-roche,r073,,,,,,,,,,USD,30000.0
1968,8,,Auckland,301,auckland,1968-301,"Auckland, New Zealand",1968/01/31,1,31,32,Outdoor,Grass,,/en/scores/archive/auckland/301/1968/results,Barry Phillips-Moore,/en/players/barry-phillips-moore/p078/overview,barry-phillips-moore,p078,,,,,,,,,,,
1968,9,,WCT World Cup,9296,kansas-city-and-st-louis,1968-9296,"Kansas City and St. Louis, United States",1968/02/01,2,1,8,Indoor,Carpet,"$20,000",/en/scores/archive/kansas-city-and-st-louis/9296/1968/results,,,,,,,,,,,,,,USD,20000.0
1968,10,,Richmond,802,richmond,1968-802,"Richmond, United States",1968/02/02,2,2,8,Indoor,Hard,,/en/scores/archive/richmond/802/1968/results,Arthur Ashe,/en/players/arthur-ashe/a063/overview,arthur-ashe,a063,,,,,,,,,,,
