tourney_year,tourney_order,tourney_type_id,tourney_name,tourney_id,tourney_slug,tourney_year_id,tourney_location,tourney_date,tourney_month,tourney_day,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,tourney_fin_commit_raw,currency,tourney_fin_commit,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id,doubles_winner_1_name,doubles_winner_1_url,doubles_winner_1_player_slug,doubles_winner_1_player_id,doubles_winner_2_name,doubles_winner_2_url,doubles_winner_2_player_slug,doubles_winner_2_player_id
2001,1,,Doha,451,doha,2001-451,Doha,2001/01/01,1,1,32.0,16.0,Outdoor,Hard,"$1,000,000",USD,1000000,/en/scores/archive/doha/451/2001/results,Marcelo Rios,/en/players/marcelo-rios/r286/overview,marcelo-rios,r286,Mark Knowles,/en/players/mark-knowles/k171/overview,mark-knowles,k171,Daniel Nestor,/en/players/daniel-nestor/n210/overview,daniel-nestor,n210
2001,2,,Chennai,891,chennai,2001-891,Chennai,2001/01/01,1,1,32.0,16.0,Outdoor,Hard,"$400,000",USD,400000,/en/scores/archive/chennai/891/2001/results,Michal Tabara,/en/players/michal-tabara/t243/overview,michal-tabara,t243,Byron Black,/en/players/byron-black/b397/overview,byron-black,b397,Wayne Black,/en/players/wayne-black/b499/overview,wayne-black,b499
2001,3,,Adelaide,7308,adelaide,2001-7308,Adelaide,2001/01/01,1,1,32.0,16.0,Outdoor,Hard,"$375,000",USD,375000,/en/scores/archive/adelaide/7308/2001/results,Tommy Haas,/en/players/tommy-haas/h355/overview,tommy-haas,h355,David Macpherson,/en/players/david-macpherson/m004/overview,david-macpherson,m004,Grant Stafford,/en/players/grant-stafford/s406/overview,grant-stafford,s406
2001,4,,Sydney,338,sydney,2001-338,Sydney,2001/01/08,1,8,32.0,16.0,Outdoor,Hard,"$400,000",USD,400000,/en/scores/archive/sydney/338/2001/results,Lleyton Hewitt,/en/players/lleyton-hewitt/h432/overview,lleyton-hewitt,h432,Daniel Nestor,/en/players/daniel-nestor/n210/overview,daniel-nestor,n210,Sandon Stolle,/en/players/sandon-stolle/s443/overview,sandon-stolle,s443
2001,5,,Auckland,301,auckland,2001-301,Auckland,2001/01/08,1,8,32.0,16.0,Outdoor,Hard,"$375,000",USD,375000,/en/scores/archive/auckland/301/2001/results,Dominik Hrbaty,/en/players/dominik-hrbaty/h377/overview,dominik-hrbaty,h377,Marius Barnard,/en/players/marius-barnard/b324/overview,marius-barnard,b324,Jim Thomas,/en/players/jim-thomas/t213/overview,jim-thomas,t213
2001,6,grandslam,Australian Open,580,australian-open,2001-580,Melbourne,2001/01/15,1,15,128.0,64.0,Outdoor,Hard,"$3,568,313",USD,3568313,/en/scores/archive/australian-open/580/2001/results,Andre Agassi,/en/players/andre-agassi/a092/overview,andre-agassi,a092,Jonas Bjorkman,/en/players/jonas-bjorkman/b446/overview,jonas-bjorkman,b446,Todd Woodbridge,/en/players/todd-woodbridge/w136/overview,todd-woodbridge,w136
2001,7,,Bogota,359,bogota,2001-359,Bogota,2001/01/28,1,28,32.0,16.0,Outdoor,Clay,"$375,000",USD,375000,/en/scores/archive/bogota/359/2001/results,Fernando Vicente,/en/players/fernando-vicente/v195/overview,fernando-vicente,v195,Mariano Hood,/en/players/mariano-hood/h322/overview,mariano-hood,h322,Sebastian Prieto,/en/players/sebastian-prieto/p324/overview,sebastian-prieto,p324
2001,8,,Milan,408,milan,2001-408,Milan,2001/01/29,1,29,32.0,16.0,Indoor,Carpet,"$400,000",USD,400000,/en/scores/archive/milan/408/2001/results,Roger Federer,/en/players/roger-federer/f324/overview,roger-federer,f324,Paul Haarhuis,/en/players/paul-haarhuis/h223/overview,paul-haarhuis,h223,Sjeng Schalken,/en/players/sjeng-schalken/s572/overview,sjeng-schalken,s572
2001,9,,Marseille,496,marseille,2001-496,Marseille,2001/02/12,2,12,32.0,16.0,Indoor,Hard,"$500,000",USD,500000,/en/scores/archive/marseille/496/2001/results,Yevgeny Kafelnikov,/en/players/yevgeny-kafelnikov/k267/overview,yevgeny-kafelnikov,k267,Julien Boutter,/en/players/julien-boutter/b599/overview,julien-boutter,b599,Fabrice Santoro,/en/players/fabrice-santoro/s424/overview,fabrice-santoro,s424
2001,10,,Vina del Mar,8996,vina-del-mar,2001-8996,Vina Del Mar,2001/02/12,2,12,32.0,16.0,Outdoor,Clay,"$375,000",USD,375000,/en/scores/archive/vina-del-mar/8996/2001/results,Guillermo Coria,/en/players/guillermo-coria/c524/overview,guillermo-coria,c524,Lucas Arnold Ker,/en/players/lucas-arnold-ker/a228/overview,lucas-arnold-ker,a228,Tomas Carbonell,/en/players/tomas-carbonell/c216/overview,tomas-carbonell,c216
