tourney_year,tourney_order,tourney_type_id,tourney_name,tourney_id,tourney_slug,tourney_year_id,tourney_location,tourney_date,tourney_month,tourney_day,tourney_singles_draw,tourney_conditions,tourney_surface,tourney_fin_commit_raw,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id
1915,1,grandslam,Australasian Championships,580,australasian-championships,1915-580,"Brisbane, Australia",1915/08/16,8,16,32,Outdoor,Grass,,/en/scores/archive/australasian-championships/580/1915/results,Gordon Lowe,/en/players/gordon-lowe/lf73/overview,gordon-lowe,lf73
1915,2,grandslam,US Championships,560,us-championships,1915-560,"New York, United States",1915/08/31,8,31,128,Outdoor,Grass,,/en/scores/archive/us-championships/560/1915/results,Bill Johnston,/en/players/bill-johnston/j665/overview,bill-johnston,j665
