tourney_year,tourney_order,tourney_type_id,tourney_name,tourney_id,tourney_slug,tourney_year_id,tourney_location,tourney_date,tourney_month,tourney_day,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,tourney_fin_commit_raw,currency,tourney_fin_commit,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id,doubles_winner_1_name,doubles_winner_1_url,doubles_winner_1_player_slug,doubles_winner_1_player_id,doubles_winner_2_name,doubles_winner_2_url,doubles_winner_2_player_slug,doubles_winner_2_player_id
1981,1,,Adelaide,7308,adelaide,1981-7308,Adelaide,1981/01/05,1,5,32.0,16.0,Outdoor,Grass,"$57,000",USD,57000,/en/scores/archive/adelaide/7308/1981/results,Mark Edmondson,/en/players/mark-edmondson/e005/overview,mark-edmondson,e005,Colin Dibley,/en/players/colin-dibley/d076/overview,colin-dibley,d076,John James,/en/players/john-james/j029/overview,john-james,j029
1981,2,,Auckland,301,auckland,1981-301,Auckland,1981/01/05,1,5,32.0,16.0,Outdoor,Hard,"$57,000",USD,57000,/en/scores/archive/auckland/301/1981/results,Bill Scanlon,/en/players/bill-scanlon/s017/overview,bill-scanlon,s017,Ferdi Taygan,/en/players/ferdi-taygan/t037/overview,ferdi-taygan,t037,Tim Wilkison,/en/players/tim-wilkison/w019/overview,tim-wilkison,w019
1981,3,,WCT Doubles Finals,601,london,1981-601,London,1981/01/06,1,6,,8.0,Indoor,Carpet,"$200,000",USD,200000,/en/scores/archive/london/601/1981/results,,,,,Paul McNamee,/en/players/paul-mcnamee/m050/overview,paul-mcnamee,m050,Peter McNamara,/en/players/peter-mcnamara/m051/overview,peter-mcnamara,m051
1981,4,,Monterrey WCT,345,monterrey,1981-345,Monterrey,1981/01/19,1,19,32.0,16.0,Indoor,Carpet,"$200,000",USD,200000,/en/scores/archive/monterrey/345/1981/results,Johan Kriek,/en/players/johan-kriek/k022/overview,johan-kriek,k022,Kevin Curren,/en/players/kevin-curren/c057/overview,kevin-curren,c057,Steve Denton,/en/players/steve-denton/d019/overview,steve-denton,d019
1981,5,,Guaruja,237,guaruja,1981-237,Guaruja,1981/01/19,1,19,32.0,16.0,Outdoor,Hard,"$85,500",USD,85500,/en/scores/archive/guaruja/237/1981/results,Carlos Kirmayr,/en/players/carlos-kirmayr/k009/overview,carlos-kirmayr,k009,David Carter,/en/players/david-carter/c072/overview,david-carter,c072,Paul Kronk,/en/players/paul-kronk/k073/overview,paul-kronk,k073
1981,6,,San Juan,358,san-juan,1981-358,San Juan,1981/01/19,1,19,32.0,16.0,Outdoor,Hard,"$85,500",USD,85500,/en/scores/archive/san-juan/358/1981/results,Eliot Teltscher,/en/players/eliot-teltscher/t012/overview,eliot-teltscher,t012,Tim Mayotte,/en/players/tim-mayotte/m041/overview,tim-mayotte,m041,Chris Mayotte,/en/players/chris-mayotte/m141/overview,chris-mayotte,m141
1981,7,,Philadelphia WCT,401,philadelphia,1981-401,Philadelphia,1981/01/26,1,26,64.0,32.0,Indoor,Carpet,"$285,750",USD,285750,/en/scores/archive/philadelphia/401/1981/results,Roscoe Tanner,/en/players/roscoe-tanner/t006/overview,roscoe-tanner,t006,Marty Riessen,/en/players/marty-riessen/r055/overview,marty-riessen,r055,Sherwood Stewart,/en/players/sherwood-stewart/s082/overview,sherwood-stewart,s082
1981,8,,Vina del Mar,204,vina-del-mar,1981-204,Vina del Mar,1981/01/26,1,26,32.0,16.0,Outdoor,Clay,"$57,000",USD,57000,/en/scores/archive/vina-del-mar/204/1981/results,Victor Pecci,/en/players/victor-pecci/p015/overview,victor-pecci,p015,David Carter,/en/players/david-carter/c072/overview,david-carter,c072,Paul Kronk,/en/players/paul-kronk/k073/overview,paul-kronk,k073
1981,9,,Richmond WCT,802,richmond,1981-802,Richmond,1981/02/02,2,2,32.0,16.0,Indoor,Carpet,"$200,000",USD,200000,/en/scores/archive/richmond/802/1981/results,Yannick Noah,/en/players/yannick-noah/n022/overview,yannick-noah,n022,Tim Gullikson,/en/players/tim-gullikson/g048/overview,tim-gullikson,g048,Bernard Mitton,/en/players/bernard-mitton/m072/overview,bernard-mitton,m072
1981,10,,Mar del Plata,392,mar-del-plata,1981-392,Mar del Plata,1981/02/02,2,2,32.0,16.0,Outdoor,Clay,"$85,500",USD,85500,/en/scores/archive/mar-del-plata/392/1981/results,Guillermo Vilas,/en/players/guillermo-vilas/v028/overview,guillermo-vilas,v028,David Carter,/en/players/david-carter/c072/overview,david-carter,c072,Paul Kronk,/en/players/paul-kronk/k073/overview,paul-kronk,k073
