tourney_year,tourney_order,tourney_type_id,tourney_name,tourney_id,tourney_slug,tourney_year_id,tourney_location,tourney_date,tourney_month,tourney_day,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,tourney_fin_commit_raw,currency,tourney_fin_commit,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id,doubles_winner_1_name,doubles_winner_1_url,doubles_winner_1_player_slug,doubles_winner_1_player_id,doubles_winner_2_name,doubles_winner_2_url,doubles_winner_2_player_slug,doubles_winner_2_player_id
1974,1,grandslam,Australian Open,580,australian-open,1974-580,"Melbourne, Australia",1973/12/26,12,26,64.0,64.0,Outdoor,Grass,"$44,500",USD,44500,/en/scores/archive/australian-open/580/1974/results,Jimmy Connors,/en/players/jimmy-connors/c044/overview,jimmy-connors,c044,Ross Case,/en/players/ross-case/c020/overview,ross-case,c020,Geoff Masters,/en/players/geoff-masters/m139/overview,geoff-masters,m139
1974,2,,Sydney-1,338,sydney,1974-338,"Sydney, Australia",1973/12/29,12,29,48.0,,Outdoor,Grass,"$12,000",USD,12000,/en/scores/archive/sydney/338/1974/results,Geoff Masters,/en/players/geoff-masters/m139/overview,geoff-masters,m139,,,,,,,,
1974,3,,Auckland,301,auckland,1974-301,"Auckland, New Zealand",1974/01/07,1,7,32.0,16.0,Outdoor,Grass,"$18,500",USD,18500,/en/scores/archive/auckland/301/1974/results,Bjorn Borg,/en/players/bjorn-borg/b058/overview,bjorn-borg,b058,,,,,,,,
1974,4,,Lakeway WCT,6836,lakeway,1974-6836,"Lakeway, United States",1974/01/14,1,14,16.0,,Outdoor,Hard,"$60,000",USD,60000,/en/scores/archive/lakeway/6836/1974/results,Cliff Richey,/en/players/cliff-richey/r071/overview,cliff-richey,r071,,,,,,,,
1974,5,,Roanoke,2022,roanoke,1974-2022,"Roanoke, United States",1974/01/17,1,17,16.0,16.0,Indoor,Carpet,"$20,000",USD,20000,/en/scores/archive/roanoke/2022/1974/results,Jimmy Connors,/en/players/jimmy-connors/c044/overview,jimmy-connors,c044,Vitas Gerulaitis,/en/players/vitas-gerulaitis/g008/overview,vitas-gerulaitis,g008,Sandy Mayer,/en/players/sandy-mayer/m039/overview,sandy-mayer,m039
1974,6,,Philadelphia WCT,401,philadelphia,1974-401,"Philadelphia, United States",1974/01/21,1,21,128.0,64.0,Indoor,Carpet,"$100,000",USD,100000,/en/scores/archive/philadelphia/401/1974/results,Rod Laver,/en/players/rod-laver/l058/overview,rod-laver,l058,Pat Cramer,/en/players/pat-cramer/c091/overview,pat-cramer,c091,Mike Estep,/en/players/mike-estep/e040/overview,mike-estep,e040
1974,7,,Omaha,2036,omaha,1974-2036,"Omaha, United States",1974/01/22,1,22,32.0,16.0,Indoor,Carpet,"$20,000",USD,20000,/en/scores/archive/omaha/2036/1974/results,Karl Meiler,/en/players/karl-meiler/m055/overview,karl-meiler,m055,Jurgen Fassbender,/en/players/jurgen-fassbender/f068/overview,jurgen-fassbender,f068,Karl Meiler,/en/players/karl-meiler/m055/overview,karl-meiler,m055
1974,8,,Richmond WCT,802,richmond,1974-802,"Richmond, United States",1974/01/29,1,29,32.0,16.0,Indoor,Carpet,"$50,000",USD,50000,/en/scores/archive/richmond/802/1974/results,Ilie Nastase,/en/players/ilie-nastase/n008/overview,ilie-nastase,n008,Nikola Pilic,/en/players/nikola-pilic/p080/overview,nikola-pilic,p080,Allan Stone,/en/players/allan-stone/s148/overview,allan-stone,s148
1974,9,,Baltimore,816,baltimore,1974-816,"Baltimore, United States",1974/01/29,1,29,32.0,16.0,Indoor,Carpet,"$20,000",USD,20000,/en/scores/archive/baltimore/816/1974/results,Sandy Mayer,/en/players/sandy-mayer/m039/overview,sandy-mayer,m039,Jurgen Fassbender,/en/players/jurgen-fassbender/f068/overview,jurgen-fassbender,f068,Karl Meiler,/en/players/karl-meiler/m055/overview,karl-meiler,m055
1974,10,,Dayton,716,dayton,1974-716,"Dayton, United States",1974/01/30,1,30,16.0,,Indoor,Carpet,"$25,000",USD,25000,/en/scores/archive/dayton/716/1974/results,Raul Ramirez,/en/players/raul-ramirez/r065/overview,raul-ramirez,r065,,,,,,,,
1974,11,,St. Petersburg WCT,1603,st-petersburg,1974-1603,"St. Petersburg, United States",1974/02/04,2,4,32.0,16.0,Indoor,Carpet,"$50,000",USD,50000,/en/scores/archive/st-petersburg/1603/1974/results,John Newcombe,/en/players/john-newcombe/n044/overview,john-newcombe,n044,Owen Davidson,/en/players/owen-davidson/d054/overview,owen-davidson,d054,John Newcombe,/en/players/john-newcombe/n044/overview,john-newcombe,n044
1974,12,,Little Rock,660,little-rock,1974-660,"Little Rock, United States",1974/02/04,2,4,32.0,16.0,Indoor,Hard,"$20,000",USD,20000,/en/scores/archive/little-rock/660/1974/results,Jimmy Connors,/en/players/jimmy-connors/c044/overview,jimmy-connors,c044,Jurgen Fassbender,/en/players/jurgen-fassbender/f068/overview,jurgen-fassbender,f068,Karl Meiler,/en/players/karl-meiler/m055/overview,karl-meiler,m055
1974,13,,Bologna WCT,312,bologna,1974-312,"Bologna, Italy",1974/02/11,2,11,32.0,16.0,Indoor,Carpet,"$50,000",USD,50000,/en/scores/archive/bologna/312/1974/results,Arthur Ashe,/en/players/arthur-ashe/a063/overview,arthur-ashe,a063,Bjorn Borg,/en/players/bjorn-borg/b058/overview,bjorn-borg,b058,Ove Nils Bengtson,/en/players/ove-nils-bengtson/b126/overview,ove-nils-bengtson,b126
1974,14,,Toronto WCT,302,toronto,1974-302,"Toronto, Canada",1974/02/11,2,11,32.0,16.0,Indoor,Carpet,"$50,000",USD,50000,/en/scores/archive/toronto/302/1974/results,Tom Okker,/en/players/tom-okker/o032/overview,tom-okker,o032,Raul Ramirez,/en/players/raul-ramirez/r065/overview,raul-ramirez,r065,Tony Roche,/en/players/tony-roche/r073/overview,tony-roche,r073
1974,15,,Birmingham,650,birmingham,1974-650,"Birmingham, United States",1974/02/11,2,11,32.0,16.0,Indoor,Carpet,"$25,000",USD,25000,/en/scores/archive/birmingham/650/1974/results,Jimmy Connors,/en/players/jimmy-connors/c044/overview,jimmy-connors,c044,Ian Fletcher,/en/players/ian-fletcher/f071/overview,ian-fletcher,f071,Sandy Mayer,/en/players/sandy-mayer/m039/overview,sandy-mayer,m039
1974,16,,London WCT,262,london,1974-262,"London, Great Britain",1974/02/15,2,15,32.0,16.0,Indoor,Carpet,"$50,000",USD,50000,/en/scores/archive/london/262/1974/results,Bjorn Borg,/en/players/bjorn-borg/b058/overview,bjorn-borg,b058,Bjorn Borg,/en/players/bjorn-borg/b058/overview,bjorn-borg,b058,Ove Nils Bengtson,/en/players/ove-nils-bengtson/b126/overview,ove-nils-bengtson,b126
1974,17,,Long Island WCT,2018,long-island,1974-2018,"Long Island, United States",1974/02/18,2,18,32.0,16.0,Indoor,Carpet,"$50,000",USD,50000,/en/scores/archive/long-island/2018/1974/results,Stan Smith,/en/players/stan-smith/s060/overview,stan-smith,s060,Jeff Borowiak,/en/players/jeff-borowiak/b059/overview,jeff-borowiak,b059,Dick Crealy,/en/players/dick-crealy/c093/overview,dick-crealy,c093
1974,18,,Salisbury,355,salisbury,1974-355,"Salisbury, United States",1974/02/18,2,18,64.0,32.0,Indoor,Carpet,"$50,000",USD,50000,/en/scores/archive/salisbury/355/1974/results,Jimmy Connors,/en/players/jimmy-connors/c044/overview,jimmy-connors,c044,Jimmy Connors,/en/players/jimmy-connors/c044/overview,jimmy-connors,c044,Frew McMillan,/en/players/frew-mcmillan/m111/overview,frew-mcmillan,m111
1974,19,,Barcelona WCT,267,barcelona,1974-267,"Barcelona, Spain",1974/02/25,2,25,32.0,16.0,Indoor,Carpet,"$50,000",USD,50000,/en/scores/archive/barcelona/267/1974/results,Arthur Ashe,/en/players/arthur-ashe/a063/overview,arthur-ashe,a063,Arthur Ashe,/en/players/arthur-ashe/a063/overview,arthur-ashe,a063,Roscoe Tanner,/en/players/roscoe-tanner/t006/overview,roscoe-tanner,t006
1974,20,,Carlsbad WCT,813,carlsbad,1974-813,"Carlsbad, United States",1974/02/25,2,25,32.0,16.0,Outdoor,Hard,"$50,000",USD,50000,/en/scores/archive/carlsbad/813/1974/results,John Newcombe,/en/players/john-newcombe/n044/overview,john-newcombe,n044,Clark Graebner,/en/players/clark-graebner/g079/overview,clark-graebner,g079,Charlie Pasarell,/en/players/charlie-pasarell/p072/overview,charlie-pasarell,p072
1974,21,,Miami WCT,681,miami,1974-681,"Miami, United States",1974/02/25,2,25,32.0,16.0,Indoor,Carpet,"$50,000",USD,50000,/en/scores/archive/miami/681/1974/results,Cliff Drysdale,/en/players/cliff-drysdale/d082/overview,cliff-drysdale,d082,John Alexander,/en/players/john-alexander/a014/overview,john-alexander,a014,Phil Dent,/en/players/phil-dent/d074/overview,phil-dent,d074
1974,22,,Paramus,2037,paramus,1974-2037,"Paramus, United States",1974/02/28,2,28,16.0,,Indoor,Hard,"$20,000",USD,20000,/en/scores/archive/paramus/2037/1974/results,Sandy Mayer,/en/players/sandy-mayer/m039/overview,sandy-mayer,m039,,,,,,,,
1974,23,,Caracas,344,caracas,1974-344,"Caracas, Venezuela",1974/03/04,3,4,12.0,,Outdoor,Hard,"$35,000",USD,35000,/en/scores/archive/caracas/344/1974/results,Charlie Pasarell,/en/players/charlie-pasarell/p072/overview,charlie-pasarell,p072,,,,,,,,
1974,24,,Hampton,657,hampton,1974-657,"Hampton, United States",1974/03/04,3,4,64.0,16.0,Indoor,Carpet,"$35,000",USD,35000,/en/scores/archive/hampton/657/1974/results,Jimmy Connors,/en/players/jimmy-connors/c044/overview,jimmy-connors,c044,Zeljko Franulovic,/en/players/zeljko-franulovic/f074/overview,zeljko-franulovic,f074,Nikola Pilic,/en/players/nikola-pilic/p080/overview,nikola-pilic,p080
1974,25,,WCT Aetna World Cup,9205,hartford,1974-9205,"Hartford, United States",1974/03/07,3,7,6.0,,Indoor,Carpet,"$37,500",USD,37500,/en/scores/archive/hartford/9205/1974/results,,,,,,,,,,,,
1974,26,,Sao Paulo WCT,237,sao-paulo,1974-237,"Sao Paulo, Brazil",1974/03/11,3,11,32.0,16.0,Indoor,Carpet,"$50,000",USD,50000,/en/scores/archive/sao-paulo/237/1974/results,Bjorn Borg,/en/players/bjorn-borg/b058/overview,bjorn-borg,b058,,,,,,,,
1974,27,,Washington WCT,9211,washington,1974-9211,"Washington, United States",1974/03/11,3,11,32.0,16.0,Indoor,Carpet,"$50,000",USD,50000,/en/scores/archive/washington/9211/1974/results,Ilie Nastase,/en/players/ilie-nastase/n008/overview,ilie-nastase,n008,Bob Hewitt,/en/players/bob-hewitt/h058/overview,bob-hewitt,h058,Frew McMillan,/en/players/frew-mcmillan/m111/overview,frew-mcmillan,m111
1974,28,,Calgary,2038,calgary,1974-2038,"Calgary, Canada",1974/03/11,3,11,32.0,16.0,Indoor,Hard,"$25,000",USD,25000,/en/scores/archive/calgary/2038/1974/results,Karl Meiler,/en/players/karl-meiler/m055/overview,karl-meiler,m055,Jurgen Fassbender,/en/players/jurgen-fassbender/f068/overview,jurgen-fassbender,f068,Karl Meiler,/en/players/karl-meiler/m055/overview,karl-meiler,m055
1974,29,,Tucson,729,tucson,1974-729,"Tucson, United States",1974/03/18,3,18,64.0,32.0,Outdoor,Hard,"$150,000",USD,150000,/en/scores/archive/tucson/729/1974/results,John Newcombe,/en/players/john-newcombe/n044/overview,john-newcombe,n044,Charlie Pasarell,/en/players/charlie-pasarell/p072/overview,charlie-pasarell,p072,Sherwood Stewart,/en/players/sherwood-stewart/s082/overview,sherwood-stewart,s082
1974,30,,Jackson,656,jackson,1974-656,"Jackson, United States",1974/03/20,3,20,32.0,16.0,Indoor,Carpet,"$25,000",USD,25000,/en/scores/archive/jackson/656/1974/results,Sandy Mayer,/en/players/sandy-mayer/m039/overview,sandy-mayer,m039,Fred McNair IV,/en/players/fred-mcnair-iv/m146/overview,fred-mcnair-iv,m146,Grover Raz Reid,/en/players/grover-raz-reid/r068/overview,grover-raz-reid,r068
1974,31,,Salt Lake City,2039,salt-lake-city,1974-2039,"Salt Lake City, United States",1974/03/20,3,20,32.0,16.0,Indoor,Hard,"$17,500",USD,17500,/en/scores/archive/salt-lake-city/2039/1974/results,Jimmy Connors,/en/players/jimmy-connors/c044/overview,jimmy-connors,c044,Jimmy Connors,/en/players/jimmy-connors/c044/overview,jimmy-connors,c044,Vitas Gerulaitis,/en/players/vitas-gerulaitis/g008/overview,vitas-gerulaitis,g008
1974,32,,Atlanta WCT,412,atlanta,1974-412,"Atlanta, United States",1974/03/25,3,25,32.0,16.0,Indoor,Carpet,"$50,000",USD,50000,/en/scores/archive/atlanta/412/1974/results,Dick Stockton,/en/players/dick-stockton/s090/overview,dick-stockton,s090,Robert Lutz,/en/players/robert-lutz/l045/overview,robert-lutz,l045,Stan Smith,/en/players/stan-smith/s060/overview,stan-smith,s060
