tourney_year,tourney_order,tourney_type_id,tourney_name,tourney_id,tourney_slug,tourney_year_id,tourney_location,tourney_date,tourney_month,tourney_day,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,tourney_fin_commit_raw,currency,tourney_fin_commit,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id,doubles_winner_1_name,doubles_winner_1_url,doubles_winner_1_player_slug,doubles_winner_1_player_id,doubles_winner_2_name,doubles_winner_2_url,doubles_winner_2_player_slug,doubles_winner_2_player_id
2012,1,250,Brisbane,339,brisbane,2012-339,"Brisbane, Australia",2012/01/01,1,1,32,16,Outdoor,Hard,"$486,000",USD,486000.0,/en/scores/archive/brisbane/339/2012/results,Andy Murray,/en/players/andy-murray/mc10/overview,andy-murray,mc10,Max Mirnyi,/en/players/max-mirnyi/m595/overview,max-mirnyi,m595,Daniel Nestor,/en/players/daniel-nestor/n210/overview,daniel-nestor,n210
2012,2,250,Doha,451,doha,2012-451,"Doha, Qatar",2012/01/02,1,2,32,16,Outdoor,Hard,"$1,110,250",USD,1110250.0,/en/scores/archive/doha/451/2012/results,Jo-Wilfried Tsonga,/en/players/jo-wilfried-tsonga/t786/overview,jo-wilfried-tsonga,t786,Filip Polasek,/en/players/filip-polasek/pa46/overview,filip-polasek,pa46,Lukas Rosol,/en/players/lukas-rosol/r685/overview,lukas-rosol,r685
2012,3,250,Chennai,891,chennai,2012-891,"Chennai, India",2012/01/02,1,2,28,16,Outdoor,Hard,"$450,000",USD,450000.0,/en/scores/archive/chennai/891/2012/results,Milos Raonic,/en/players/milos-raonic/r975/overview,milos-raonic,r975,Leander Paes,/en/players/leander-paes/p269/overview,leander-paes,p269,Janko Tipsarevic,/en/players/janko-tipsarevic/t742/overview,janko-tipsarevic,t742
2012,4,250,Sydney,338,sydney,2012-338,"Sydney, Australia",2012/01/09,1,9,28,16,Outdoor,Hard,"$486,000",USD,486000.0,/en/scores/archive/sydney/338/2012/results,Jarkko Nieminen,/en/players/jarkko-nieminen/n289/overview,jarkko-nieminen,n289,Bob Bryan,/en/players/bob-bryan/b588/overview,bob-bryan,b588,Mike Bryan,/en/players/mike-bryan/b589/overview,mike-bryan,b589
2012,5,250,Auckland,301,auckland,2012-301,"Auckland, New Zealand",2012/01/09,1,9,28,16,Outdoor,Hard,"$450,000",USD,450000.0,/en/scores/archive/auckland/301/2012/results,David Ferrer,/en/players/david-ferrer/f401/overview,david-ferrer,f401,Oliver Marach,/en/players/oliver-marach/m760/overview,oliver-marach,m760,Alexander Peya,/en/players/alexander-peya/p467/overview,alexander-peya,p467
2012,6,grandslam,Australian Open,580,australian-open,2012-580,"Melbourne, Australia",2012/01/16,1,16,128,64,Outdoor,Hard,"A$11,806,550",AUD,11806550.0,/en/scores/archive/australian-open/580/2012/results,Novak Djokovic,/en/players/novak-djokovic/d643/overview,novak-djokovic,d643,Leander Paes,/en/players/leander-paes/p269/overview,leander-paes,p269,Radek Stepanek,/en/players/radek-stepanek/s694/overview,radek-stepanek,s694
2012,7,250,Montpellier,375,montpellier,2012-375,"Montpellier, France",2012/01/30,1,30,28,16,Indoor,Hard,"€450,000",EUR,450000.0,/en/scores/archive/montpellier/375/2012/results,Tomas Berdych,/en/players/tomas-berdych/ba47/overview,tomas-berdych,ba47,Nicolas Mahut,/en/players/nicolas-mahut/m873/overview,nicolas-mahut,m873,Edouard Roger-Vasselin,/en/players/edouard-roger-vasselin/r613/overview,edouard-roger-vasselin,r613
2012,8,250,Vina del Mar,8996,vina-del-mar,2012-8996,"Vina del Mar, Chile",2012/01/30,1,30,28,16,Outdoor,Clay,"$450,000",USD,450000.0,/en/scores/archive/vina-del-mar/8996/2012/results,Juan Monaco,/en/players/juan-monaco/ma21/overview,juan-monaco,ma21,Daniel Gimeno-Traver,/en/players/daniel-gimeno-traver/g676/overview,daniel-gimeno-traver,g676,Fred Gil,/en/players/fred-gil/g717/overview,fred-gil,g717
2012,9,250,Zagreb,2276,zagreb,2012-2276,"Zagreb, Croatia",2012/01/30,1,30,32,16,Indoor,Hard,"€450,000",EUR,450000.0,/en/scores/archive/zagreb/2276/2012/results,Mikhail Youzhny,/en/players/mikhail-youzhny/y061/overview,mikhail-youzhny,y061,Marcos Baghdatis,/en/players/marcos-baghdatis/b837/overview,marcos-baghdatis,b837,Mikhail Youzhny,/en/players/mikhail-youzhny/y061/overview,mikhail-youzhny,y061
2012,10,500,Rotterdam,407,rotterdam,2012-407,"Rotterdam, Netherlands",2012/02/13,2,13,32,16,Indoor,Hard,"€1,502,500",EUR,1502500.0,/en/scores/archive/rotterdam/407/2012/results,Roger Federer,/en/players/roger-federer/f324/overview,roger-federer,f324,Michael Llodra,/en/players/michael-llodra/l428/overview,michael-llodra,l428,Nenad Zimonjic,/en/players/nenad-zimonjic/z072/overview,nenad-zimonjic,z072
