tourney_year_id,tourney_order,tourney_name,tourney_slug,tourney_url_suffix,first_tourney_date,first_tourney_date_year,first_tourney_date_month,first_tourney_date_day,last_tourney_date,last_tourney_date_year,last_tourney_date_month,last_tourney_date_day,tourney_fin_commit,tourney_year,tourney_round_name,round_order,match_order,winner_seed,winner_nationality,winner_name,winner_player_id,winner_slug,loser_seed,loser_nationality,loser_name,loser_player_id,loser_slug,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id,match_stats_url_suffix
1992-7308,1,Adelaide,adelaide,/en/scores/archive/adelaide/7308/1992/results,1991.12.30,1991,12,30,1992.01.05,1992,01,05,182500.0,1992,Finals,1,1,(1)WC,CRO,Goran Ivanisevic,goran-ivanisevic,i034,,SWE,Christian Bergstrom,christian-bergstrom,b040,16 76564 ,1,1,8,12,1,0,1992-7308-i034-b040,/en/scores/match-stats/archive/1992/7308/ms001
1992-7308,1,Adelaide,adelaide,/en/scores/archive/adelaide/7308/1992/results,1991.12.30,1991,12,30,1992.01.05,1992,01,05,182500.0,1992,Semi-Finals,2,1,(1)WC,CRO,Goran Ivanisevic,goran-ivanisevic,i034,,USA,Bryan Shelton,bryan-shelton,s380,64 62 ,2,0,12,6,0,0,1992-7308-i034-s380,/en/scores/match-stats/archive/1992/7308/ms002
1992-7308,1,Adelaide,adelaide,/en/scores/archive/adelaide/7308/1992/results,1991.12.30,1991,12,30,1992.01.05,1992,01,05,182500.0,1992,Semi-Finals,2,2,,SWE,Christian Bergstrom,christian-bergstrom,b040,(6),GER,Carl-Uwe Steeb,carl-uwe-steeb,s080,76764 ,1,0,7,6,1,0,1992-7308-b040-s080,/en/scores/match-stats/archive/1992/7308/ms003
1992-7308,1,Adelaide,adelaide,/en/scores/archive/adelaide/7308/1992/results,1991.12.30,1991,12,30,1992.01.05,1992,01,05,182500.0,1992,Quarter-Finals,3,1,(1)WC,CRO,Goran Ivanisevic,goran-ivanisevic,i034,,SUI,Marc Rosset,marc-rosset,r214,64 764,2,0,13,10,1,0,1992-7308-i034-r214,/en/scores/match-stats/archive/1992/7308/ms004
1992-7308,1,Adelaide,adelaide,/en/scores/archive/adelaide/7308/1992/results,1991.12.30,1991,12,30,1992.01.05,1992,01,05,182500.0,1992,Quarter-Finals,3,2,(6),GER,Carl-Uwe Steeb,carl-uwe-steeb,s080,(Q),SWE,Thomas Enqvist,thomas-enqvist,e113,765764,1,0,7,6,1,0,1992-7308-s080-e113,/en/scores/match-stats/archive/1992/7308/ms006
1992-7308,1,Adelaide,adelaide,/en/scores/archive/adelaide/7308/1992/results,1991.12.30,1991,12,30,1992.01.05,1992,01,05,182500.0,1992,Quarter-Finals,3,3,,SWE,Christian Bergstrom,christian-bergstrom,b040,(7),FRA,Olivier Delaitre,olivier-delaitre,d015,61 63 ,2,0,12,4,0,0,1992-7308-b040-d015,/en/scores/match-stats/archive/1992/7308/ms007
1992-7308,1,Adelaide,adelaide,/en/scores/archive/adelaide/7308/1992/results,1991.12.30,1991,12,30,1992.01.05,1992,01,05,182500.0,1992,Quarter-Finals,3,4,,USA,Bryan Shelton,bryan-shelton,s380,,FRA,Rodolphe Gilbert,rodolphe-gilbert,g108,75 64 ,2,0,13,9,0,0,1992-7308-s380-g108,/en/scores/match-stats/archive/1992/7308/ms005
1992-7308,1,Adelaide,adelaide,/en/scores/archive/adelaide/7308/1992/results,1991.12.30,1991,12,30,1992.01.05,1992,01,05,182500.0,1992,Round of 16,4,1,(1)WC,CRO,Goran Ivanisevic,goran-ivanisevic,i034,,ITA,Stefano Pescosolido,stefano-pescosolido,p235,64 63 ,2,0,12,7,0,0,1992-7308-i034-p235,/en/scores/match-stats/archive/1992/7308/ms008
1992-7308,1,Adelaide,adelaide,/en/scores/archive/adelaide/7308/1992/results,1991.12.30,1991,12,30,1992.01.05,1992,01,05,182500.0,1992,Round of 16,4,2,(Q),SWE,Thomas Enqvist,thomas-enqvist,e113,(4),AUT,Horst Skoff,horst-skoff,s055,63 16 63 ,2,1,13,12,0,0,1992-7308-e113-s055,/en/scores/match-stats/archive/1992/7308/ms013
1992-7308,1,Adelaide,adelaide,/en/scores/archive/adelaide/7308/1992/results,1991.12.30,1991,12,30,1992.01.05,1992,01,05,182500.0,1992,Round of 16,4,3,(6),GER,Carl-Uwe Steeb,carl-uwe-steeb,s080,(WC),AUS,Sandon Stolle,sandon-stolle,s443,46 62 63 ,2,1,16,11,0,0,1992-7308-s080-s443,/en/scores/match-stats/archive/1992/7308/ms012
1992-7308,1,Adelaide,adelaide,/en/scores/archive/adelaide/7308/1992/results,1991.12.30,1991,12,30,1992.01.05,1992,01,05,182500.0,1992,Round of 16,4,4,(7),FRA,Olivier Delaitre,olivier-delaitre,d015,,AUS,Mark Woodforde,mark-woodforde,w035,64 64 ,2,0,12,8,0,0,1992-7308-d015-w035,/en/scores/match-stats/archive/1992/7308/ms014
1992-7308,1,Adelaide,adelaide,/en/scores/archive/adelaide/7308/1992/results,1991.12.30,1991,12,30,1992.01.05,1992,01,05,182500.0,1992,Round of 16,4,5,,SWE,Christian Bergstrom,christian-bergstrom,b040,(WC),AUS,John Fitzgerald,john-fitzgerald,f028,62 62 ,2,0,12,4,0,0,1992-7308-b040-f028,/en/scores/match-stats/archive/1992/7308/ms015
1992-7308,1,Adelaide,adelaide,/en/scores/archive/adelaide/7308/1992/results,1991.12.30,1991,12,30,1992.01.05,1992,01,05,182500.0,1992,Round of 16,4,6,,FRA,Rodolphe Gilbert,rodolphe-gilbert,g108,,RSA,Christo Van Rensburg,christo-van-rensburg,v014,64 63 ,2,0,12,7,0,0,1992-7308-g108-v014,/en/scores/match-stats/archive/1992/7308/ms010
