,tourney_year_id,tourney_order,tourney_name,tourney_slug,tourney_url_suffix,first_tourney_date,first_tourney_date_year,first_tourney_date_month,first_tourney_date_day,last_tourney_date,last_tourney_date_year,last_tourney_date_month,last_tourney_date_day,tourney_fin_commit,tourney_year,tourney_round_name,round_order,match_order,winner_seed,winner_nationality,winner_name,winner_player_id,winner_slug,loser_seed,loser_nationality,loser_name,loser_player_id,loser_slug,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id,match_stats_url_suffix
0,2021-499,1,Delray Beach,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,01,07,2021.01.13,2021,01,13,418195.0,2021,Finals,1,1,(4),POL,Hubert Hurkacz,hubert-hurkacz,hb71,,USA,Sebastian Korda,sebastian-korda,k0ah,63 63 ,2,0,12,6,0,0,2021-499-hb71-k0ah,/en/stats/second-screen/archive/2021/499/MS001
1,2021-499,1,Delray Beach,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,01,07,2021.01.13,2021,01,13,418195.0,2021,Semi-Finals,2,1,(4),POL,Hubert Hurkacz,hubert-hurkacz,hb71,(Q),USA,Christian Harrison,christian-harrison,hb05,76464 ,1,0,7,6,1,0,2021-499-hb71-hb05,/en/stats/second-screen/archive/2021/499/MS002
2,2021-499,1,Delray Beach,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,01,07,2021.01.13,2021,01,13,418195.0,2021,Semi-Finals,2,2,,USA,Sebastian Korda,sebastian-korda,k0ah,,GBR,Cameron Norrie,cameron-norrie,n771,63 75 ,2,0,13,8,0,0,2021-499-k0ah-n771,/en/stats/second-screen/archive/2021/499/MS003
3,2021-499,1,Delray Beach,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,01,07,2021.01.13,2021,01,13,418195.0,2021,Quarter-Finals,3,1,,USA,Sebastian Korda,sebastian-korda,k0ah,(2),USA,John Isner,john-isner,i186,63 46 63 ,2,1,16,12,0,0,2021-499-k0ah-i186,/en/stats/second-screen/archive/2021/499/MS007
4,2021-499,1,Delray Beach,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,01,07,2021.01.13,2021,01,13,418195.0,2021,Quarter-Finals,3,2,(4),POL,Hubert Hurkacz,hubert-hurkacz,hb71,(Q),ECU,Roberto Quiroz,roberto-quiroz,q941,64 64 ,2,0,12,8,0,0,2021-499-hb71-q941,/en/stats/second-screen/archive/2021/499/MS005
5,2021-499,1,Delray Beach,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,01,07,2021.01.13,2021,01,13,418195.0,2021,Quarter-Finals,3,3,,GBR,Cameron Norrie,cameron-norrie,n771,(8),USA,Frances Tiafoe,frances-tiafoe,td51,60 36 64 ,2,1,15,10,0,0,2021-499-n771-td51,/en/stats/second-screen/archive/2021/499/MS006
6,2021-499,1,Delray Beach,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,01,07,2021.01.13,2021,01,13,418195.0,2021,Quarter-Finals,3,4,(Q),USA,Christian Harrison,christian-harrison,hb05,,ITA,Gianluca Mager,gianluca-mager,ml57,76264 ,1,0,7,6,1,0,2021-499-hb05-ml57,/en/stats/second-screen/archive/2021/499/MS004
7,2021-499,1,Delray Beach,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,01,07,2021.01.13,2021,01,13,418195.0,2021,Round of 16,4,1,(Q),USA,Christian Harrison,christian-harrison,hb05,(1),CHI,Cristian Garin,cristian-garin,gd64,76362 ,1,0,7,6,1,0,2021-499-hb05-gd64,/en/stats/second-screen/archive/2021/499/MS008
8,2021-499,1,Delray Beach,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,01,07,2021.01.13,2021,01,13,418195.0,2021,Round of 16,4,2,(2),USA,John Isner,john-isner,i186,,BRA,Thiago Monteiro,thiago-monteiro,mj08,64 764,2,0,13,10,1,0,2021-499-i186-mj08,/en/stats/second-screen/archive/2021/499/MS015
9,2021-499,1,Delray Beach,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,01,07,2021.01.13,2021,01,13,418195.0,2021,Round of 16,4,3,,GBR,Cameron Norrie,cameron-norrie,n771,(3),FRA,Adrian Mannarino,adrian-mannarino,me82,62 75 ,2,0,13,7,0,0,2021-499-n771-me82,/en/stats/second-screen/archive/2021/499/MS013
10,2021-499,1,Delray Beach,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,01,07,2021.01.13,2021,01,13,418195.0,2021,Round of 16,4,4,(4),POL,Hubert Hurkacz,hubert-hurkacz,hb71,,COL,Daniel Elahi Galan,daniel-elahi-galan,ge33,62 62 ,2,0,12,4,0,0,2021-499-hb71-ge33,/en/stats/second-screen/archive/2021/499/MS010
11,2021-499,1,Delray Beach,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,01,07,2021.01.13,2021,01,13,418195.0,2021,Round of 16,4,5,,USA,Sebastian Korda,sebastian-korda,k0ah,(5),USA,Tommy Paul,tommy-paul,pl56,46 63 62 ,2,1,16,11,0,0,2021-499-k0ah-pl56,/en/stats/second-screen/archive/2021/499/MS014
12,2021-499,1,Delray Beach,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,01,07,2021.01.13,2021,01,13,418195.0,2021,Round of 16,4,6,,ITA,Gianluca Mager,gianluca-mager,ml57,(6),USA,Sam Querrey,sam-querrey,q927,76861 ,1,0,7,6,1,0,2021-499-ml57-q927,/en/stats/second-screen/archive/2021/499/MS009
13,2021-499,1,Delray Beach,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,01,07,2021.01.13,2021,01,13,418195.0,2021,Round of 16,4,7,(8),USA,Frances Tiafoe,frances-tiafoe,td51,,USA,Bjorn Fratangelo,bjorn-fratangelo,f811,64 36 61 ,2,1,15,11,0,0,2021-499-td51-f811,/en/stats/second-screen/archive/2021/499/MS012
