tourney_year_id,tourney_order,tourney_name,tourney_slug,tourney_url_suffix,first_tourney_date,first_tourney_date_year,first_tourney_date_month,first_tourney_date_day,last_tourney_date,last_tourney_date_year,last_tourney_date_month,last_tourney_date_day,tourney_fin_commit,tourney_year,tourney_round_name,round_order,match_order,winner_seed,winner_nationality,winner_name,winner_player_id,winner_slug,loser_seed,loser_nationality,loser_name,loser_player_id,loser_slug,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id,match_stats_url_suffix
1968-9346,1,Cape Town-1,cape-town,/en/scores/archive/cape-town/9346/1968/results,1968/01/01,1968,01,01,1968/01/01,1968,01,01,,1968,Finals,1,1,,DEN,Jan Leschly,jan-leschly,l118,,RSA,Robert Maud,robert-maud,m140,36 63 86 ,2,1,17,15,0,0,1968-9346-l118-m140,
1968-9346,1,Cape Town-1,cape-town,/en/scores/archive/cape-town/9346/1968/results,1968/01/01,1968,01,01,1968/01/01,1968,01,01,,1968,Semi-Finals,2,1,,DEN,Jan Leschly,jan-leschly,l118,,RSA,Frew McMillan,frew-mcmillan,m111,64 63 ,2,0,12,7,0,0,1968-9346-l118-m111,
1968-9346,1,Cape Town-1,cape-town,/en/scores/archive/cape-town/9346/1968/results,1968/01/01,1968,01,01,1968/01/01,1968,01,01,,1968,Semi-Finals,2,2,,RSA,Robert Maud,robert-maud,m140,,GBR,Mark Cox,mark-cox,c090,64 62 ,2,0,12,6,0,0,1968-9346-m140-c090,
1968-9346,1,Cape Town-1,cape-town,/en/scores/archive/cape-town/9346/1968/results,1968/01/01,1968,01,01,1968/01/01,1968,01,01,,1968,Quarter-Finals,3,1,,GBR,Mark Cox,mark-cox,c090,,GER,Hans-Joachim Ploetz,hans-joachim-ploetz,p081,62 61 ,2,0,12,3,0,0,1968-9346-c090-p081,
1968-9346,1,Cape Town-1,cape-town,/en/scores/archive/cape-town/9346/1968/results,1968/01/01,1968,01,01,1968/01/01,1968,01,01,,1968,Quarter-Finals,3,2,,DEN,Jan Leschly,jan-leschly,l118,,RSA,Raymond Moore,raymond-moore,m118,63 46 63 ,2,1,16,12,0,0,1968-9346-l118-m118,
1968-9346,1,Cape Town-1,cape-town,/en/scores/archive/cape-town/9346/1968/results,1968/01/01,1968,01,01,1968/01/01,1968,01,01,,1968,Quarter-Finals,3,3,,RSA,Robert Maud,robert-maud,m140,,DEN,Torben Ulrich,torben-ulrich,u011,62 97 ,2,0,15,9,0,0,1968-9346-m140-u011,
1968-9346,1,Cape Town-1,cape-town,/en/scores/archive/cape-town/9346/1968/results,1968/01/01,1968,01,01,1968/01/01,1968,01,01,,1968,Quarter-Finals,3,4,,RSA,Frew McMillan,frew-mcmillan,m111,,RSA,Bob Hewitt,bob-hewitt,h058,64 64 ,2,0,12,8,0,0,1968-9346-m111-h058,
1968-9346,1,Cape Town-1,cape-town,/en/scores/archive/cape-town/9346/1968/results,1968/01/01,1968,01,01,1968/01/01,1968,01,01,,1968,Round of 16,4,1,,GBR,Mark Cox,mark-cox,c090,,GBR,Paul Hutchins,paul-hutchins,h128,62 61 ,2,0,12,3,0,0,1968-9346-c090-h128,
1968-9346,1,Cape Town-1,cape-town,/en/scores/archive/cape-town/9346/1968/results,1968/01/01,1968,01,01,1968/01/01,1968,01,01,,1968,Round of 16,4,2,,RSA,Bob Hewitt,bob-hewitt,h058,,RSA,Jackie Saul,jackie-saul,s250,63 46 63 ,2,1,16,12,0,0,1968-9346-h058-s250,
1968-9346,1,Cape Town-1,cape-town,/en/scores/archive/cape-town/9346/1968/results,1968/01/01,1968,01,01,1968/01/01,1968,01,01,,1968,Round of 16,4,3,,DEN,Jan Leschly,jan-leschly,l118,,RSA,Rohan Summers,rohan-summers,ss00,63 62 ,2,0,12,5,0,0,1968-9346-l118-ss00,
