tourney_year_id,tourney_order,tourney_name,tourney_slug,tourney_url_suffix,first_tourney_date,first_tourney_date_year,first_tourney_date_month,first_tourney_date_day,last_tourney_date,last_tourney_date_year,last_tourney_date_month,last_tourney_date_day,tourney_fin_commit,tourney_year,tourney_round_name,round_order,match_order,winner_seed,winner_nationality,winner_name,winner_player_id,winner_slug,loser_seed,loser_nationality,loser_name,loser_player_id,loser_slug,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id,match_stats_url_suffix
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Finals,1,1,(1),GBR,Andy Murray,andy-murray,mc10,(3),UKR,Alexandr Dolgopolov,alexandr-dolgopolov,d801,61 63 ,2,0,12,4,0,0,2012-339-mc10-d801,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Semi-Finals,2,1,(1),GBR,Andy Murray,andy-murray,mc10,(8),AUS,Bernard Tomic,bernard-tomic,ta46,63 62 ,2,0,12,5,0,0,2012-339-mc10-ta46,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Semi-Finals,2,2,(3),UKR,Alexandr Dolgopolov,alexandr-dolgopolov,d801,(2),FRA,Gilles Simon,gilles-simon,sd32,63 64 ,2,0,12,7,0,0,2012-339-d801-sd32,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Quarter-Finals,3,1,(1),GBR,Andy Murray,andy-murray,mc10,,CYP,Marcos Baghdatis,marcos-baghdatis,b837,62 62 ,2,0,12,4,0,0,2012-339-mc10-b837,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Quarter-Finals,3,2,(2),FRA,Gilles Simon,gilles-simon,sd32,,COL,Santiago Giraldo,santiago-giraldo,g725,76264 ,1,0,7,6,1,0,2012-339-sd32-g725,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Quarter-Finals,3,3,(3),UKR,Alexandr Dolgopolov,alexandr-dolgopolov,d801,(6),CZE,Radek Stepanek,radek-stepanek,s694,46 63 63 ,2,1,16,12,0,0,2012-339-d801-s694,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Quarter-Finals,3,4,(8),AUS,Bernard Tomic,bernard-tomic,ta46,,UZB,Denis Istomin,denis-istomin,i165,63 764,2,0,13,9,1,0,2012-339-ta46-i165,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 16,4,1,(1),GBR,Andy Murray,andy-murray,mc10,,LUX,Gilles Muller,gilles-muller,ma30,46 76460 ,1,1,11,12,1,0,2012-339-mc10-ma30,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 16,4,2,(2),FRA,Gilles Simon,gilles-simon,sd32,(WC),AUS,James Duckworth,james-duckworth,d994,63 75 ,2,0,13,8,0,0,2012-339-sd32-d994,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 16,4,3,(3),UKR,Alexandr Dolgopolov,alexandr-dolgopolov,d801,(Q),RUS,Igor Andreev,igor-andreev,a511,67376962 ,0,1,6,7,0,1,2012-339-d801-a511,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 16,4,4,,CYP,Marcos Baghdatis,marcos-baghdatis,b837,(5),JPN,Kei Nishikori,kei-nishikori,n552,63 64 ,2,0,12,7,0,0,2012-339-b837-n552,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 16,4,5,(6),CZE,Radek Stepanek,radek-stepanek,s694,,FIN,Jarkko Nieminen,jarkko-nieminen,n289,76362 ,1,0,7,6,1,0,2012-339-s694-n289,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 16,4,6,(8),AUS,Bernard Tomic,bernard-tomic,ta46,(Q),JPN,Tatsuma Ito,tatsuma-ito,i230,61 62 ,2,0,12,3,0,0,2012-339-ta46-i230,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 16,4,7,,COL,Santiago Giraldo,santiago-giraldo,g725,,GER,Philipp Petzschner,philipp-petzschner,p624,64 64 ,2,0,12,8,0,0,2012-339-g725-p624,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 16,4,8,,UZB,Denis Istomin,denis-istomin,i165,,GER,Tommy Haas,tommy-haas,h355,(W/O),0,0,0,0,0,0,2012-339-i165-h355,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 32,5,1,(1),GBR,Andy Murray,andy-murray,mc10,,KAZ,Mikhail Kukushkin,mikhail-kukushkin,k926,57 63 62 ,2,1,17,12,0,0,2012-339-mc10-k926,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 32,5,2,(2),FRA,Gilles Simon,gilles-simon,sd32,,USA,Ryan Sweeting,ryan-sweeting,sg87,63 64 ,2,0,12,7,0,0,2012-339-sd32-sg87,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 32,5,3,(3),UKR,Alexandr Dolgopolov,alexandr-dolgopolov,d801,,COL,Alejandro Falla,alejandro-falla,f444,76362 ,1,0,7,6,1,0,2012-339-d801-f444,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 32,5,4,,UZB,Denis Istomin,denis-istomin,i165,(4),GER,Florian Mayer,florian-mayer,mb02,76523 (RET),2,0,7,6,1,0,2012-339-i165-mb02,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 32,5,5,(5),JPN,Kei Nishikori,kei-nishikori,n552,,GER,Cedrik-Marcel Stebe,cedrik-marcel-stebe,sk94,36 61 64 ,2,1,15,11,0,0,2012-339-n552-sk94,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 32,5,6,(6),CZE,Radek Stepanek,radek-stepanek,s694,,AUS,Matthew Ebden,matthew-ebden,e690,64 36 63 ,2,1,15,13,0,0,2012-339-s694-e690,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 32,5,7,,GER,Philipp Petzschner,philipp-petzschner,p624,(7),AUT,Jurgen Melzer,jurgen-melzer,m762,61 75 ,2,0,13,6,0,0,2012-339-p624-m762,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 32,5,8,(8),AUS,Bernard Tomic,bernard-tomic,ta46,,FRA,Julien Benneteau,julien-benneteau,b747,62 46 75 ,2,1,17,13,0,0,2012-339-ta46-b747,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 32,5,9,(Q),RUS,Igor Andreev,igor-andreev,a511,,FRA,Adrian Mannarino,adrian-mannarino,me82,76662 ,1,0,7,6,1,0,2012-339-a511-me82,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 32,5,10,,CYP,Marcos Baghdatis,marcos-baghdatis,b837,,USA,Ryan Harrison,ryan-harrison,h940,76764 ,1,0,7,6,1,0,2012-339-b837-h940,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 32,5,11,(WC),AUS,James Duckworth,james-duckworth,d994,,FRA,Nicolas Mahut,nicolas-mahut,m873,64 64 ,2,0,12,8,0,0,2012-339-d994-m873,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 32,5,12,,COL,Santiago Giraldo,santiago-giraldo,g725,(Q),AUS,John Millman,john-millman,mh30,63 63 ,2,0,12,6,0,0,2012-339-g725-mh30,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 32,5,13,,GER,Tommy Haas,tommy-haas,h355,(WC),AUS,Marinko Matosevic,marinko-matosevic,me05,63 75 ,2,0,13,8,0,0,2012-339-h355-me05,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 32,5,14,(Q),JPN,Tatsuma Ito,tatsuma-ito,i230,(WC),AUS,Benjamin Mitchell,benjamin-mitchell,mk40,64 62 ,2,0,12,6,0,0,2012-339-i230-mk40,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 32,5,15,,LUX,Gilles Muller,gilles-muller,ma30,,BRA,Ricardo Mello,ricardo-mello,m708,67376463 ,0,1,6,7,0,1,2012-339-ma30-m708,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,Round of 32,5,16,,FIN,Jarkko Nieminen,jarkko-nieminen,n289,(Q),CAN,Jesse Levine,jesse-levine,l799,76462 ,1,0,7,6,1,0,2012-339-n289-l799,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,3rd Round Qualifying,6,1,(8),CAN,Jesse Levine,jesse-levine,l799,(1),GER,Tobias Kamke,tobias-kamke,k839,75 64 ,2,0,13,9,0,0,2012-339-l799-k839,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,3rd Round Qualifying,6,2,(2),RUS,Igor Andreev,igor-andreev,a511,(6),EST,Jurgen Zopp,jurgen-zopp,z254,64 26 75 ,2,1,15,15,0,0,2012-339-a511-z254,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,3rd Round Qualifying,6,3,(3),JPN,Tatsuma Ito,tatsuma-ito,i230,,AUS,Michael Look,michael-look,l837,46 64 64 ,2,1,16,14,0,0,2012-339-i230-l837,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,3rd Round Qualifying,6,4,,AUS,John Millman,john-millman,mh30,,AUS,Chris Guccione,chris-guccione,g621,764673764,1,0,7,6,1,0,2012-339-mh30-g621,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,2nd Round Qualifying,7,1,(1),GER,Tobias Kamke,tobias-kamke,k839,,AUS,Greg Jones,greg-jones,j361,63 63 ,2,0,12,6,0,0,2012-339-k839-j361,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,2nd Round Qualifying,7,2,(2),RUS,Igor Andreev,igor-andreev,a511,,AUS,Matt Reid,matt-reid,r977,671263 64 ,1,1,12,11,0,1,2012-339-a511-r977,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,2nd Round Qualifying,7,3,(3),JPN,Tatsuma Ito,tatsuma-ito,i230,,AUS,Luke Saville,luke-saville,sm09,62 62 ,2,0,12,4,0,0,2012-339-i230-sm09,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,2nd Round Qualifying,7,4,(6),EST,Jurgen Zopp,jurgen-zopp,z254,,AUS,Gavin Van Peperzeel,gavin-van-peperzeel,v784,46 61 63 ,2,1,16,10,0,0,2012-339-z254-v784,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,2nd Round Qualifying,7,5,(8),CAN,Jesse Levine,jesse-levine,l799,,AUS,Maverick Banes,maverick-banes,bh87,62 63 ,2,0,12,5,0,0,2012-339-l799-bh87,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,2nd Round Qualifying,7,6,,AUS,Chris Guccione,chris-guccione,g621,,CZE,Jan Hernych,jan-hernych,h442,63 764,2,0,13,9,1,0,2012-339-g621-h442,
2012-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2012/results,2012.01.01,2012,01,01,2012.01.08,2012,01,08,486000.0,2012,2nd Round Qualifying,7,7,,AUS,Michael Look,michael-look,l837,,AUS,Colin Ebelthite,colin-ebelthite,e629,63 64 ,2,0,12,7,0,0,2012-339-l837-e629,
