tourney_year_id,tourney_order,tourney_name,tourney_slug,tourney_url_suffix,first_tourney_date,first_tourney_date_year,first_tourney_date_month,first_tourney_date_day,last_tourney_date,last_tourney_date_year,last_tourney_date_month,last_tourney_date_day,tourney_fin_commit,tourney_year,tourney_round_name,round_order,match_order,winner_seed,winner_nationality,winner_name,winner_player_id,winner_slug,loser_seed,loser_nationality,loser_name,loser_player_id,loser_slug,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id,match_stats_url_suffix
1970-9290,1,Australian Round Robin,australian-round-robin,/en/scores/archive/australian-round-robin/9290/1970/results,1970/01/04,1970,01,04,1970/01/04,1970,01,04,10000.0,1970,Finals,1,1,,AUS,Tony Roche,tony-roche,r073,,AUS,John Newcombe,john-newcombe,n044,57 75 75 ,2,1,19,17,0,0,1970-9290-r073-n044,
1970-9290,1,Australian Round Robin,australian-round-robin,/en/scores/archive/australian-round-robin/9290/1970/results,1970/01/04,1970,01,04,1970/01/04,1970,01,04,10000.0,1970,Round Robin,2,1,,AUS,John Newcombe,john-newcombe,n044,,GBR,Roger Taylor,roger-taylor,t050,64 36 62 ,2,1,15,12,0,0,1970-9290-n044-t050,
1970-9290,1,Australian Round Robin,australian-round-robin,/en/scores/archive/australian-round-robin/9290/1970/results,1970/01/04,1970,01,04,1970/01/04,1970,01,04,10000.0,1970,Round Robin,2,2,,AUS,Tony Roche,tony-roche,r073,,CRO,Nikola Pilic,nikola-pilic,p080,36 63 64 ,2,1,15,13,0,0,1970-9290-r073-p080,
1970-9290,1,Australian Round Robin,australian-round-robin,/en/scores/archive/australian-round-robin/9290/1970/results,1970/01/04,1970,01,04,1970/01/04,1970,01,04,10000.0,1970,Round Robin,2,3,,CRO,Nikola Pilic,nikola-pilic,p080,,NED,Tom Okker,tom-okker,o032,63 64 ,2,0,12,7,0,0,1970-9290-p080-o032,
1970-9290,1,Australian Round Robin,australian-round-robin,/en/scores/archive/australian-round-robin/9290/1970/results,1970/01/04,1970,01,04,1970/01/04,1970,01,04,10000.0,1970,Round Robin,2,4,,AUS,Tony Roche,tony-roche,r073,,GBR,Roger Taylor,roger-taylor,t050,86 63 ,2,0,14,9,0,0,1970-9290-r073-t050,
1970-9290,1,Australian Round Robin,australian-round-robin,/en/scores/archive/australian-round-robin/9290/1970/results,1970/01/04,1970,01,04,1970/01/04,1970,01,04,10000.0,1970,Round Robin,2,5,,NED,Tom Okker,tom-okker,o032,,GBR,Roger Taylor,roger-taylor,t050,75 36 63 ,2,1,16,14,0,0,1970-9290-o032-t050,
1970-9290,1,Australian Round Robin,australian-round-robin,/en/scores/archive/australian-round-robin/9290/1970/results,1970/01/04,1970,01,04,1970/01/04,1970,01,04,10000.0,1970,Round Robin,2,6,,AUS,John Newcombe,john-newcombe,n044,,NED,Tom Okker,tom-okker,o032,108 ,1,0,1,0,1,0,1970-9290-n044-o032,
1970-9290,1,Australian Round Robin,australian-round-robin,/en/scores/archive/australian-round-robin/9290/1970/results,1970/01/04,1970,01,04,1970/01/04,1970,01,04,10000.0,1970,Round Robin,2,7,,CRO,Nikola Pilic,nikola-pilic,p080,,GBR,Roger Taylor,roger-taylor,t050,1311 ,0,1,1,3,0,1,1970-9290-p080-t050,
1970-9290,1,Australian Round Robin,australian-round-robin,/en/scores/archive/australian-round-robin/9290/1970/results,1970/01/04,1970,01,04,1970/01/04,1970,01,04,10000.0,1970,Round Robin,2,8,,AUS,John Newcombe,john-newcombe,n044,,CRO,Nikola Pilic,nikola-pilic,p080,62 63 ,2,0,12,5,0,0,1970-9290-n044-p080,
1970-9290,1,Australian Round Robin,australian-round-robin,/en/scores/archive/australian-round-robin/9290/1970/results,1970/01/04,1970,01,04,1970/01/04,1970,01,04,10000.0,1970,Round Robin,2,9,,AUS,Tony Roche,tony-roche,r073,,NED,Tom Okker,tom-okker,o032,64 61 ,2,0,12,5,0,0,1970-9290-r073-o032,
1970-3936,2,Melbourne,melbourne,/en/scores/archive/melbourne/3936/1970/results,1970.01.10,1970,01,10,1970.01.18,1970,01,18,12000.0,1970,Finals,1,1,,AUS,John Newcombe,john-newcombe,n044,,AUS,Tony Roche,tony-roche,r073,64 64 46 (RET),3,1,16,14,0,0,1970-3936-n044-r073,
1970-3936,2,Melbourne,melbourne,/en/scores/archive/melbourne/3936/1970/results,1970.01.10,1970,01,10,1970.01.18,1970,01,18,12000.0,1970,Semi-Finals,2,1,,AUS,John Newcombe,john-newcombe,n044,,GBR,Roger Taylor,roger-taylor,t050,63 62 75 ,3,0,19,10,0,0,1970-3936-n044-t050,
