tourney_year_id,tourney_order,tourney_name,tourney_slug,tourney_url_suffix,first_tourney_date,first_tourney_date_year,first_tourney_date_month,first_tourney_date_day,last_tourney_date,last_tourney_date_year,last_tourney_date_month,last_tourney_date_day,tourney_fin_commit,tourney_year,tourney_round_name,round_order,match_order,winner_seed,winner_nationality,winner_name,winner_player_id,winner_slug,loser_seed,loser_nationality,loser_name,loser_player_id,loser_slug,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id,match_stats_url_suffix
2008-451,1,Doha,doha,/en/scores/archive/doha/451/2008/results,2007.12.31,2007,12,31,2008.01.06,2008,01,06,1049000.0,2008,Finals,1,1,(3),GBR,Andy Murray,andy-murray,mc10,,SUI,Stan Wawrinka,stan-wawrinka,w367,64 46 62 ,2,1,16,12,0,0,2008-451-mc10-w367,/en/scores/match-stats/archive/2008/451/ms001
2008-451,1,Doha,doha,/en/scores/archive/doha/451/2008/results,2007.12.31,2007,12,31,2008.01.06,2008,01,06,1049000.0,2008,Semi-Finals,2,1,(3),GBR,Andy Murray,andy-murray,mc10,(1),RUS,Nikolay Davydenko,nikolay-davydenko,d402,64 63 ,2,0,12,7,0,0,2008-451-mc10-d402,/en/scores/match-stats/archive/2008/451/ms002
2008-451,1,Doha,doha,/en/scores/archive/doha/451/2008/results,2007.12.31,2007,12,31,2008.01.06,2008,01,06,1049000.0,2008,Semi-Finals,2,2,,SUI,Stan Wawrinka,stan-wawrinka,w367,(4),CRO,Ivan Ljubicic,ivan-ljubicic,l360,76164 ,1,0,7,6,1,0,2008-451-w367-l360,/en/scores/match-stats/archive/2008/451/ms003
2008-451,1,Doha,doha,/en/scores/archive/doha/451/2008/results,2007.12.31,2007,12,31,2008.01.06,2008,01,06,1049000.0,2008,Quarter-Finals,3,1,(1),RUS,Nikolay Davydenko,nikolay-davydenko,d402,(8),RUS,Dmitry Tursunov,dmitry-tursunov,t315,75 63 ,2,0,13,8,0,0,2008-451-d402-t315,/en/scores/match-stats/archive/2008/451/ms004
2008-451,1,Doha,doha,/en/scores/archive/doha/451/2008/results,2007.12.31,2007,12,31,2008.01.06,2008,01,06,1049000.0,2008,Quarter-Finals,3,2,(3),GBR,Andy Murray,andy-murray,mc10,,SWE,Thomas Johansson,thomas-johansson,j129,76460 ,1,0,7,6,1,0,2008-451-mc10-j129,/en/scores/match-stats/archive/2008/451/ms005
2008-451,1,Doha,doha,/en/scores/archive/doha/451/2008/results,2007.12.31,2007,12,31,2008.01.06,2008,01,06,1049000.0,2008,Quarter-Finals,3,3,(4),CRO,Ivan Ljubicic,ivan-ljubicic,l360,(6),GER,Philipp Kohlschreiber,philipp-kohlschreiber,k435,63 67463 ,1,1,12,10,0,1,2008-451-l360-k435,/en/scores/match-stats/archive/2008/451/ms006
2008-451,1,Doha,doha,/en/scores/archive/doha/451/2008/results,2007.12.31,2007,12,31,2008.01.06,2008,01,06,1049000.0,2008,Quarter-Finals,3,4,,SUI,Stan Wawrinka,stan-wawrinka,w367,,ARG,Agustin Calleri,agustin-calleri,c478,63 60 ,2,0,12,3,0,0,2008-451-w367-c478,/en/scores/match-stats/archive/2008/451/ms007
2008-451,1,Doha,doha,/en/scores/archive/doha/451/2008/results,2007.12.31,2007,12,31,2008.01.06,2008,01,06,1049000.0,2008,Round of 16,4,1,(1),RUS,Nikolay Davydenko,nikolay-davydenko,d402,,FRA,Fabrice Santoro,fabrice-santoro,s424,63 63 ,2,0,12,6,0,0,2008-451-d402-s424,/en/scores/match-stats/archive/2008/451/ms008
2008-451,1,Doha,doha,/en/scores/archive/doha/451/2008/results,2007.12.31,2007,12,31,2008.01.06,2008,01,06,1049000.0,2008,Round of 16,4,2,(3),GBR,Andy Murray,andy-murray,mc10,(WC),GER,Rainer Schuettler,rainer-schuettler,s636,16 60 61 ,2,1,13,7,0,0,2008-451-mc10-s636,/en/scores/match-stats/archive/2008/451/ms010
2008-451,1,Doha,doha,/en/scores/archive/doha/451/2008/results,2007.12.31,2007,12,31,2008.01.06,2008,01,06,1049000.0,2008,Round of 16,4,3,(4),CRO,Ivan Ljubicic,ivan-ljubicic,l360,,SRB,Janko Tipsarevic,janko-tipsarevic,t742,(W/O),0,0,0,0,0,0,2008-451-l360-t742,
