tourney_year_id,tourney_order,tourney_name,tourney_slug,tourney_url_suffix,first_tourney_date,first_tourney_date_year,first_tourney_date_month,first_tourney_date_day,last_tourney_date,last_tourney_date_year,last_tourney_date_month,last_tourney_date_day,tourney_fin_commit,tourney_year,tourney_round_name,round_order,match_order,winner_seed,winner_nationality,winner_name,winner_player_id,winner_slug,loser_seed,loser_nationality,loser_name,loser_player_id,loser_slug,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id,match_stats_url_suffix
1953-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1953/results,1953.01.09,1953,01,09,1953.01.17,1953,01,17,0.0,1953,Finals,1,1,(3),AUS,Ken Rosewall,ken-rosewall,r075,(1),AUS,Mervyn Rose,mervyn-rose,r163,60 63 64 ,3,0,18,7,0,0,1953-580-r075-r163,
1953-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1953/results,1953.01.09,1953,01,09,1953.01.17,1953,01,17,0.0,1953,Semi-Finals,2,1,(1),AUS,Mervyn Rose,mervyn-rose,r163,(11),AUS,Ian Ayre,ian-ayre,ad80,46 46 61 64 64 ,3,2,26,21,0,0,1953-580-r163-ad80,
1953-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1953/results,1953.01.09,1953,01,09,1953.01.17,1953,01,17,0.0,1953,Semi-Finals,2,2,(3),AUS,Ken Rosewall,ken-rosewall,r075,(2),USA,E. Victor Seixas,e.-victor-seixas,s240,63 46 75 64 ,3,1,23,18,0,0,1953-580-r075-s240,
1953-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1953/results,1953.01.09,1953,01,09,1953.01.17,1953,01,17,0.0,1953,Quarter-Finals,3,1,(1),AUS,Mervyn Rose,mervyn-rose,r163,(6),USA,"Hamilton ""Ham"" Richardson","hamilton-""ham""-richardson",r160,810 64 16 86 75 ,4,1,30,22,1,0,1953-580-r163-r160,
1953-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1953/results,1953.01.09,1953,01,09,1953.01.17,1953,01,17,0.0,1953,Quarter-Finals,3,2,(2),USA,E. Victor Seixas,e.-victor-seixas,s240,(7),AUS,Geoff Brown,geoff-brown,b309,64 64 75 ,3,0,19,13,0,0,1953-580-s240-b309,
1953-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1953/results,1953.01.09,1953,01,09,1953.01.17,1953,01,17,0.0,1953,Quarter-Finals,3,3,(3),AUS,Ken Rosewall,ken-rosewall,r075,(8),USA,Straight Clark,straight-clark,ci34,64 64 62 ,3,0,18,10,0,0,1953-580-r075-ci34,
1953-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1953/results,1953.01.09,1953,01,09,1953.01.17,1953,01,17,0.0,1953,Quarter-Finals,3,4,(11),AUS,Ian Ayre,ian-ayre,ad80,,AUS,Clive Wilderspin,clive-wilderspin,w751,64 119 16 86 ,2,2,16,17,0,0,1953-580-ad80-w751,
1953-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1953/results,1953.01.09,1953,01,09,1953.01.17,1953,01,17,0.0,1953,Round of 16,4,1,(1),AUS,Mervyn Rose,mervyn-rose,r163,,AUS,Adrian Quist,adrian-quist,q964,64 36 62 64 ,3,1,21,16,0,0,1953-580-r163-q964,
1953-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1953/results,1953.01.09,1953,01,09,1953.01.17,1953,01,17,0.0,1953,Round of 16,4,2,(2),USA,E. Victor Seixas,e.-victor-seixas,s240,(12),AUS,Neale Fraser,neale-fraser,f113,64 60 64 ,3,0,18,8,0,0,1953-580-s240-f113,
1953-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1953/results,1953.01.09,1953,01,09,1953.01.17,1953,01,17,0.0,1953,Round of 16,4,3,(3),AUS,Ken Rosewall,ken-rosewall,r075,,AUS,Donald Tregonning,donald-tregonning,td73,62 63 46 63 ,3,1,22,14,0,0,1953-580-r075-td73,
