tourney_year_id,tourney_order,tourney_name,tourney_slug,tourney_url_suffix,first_tourney_date,first_tourney_date_year,first_tourney_date_month,first_tourney_date_day,last_tourney_date,last_tourney_date_year,last_tourney_date_month,last_tourney_date_day,tourney_fin_commit,tourney_year,tourney_round_name,round_order,match_order,winner_seed,winner_nationality,winner_name,winner_player_id,winner_slug,loser_seed,loser_nationality,loser_name,loser_player_id,loser_slug,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id,match_stats_url_suffix
1986-301,1,Auckland,auckland,/en/scores/archive/auckland/301/1986/results,1986.01.06,1986,01,06,1986.01.12,1986,01,12,100000,1986,Round of 32,5,7,,USA,Bill Scanlon,bill-scanlon,s017,(7),AUS,Broderick Dyke,broderick-dyke,d049,62 61 ,2,0,12,3,0,0,1986-301-s017-d049,
1986-301,1,Auckland,auckland,/en/scores/archive/auckland/301/1986/results,1986.01.06,1986,01,06,1986.01.12,1986,01,12,100000,1986,Round of 32,5,8,(8),NZL,Russell Simpson,russell-simpson,s052,(Q),GBR,Jason Goodall,jason-goodall,g026,75 36 62 ,2,1,16,13,0,0,1986-301-s052-g026,
1986-301,1,Auckland,auckland,/en/scores/archive/auckland/301/1986/results,1986.01.06,1986,01,06,1986.01.12,1986,01,12,100000,1986,Round of 32,5,9,,NZL,Bruce Derlin,bruce-derlin,d022,,AUT,Alex Antonitsch,alex-antonitsch,a028,63 62 ,2,0,12,5,0,0,1986-301-d022-a028,
1986-301,1,Auckland,auckland,/en/scores/archive/auckland/301/1986/results,1986.01.06,1986,01,06,1986.01.12,1986,01,12,100000,1986,Round of 32,5,10,,USA,Brett Dickinson,brett-dickinson,d027,(Q),USA,Karl Richter,karl-richter,r021,46 60 63 ,2,1,16,9,0,0,1986-301-d027-r021,
1986-301,1,Auckland,auckland,/en/scores/archive/auckland/301/1986/results,1986.01.06,1986,01,06,1986.01.12,1986,01,12,100000,1986,Round of 32,5,11,,AUS,Brad Drewett,brad-drewett,d040,(WC),NZL,Brett Steven,brett-steven,s321,63 76 ,2,0,13,9,0,0,1986-301-d040-s321,
1986-301,1,Auckland,auckland,/en/scores/archive/auckland/301/1986/results,1986.01.06,1986,01,06,1986.01.12,1986,01,12,100000,1986,Round of 32,5,12,,NZL,Steve Guy,steve-guy,g055,,AUS,Peter Johnston,peter-johnston,j016,46 64 75 ,2,1,17,15,0,0,1986-301-g055-j016,
1986-301,1,Auckland,auckland,/en/scores/archive/auckland/301/1986/results,1986.01.06,1986,01,06,1986.01.12,1986,01,12,100000,1986,Round of 32,5,13,(WC),NZL,David Lewis,david-lewis,l026,,USA,Rick Rudeen,rick-rudeen,r095,63 26 62 ,2,1,14,11,0,0,1986-301-l026-r095,
1986-301,1,Auckland,auckland,/en/scores/archive/auckland/301/1986/results,1986.01.06,1986,01,06,1986.01.12,1986,01,12,100000,1986,Round of 32,5,14,,AUS,Craig A Miller,craig-a-miller,m066,,ARG,Roberto Saad,roberto-saad,s002,63 61 ,2,0,12,4,0,0,1986-301-m066-s002,
1986-301,1,Auckland,auckland,/en/scores/archive/auckland/301/1986/results,1986.01.06,1986,01,06,1986.01.12,1986,01,12,100000,1986,Round of 32,5,15,,NZL,David Mustard,david-mustard,m097,(Q),NZL,Malcolm Elley,malcolm-elley,e062,64 64 ,2,0,12,8,0,0,1986-301-m097-e062,
1986-301,1,Auckland,auckland,/en/scores/archive/auckland/301/1986/results,1986.01.06,1986,01,06,1986.01.12,1986,01,12,100000,1986,Round of 32,5,16,,AUS,Mark Woodforde,mark-woodforde,w035,,GER,Harald Rittersbacher,harald-rittersbacher,r027,64 63 ,2,0,12,7,0,0,1986-301-w035-r027,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Finals,1,1,(1),USA,Ivan Lendl,ivan-lendl,l018,(7),USA,Tim Mayotte,tim-mayotte,m041,(W/O),0,0,0,0,0,0,1986-401-l018-m041,
1986-401,3,Philadelphia,philadelphia,/en/scores/archive/philadelphia/401/1986/results,1986.01.27,1986,01,27,1986.02.02,1986,02,02,465000,1986,Semi-Finals,2,1,(1),USA,Ivan Lendl,ivan-lendl,l018,(11),USA,Brad Gilbert,brad-gilbert,g016,75 46 62 ,2,1,17,13,0,0,1986-401-l018-g016,
