tourney_year_id,tourney_order,tourney_name,tourney_slug,tourney_url_suffix,first_tourney_date,first_tourney_date_year,first_tourney_date_month,first_tourney_date_day,last_tourney_date,last_tourney_date_year,last_tourney_date_month,last_tourney_date_day,tourney_fin_commit,tourney_year,tourney_round_name,round_order,match_order,winner_seed,winner_nationality,winner_name,winner_player_id,winner_slug,loser_seed,loser_nationality,loser_name,loser_player_id,loser_slug,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id,match_stats_url_suffix
1946-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1946/results,1946.01.19,1946,01,19,1946.01.28,1946,01,28,0.0,1946,Finals,1,1,(1),AUS,John Bromwich,john-bromwich,bo44,(3),AUS,Dinny Pails,dinny-pails,pi85,57 63 75 36 62 ,3,2,27,23,0,0,1946-580-bo44-pi85,
1946-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1946/results,1946.01.19,1946,01,19,1946.01.28,1946,01,28,0.0,1946,Semi-Finals,2,1,(1),AUS,John Bromwich,john-bromwich,bo44,(6),AUS,Geoff Brown,geoff-brown,b309,63 62 61 ,3,0,18,6,0,0,1946-580-bo44-b309,
1946-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1946/results,1946.01.19,1946,01,19,1946.01.28,1946,01,28,0.0,1946,Semi-Finals,2,2,(3),AUS,Dinny Pails,dinny-pails,pi85,(2),AUS,Adrian Quist,adrian-quist,q964,62 64 62 ,3,0,18,8,0,0,1946-580-pi85-q964,
1946-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1946/results,1946.01.19,1946,01,19,1946.01.28,1946,01,28,0.0,1946,Quarter-Finals,3,1,(1),AUS,John Bromwich,john-bromwich,bo44,(8),AUS,Jack Harper,jack-harper,hd24,61 62 61 ,3,0,18,4,0,0,1946-580-bo44-hd24,
1946-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1946/results,1946.01.19,1946,01,19,1946.01.28,1946,01,28,0.0,1946,Quarter-Finals,3,2,(2),AUS,Adrian Quist,adrian-quist,q964,,AUS,Max Bonner,max-bonner,bo83,60 86 36 62 ,3,1,23,14,0,0,1946-580-q964-bo83,
1946-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1946/results,1946.01.19,1946,01,19,1946.01.28,1946,01,28,0.0,1946,Quarter-Finals,3,3,(3),AUS,Dinny Pails,dinny-pails,pi85,(7),AUS,Lionel Brodie,lionel-brodie,bo80,62 62 60 ,3,0,18,4,0,0,1946-580-pi85-bo80,
1946-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1946/results,1946.01.19,1946,01,19,1946.01.28,1946,01,28,0.0,1946,Quarter-Finals,3,4,(6),AUS,Geoff Brown,geoff-brown,b309,(4),AUS,Harry Hopman,harry-hopman,hd04,46 64 63 64 ,3,1,22,17,0,0,1946-580-b309-hd04,
1946-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1946/results,1946.01.19,1946,01,19,1946.01.28,1946,01,28,0.0,1946,Round of 16,4,1,(1),AUS,John Bromwich,john-bromwich,bo44,,AUS,Ken Slater,ken-slater,st90,64 61 62 ,3,0,18,7,0,0,1946-580-bo44-st90,
1946-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1946/results,1946.01.19,1946,01,19,1946.01.28,1946,01,28,0.0,1946,Round of 16,4,2,(2),AUS,Adrian Quist,adrian-quist,q964,,AUS,Robert McCarthy,robert-mccarthy,mq73,61 64 63 ,3,0,18,8,0,0,1946-580-q964-mq73,
1946-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1946/results,1946.01.19,1946,01,19,1946.01.28,1946,01,28,0.0,1946,Round of 16,4,3,(3),AUS,Dinny Pails,dinny-pails,pi85,,AUS,Colin Long,colin-long,le95,63 61 62 ,3,0,18,6,0,0,1946-580-pi85-le95,
1946-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1946/results,1946.01.19,1946,01,19,1946.01.28,1946,01,28,0.0,1946,Round of 16,4,4,(4),AUS,Harry Hopman,harry-hopman,hd04,,AUS,Donald Turnbull,donald-turnbull,td92,64 75 46 63 ,3,1,23,18,0,0,1946-580-hd04-td92,
1946-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1946/results,1946.01.19,1946,01,19,1946.01.28,1946,01,28,0.0,1946,Round of 16,4,5,,AUS,Max Bonner,max-bonner,bo83,(5),AUS,Jack Crawford,jack-crawford,ci73,108 26 61 61 ,3,1,15,8,1,0,1946-580-bo83-ci73,
1946-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1946/results,1946.01.19,1946,01,19,1946.01.28,1946,01,28,0.0,1946,Round of 16,4,6,(6),AUS,Geoff Brown,geoff-brown,b309,,AUS,Frank Sedgman,frank-sedgman,s248,62 61 64 ,3,0,18,7,0,0,1946-580-b309-s248,
