tourney_year_id,tourney_order,tourney_name,tourney_slug,tourney_url_suffix,first_tourney_date,first_tourney_date_year,first_tourney_date_month,first_tourney_date_day,last_tourney_date,last_tourney_date_year,last_tourney_date_month,last_tourney_date_day,tourney_fin_commit,tourney_year,tourney_round_name,round_order,match_order,winner_seed,winner_nationality,winner_name,winner_player_id,winner_slug,loser_seed,loser_nationality,loser_name,loser_player_id,loser_slug,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id,match_stats_url_suffix
2015-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2015/results,2015.01.04,2015,01,04,2015.01.11,2015,01,11,494310,2015,Finals,1,1,(1),SUI,Roger Federer,roger-federer,f324,(3),CAN,Milos Raonic,milos-raonic,r975,64 67264 ,1,1,12,11,0,1,2015-339-f324-r975,
2015-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2015/results,2015.01.04,2015,01,04,2015.01.11,2015,01,11,494310,2015,Semi-Finals,2,1,(1),SUI,Roger Federer,roger-federer,f324,(4),BUL,Grigor Dimitrov,grigor-dimitrov,d875,62 62 ,2,0,12,4,0,0,2015-339-f324-d875,
2015-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2015/results,2015.01.04,2015,01,04,2015.01.11,2015,01,11,494310,2015,Semi-Finals,2,2,(3),CAN,Milos Raonic,milos-raonic,r975,(2),JPN,Kei Nishikori,kei-nishikori,n552,674764764,0,1,6,7,0,1,2015-339-r975-n552,
2015-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2015/results,2015.01.04,2015,01,04,2015.01.11,2015,01,11,494310,2015,Quarter-Finals,3,1,(1),SUI,Roger Federer,roger-federer,f324,(WC),AUS,James Duckworth,james-duckworth,d994,60 61 ,2,0,12,1,0,0,2015-339-f324-d994,
2015-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2015/results,2015.01.04,2015,01,04,2015.01.11,2015,01,11,494310,2015,Quarter-Finals,3,2,(2),JPN,Kei Nishikori,kei-nishikori,n552,,AUS,Bernard Tomic,bernard-tomic,ta46,60 64 ,2,0,12,4,0,0,2015-339-n552-ta46,
2015-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2015/results,2015.01.04,2015,01,04,2015.01.11,2015,01,11,494310,2015,Quarter-Finals,3,3,(3),CAN,Milos Raonic,milos-raonic,r975,,AUS,Sam Groth,sam-groth,g940,76536 762,2,0,14,12,2,0,2015-339-r975-g940,
2015-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2015/results,2015.01.04,2015,01,04,2015.01.11,2015,01,11,494310,2015,Quarter-Finals,3,4,(4),BUL,Grigor Dimitrov,grigor-dimitrov,d875,,SVK,Martin Klizan,martin-klizan,k966,63 64 ,2,0,12,7,0,0,2015-339-d875-k966,
2015-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2015/results,2015.01.04,2015,01,04,2015.01.11,2015,01,11,494310,2015,Round of 16,4,1,(1),SUI,Roger Federer,roger-federer,f324,(WC),AUS,John Millman,john-millman,mh30,46 64 63 ,2,1,16,13,0,0,2015-339-f324-mh30,
2015-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2015/results,2015.01.04,2015,01,04,2015.01.11,2015,01,11,494310,2015,Round of 16,4,2,(2),JPN,Kei Nishikori,kei-nishikori,n552,,USA,Steve Johnson,steve-johnson,j386,64 75 ,2,0,13,9,0,0,2015-339-n552-j386,
2015-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2015/results,2015.01.04,2015,01,04,2015.01.11,2015,01,11,494310,2015,Round of 16,4,3,(3),CAN,Milos Raonic,milos-raonic,r975,,KAZ,Mikhail Kukushkin,mikhail-kukushkin,k926,63 64 ,2,0,12,7,0,0,2015-339-r975-k926,
2015-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2015/results,2015.01.04,2015,01,04,2015.01.11,2015,01,11,494310,2015,Round of 16,4,4,(4),BUL,Grigor Dimitrov,grigor-dimitrov,d875,,FRA,Jeremy Chardy,jeremy-chardy,ca12,36 64 768,2,1,16,16,1,0,2015-339-d875-ca12,
2015-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2015/results,2015.01.04,2015,01,04,2015.01.11,2015,01,11,494310,2015,Round of 16,4,5,,SVK,Martin Klizan,martin-klizan,k966,(7),UKR,Alexandr Dolgopolov,alexandr-dolgopolov,d801,16 766767,1,1,8,12,1,0,2015-339-k966-d801,
2015-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2015/results,2015.01.04,2015,01,04,2015.01.11,2015,01,11,494310,2015,Round of 16,4,6,(WC),AUS,James Duckworth,james-duckworth,d994,,FIN,Jarkko Nieminen,jarkko-nieminen,n289,46 76563 ,1,1,11,12,1,0,2015-339-d994-n289,
2015-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2015/results,2015.01.04,2015,01,04,2015.01.11,2015,01,11,494310,2015,Round of 16,4,7,,AUS,Sam Groth,sam-groth,g940,(Q),POL,Lukasz Kubot,lukasz-kubot,k540,64 672763,1,1,12,11,0,1,2015-339-g940-k540,
2015-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2015/results,2015.01.04,2015,01,04,2015.01.11,2015,01,11,494310,2015,Round of 16,4,8,,AUS,Bernard Tomic,bernard-tomic,ta46,(WC),AUS,Thanasi Kokkinakis,thanasi-kokkinakis,kd46,76261 ,1,0,7,6,1,0,2015-339-ta46-kd46,
2015-339,1,Brisbane,brisbane,/en/scores/archive/brisbane/339/2015/results,2015.01.04,2015,01,04,2015.01.11,2015,01,11,494310,2015,Round of 32,5,1,(1),SUI,Roger Federer,roger-federer,f324,,,Bye,,,,0,0,0,0,0,0,2015-339-f324-,
