tourney_year_id,tourney_order,tourney_name,tourney_slug,tourney_url_suffix,first_tourney_date,first_tourney_date_year,first_tourney_date_month,first_tourney_date_day,last_tourney_date,last_tourney_date_year,last_tourney_date_month,last_tourney_date_day,tourney_fin_commit,tourney_year,tourney_round_name,round_order,match_order,winner_seed,winner_nationality,winner_name,winner_player_id,winner_slug,loser_seed,loser_nationality,loser_name,loser_player_id,loser_slug,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id,match_stats_url_suffix
1917-560,1,US Championships,us-championships,/en/scores/archive/us-championships/560/1917/results,1917.08.20,1917,08,20,1917.08.25,1917,08,25,0.0,1917,Finals,1,1,,USA,Lindley Murray,lindley-murray,mt28,,USA,Nathaniel Niles,nathaniel-niles,n865,57 86 63 63 ,3,1,25,19,0,0,1917-560-mt28-n865,
1917-560,1,US Championships,us-championships,/en/scores/archive/us-championships/560/1917/results,1917.08.20,1917,08,20,1917.08.25,1917,08,25,0.0,1917,Semi-Finals,2,1,,USA,Lindley Murray,lindley-murray,mt28,,,J. Strachan,j.-strachan,sv82,46 63 63 61 ,3,1,22,13,0,0,1917-560-mt28-sv82,
1917-560,1,US Championships,us-championships,/en/scores/archive/us-championships/560/1917/results,1917.08.20,1917,08,20,1917.08.25,1917,08,25,0.0,1917,Semi-Finals,2,2,,USA,Nathaniel Niles,nathaniel-niles,n865,,USA,Richard Norris Williams,richard-norris-williams,w830,62 46 64 63 ,3,1,22,15,0,0,1917-560-n865-w830,
1917-560,1,US Championships,us-championships,/en/scores/archive/us-championships/560/1917/results,1917.08.20,1917,08,20,1917.08.25,1917,08,25,0.0,1917,Quarter-Finals,3,1,,USA,Lindley Murray,lindley-murray,mt28,,,Craig Biddle,craig-biddle,bq54,46 61 64 46 62 ,3,2,26,19,0,0,1917-560-mt28-bq54,
1917-560,1,US Championships,us-championships,/en/scores/archive/us-championships/560/1917/results,1917.08.20,1917,08,20,1917.08.25,1917,08,25,0.0,1917,Quarter-Finals,3,2,,USA,Nathaniel Niles,nathaniel-niles,n865,,,C. Griffin,c.-griffin,gh58,61 63 60 ,3,0,18,4,0,0,1917-560-n865-gh58,
1917-560,1,US Championships,us-championships,/en/scores/archive/us-championships/560/1917/results,1917.08.20,1917,08,20,1917.08.25,1917,08,25,0.0,1917,Quarter-Finals,3,3,,,J. Strachan,j.-strachan,sv82,,USA,Charles Garland,charles-garland,gh68,61 26 62 63 ,3,1,20,12,0,0,1917-560-sv82-gh68,
1917-560,1,US Championships,us-championships,/en/scores/archive/us-championships/560/1917/results,1917.08.20,1917,08,20,1917.08.25,1917,08,25,0.0,1917,Quarter-Finals,3,4,,USA,Richard Norris Williams,richard-norris-williams,w830,,,H. Throckmorton,h.-throckmorton,te83,61 36 64 06 63 ,3,2,21,20,0,0,1917-560-w830-te83,
1917-560,1,US Championships,us-championships,/en/scores/archive/us-championships/560/1917/results,1917.08.20,1917,08,20,1917.08.25,1917,08,25,0.0,1917,Round of 16,4,1,,,Craig Biddle,craig-biddle,bq54,,USA,Dean Mathey,dean-mathey,mq86,64 1214 63 63 ,3,1,19,12,0,1,1917-560-bq54-mq86,
1917-560,1,US Championships,us-championships,/en/scores/archive/us-championships/560/1917/results,1917.08.20,1917,08,20,1917.08.25,1917,08,25,0.0,1917,Round of 16,4,2,,USA,Charles Garland,charles-garland,gh68,,,D. Watters,d.-watters,w916,64 61 63 ,3,0,18,8,0,0,1917-560-gh68-w916,
1917-560,1,US Championships,us-championships,/en/scores/archive/us-championships/560/1917/results,1917.08.20,1917,08,20,1917.08.25,1917,08,25,0.0,1917,Round of 16,4,3,,,C. Griffin,c.-griffin,gh58,,,R. Beck,r.-beck,br37,62 86 62 ,3,0,20,10,0,0,1917-560-gh58-br37,
