tourney_year_id,tourney_order,tourney_name,tourney_slug,tourney_url_suffix,first_tourney_date,first_tourney_date_year,first_tourney_date_month,first_tourney_date_day,last_tourney_date,last_tourney_date_year,last_tourney_date_month,last_tourney_date_day,tourney_fin_commit,tourney_year,tourney_round_name,round_order,match_order,winner_seed,winner_nationality,winner_name,winner_player_id,winner_slug,loser_seed,loser_nationality,loser_name,loser_player_id,loser_slug,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id,match_stats_url_suffix
2006-451,1,Doha,doha,/en/scores/archive/doha/451/2006/results,2006.01.02,2006,01,02,2006.01.08,2006,01,08,1000000,2006,Finals,1,1,(1),SUI,Roger Federer,roger-federer,f324,(7),FRA,Gael Monfils,gael-monfils,mc65,63 765,2,0,13,9,1,0,2006-451-f324-mc65,
2006-451,1,Doha,doha,/en/scores/archive/doha/451/2006/results,2006.01.02,2006,01,02,2006.01.08,2006,01,08,1000000,2006,Semi-Finals,2,1,(1),SUI,Roger Federer,roger-federer,f324,,GER,Tommy Haas,tommy-haas,h355,63 63 ,2,0,12,6,0,0,2006-451-f324-h355,
2006-451,1,Doha,doha,/en/scores/archive/doha/451/2006/results,2006.01.02,2006,01,02,2006.01.08,2006,01,08,1000000,2006,Semi-Finals,2,2,(7),FRA,Gael Monfils,gael-monfils,mc65,,ITA,Filippo Volandri,filippo-volandri,v254,63 64 ,2,0,12,7,0,0,2006-451-mc65-v254,
2006-451,1,Doha,doha,/en/scores/archive/doha/451/2006/results,2006.01.02,2006,01,02,2006.01.08,2006,01,08,1000000,2006,Quarter-Finals,3,1,(1),SUI,Roger Federer,roger-federer,f324,,CYP,Marcos Baghdatis,marcos-baghdatis,b837,64 63 ,2,0,12,7,0,0,2006-451-f324-b837,
2006-451,1,Doha,doha,/en/scores/archive/doha/451/2006/results,2006.01.02,2006,01,02,2006.01.08,2006,01,08,1000000,2006,Quarter-Finals,3,2,,ITA,Filippo Volandri,filippo-volandri,v254,(2),RUS,Nikolay Davydenko,nikolay-davydenko,d402,63 64 ,2,0,12,7,0,0,2006-451-v254-d402,
2006-451,1,Doha,doha,/en/scores/archive/doha/451/2006/results,2006.01.02,2006,01,02,2006.01.08,2006,01,08,1000000,2006,Quarter-Finals,3,3,(7),FRA,Gael Monfils,gael-monfils,mc65,,RUS,Dmitry Tursunov,dmitry-tursunov,t315,62 764,2,0,13,8,1,0,2006-451-mc65-t315,
2006-451,1,Doha,doha,/en/scores/archive/doha/451/2006/results,2006.01.02,2006,01,02,2006.01.08,2006,01,08,1000000,2006,Quarter-Finals,3,4,,GER,Tommy Haas,tommy-haas,h355,,RUS,Mikhail Youzhny,mikhail-youzhny,y061,64 63 ,2,0,12,7,0,0,2006-451-h355-y061,
2006-451,1,Doha,doha,/en/scores/archive/doha/451/2006/results,2006.01.02,2006,01,02,2006.01.08,2006,01,08,1000000,2006,Round of 16,4,1,(1),SUI,Roger Federer,roger-federer,f324,,FRA,Fabrice Santoro,fabrice-santoro,s424,762765,1,0,7,6,1,0,2006-451-f324-s424,
2006-451,1,Doha,doha,/en/scores/archive/doha/451/2006/results,2006.01.02,2006,01,02,2006.01.08,2006,01,08,1000000,2006,Round of 16,4,2,(2),RUS,Nikolay Davydenko,nikolay-davydenko,d402,,CZE,Robin Vik,robin-vik,v247,63 64 ,2,0,12,7,0,0,2006-451-d402-v247,
2006-451,1,Doha,doha,/en/scores/archive/doha/451/2006/results,2006.01.02,2006,01,02,2006.01.08,2006,01,08,1000000,2006,Round of 16,4,3,(7),FRA,Gael Monfils,gael-monfils,mc65,,RSA,Wesley Moodie,wesley-moodie,m759,76364 ,1,0,7,6,1,0,2006-451-mc65-m759,
