tourney_year_id,tourney_order,tourney_name,tourney_slug,tourney_url_suffix,first_tourney_date,first_tourney_date_year,first_tourney_date_month,first_tourney_date_day,last_tourney_date,last_tourney_date_year,last_tourney_date_month,last_tourney_date_day,tourney_fin_commit,tourney_year,tourney_round_name,round_order,match_order,winner_seed,winner_nationality,winner_name,winner_player_id,winner_slug,loser_seed,loser_nationality,loser_name,loser_player_id,loser_slug,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id,match_stats_url_suffix
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Finals,1,1,(4),AUS,Ken McGregor,ken-mcgregor,mq65,(1),AUS,Frank Sedgman,frank-sedgman,s248,75 1210 26 62 ,2,2,16,15,0,1,1952-580-mq65-s248,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Semi-Finals,2,1,(1),AUS,Frank Sedgman,frank-sedgman,s248,(3),AUS,Mervyn Rose,mervyn-rose,r163,62 64 62 ,3,0,18,8,0,0,1952-580-s248-r163,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Semi-Finals,2,2,(4),AUS,Ken McGregor,ken-mcgregor,mq65,(2),USA,Dick Savitt,dick-savitt,ss90,64 64 36 64 ,3,1,21,18,0,0,1952-580-mq65-ss90,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Quarter-Finals,3,1,(1),AUS,Frank Sedgman,frank-sedgman,s248,(8),AUS,Don Candy,don-candy,c182,75 61 64 ,3,0,19,10,0,0,1952-580-s248-c182,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Quarter-Finals,3,2,(2),USA,Dick Savitt,dick-savitt,ss90,(5),AUS,Ian Ayre,ian-ayre,ad80,61 64 57 46 64 ,3,2,27,22,0,0,1952-580-ss90-ad80,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Quarter-Finals,3,3,(3),AUS,Mervyn Rose,mervyn-rose,r163,(6),AUS,Ken Rosewall,ken-rosewall,r075,64 64 57 26 62 ,3,2,25,23,0,0,1952-580-r163-r075,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Quarter-Finals,3,4,(4),AUS,Ken McGregor,ken-mcgregor,mq65,,AUS,Geoff Brown,geoff-brown,b309,64 62 1210 ,2,1,13,8,0,1,1952-580-mq65-b309,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Round of 16,4,1,(1),AUS,Frank Sedgman,frank-sedgman,s248,,USA,"Hamilton ""Ham"" Richardson","hamilton-""ham""-richardson",r160,64 64 60 ,3,0,18,8,0,0,1952-580-s248-r160,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Round of 16,4,2,(2),USA,Dick Savitt,dick-savitt,ss90,,AUS,Neale Fraser,neale-fraser,f113,61 61 62 ,3,0,18,4,0,0,1952-580-ss90-f113,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Round of 16,4,3,(3),AUS,Mervyn Rose,mervyn-rose,r163,,AUS,Clive Wilderspin,clive-wilderspin,w751,62 64 46 97 ,3,1,25,19,0,0,1952-580-r163-w751,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Round of 16,4,4,(4),AUS,Ken McGregor,ken-mcgregor,mq65,,EST,Kristian Lasn,kristian-lasn,le71,61 86 61 ,3,0,20,8,0,0,1952-580-mq65-le71,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Round of 16,4,5,(5),AUS,Ian Ayre,ian-ayre,ad80,,AUS,Adrian Quist,adrian-quist,q964,810 61 61 63 ,4,0,26,6,1,0,1952-580-ad80-q964,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Round of 16,4,6,(6),AUS,Ken Rosewall,ken-rosewall,r075,,AUS,Brian Strohfeldt,brian-strohfeldt,st21,60 62 79 64 ,3,1,25,15,0,0,1952-580-r075-st21,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Round of 16,4,7,,AUS,Geoff Brown,geoff-brown,b309,(7),AUS,Lew Hoad,lew-hoad,h132,75 26 36 63 63 ,3,2,24,23,0,0,1952-580-b309-h132,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Round of 16,4,8,(8),AUS,Don Candy,don-candy,c182,,AUS,George Worthington,george-worthington,w793,68 97 63 64 ,3,1,27,22,0,0,1952-580-c182-w793,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Round of 32,5,1,(1),AUS,Frank Sedgman,frank-sedgman,s248,,AUS,Rex Hartwig,rex-hartwig,h539,61 62 63 ,3,0,18,6,0,0,1952-580-s248-h539,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Round of 32,5,2,(2),USA,Dick Savitt,dick-savitt,ss90,,AUS,William Lean,william-lean,le68,61 60 62 ,3,0,18,3,0,0,1952-580-ss90-le68,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Round of 32,5,3,(3),AUS,Mervyn Rose,mervyn-rose,r163,,AUS,John O'Brien,john-o'brien,o533,61 60 63 ,3,0,18,4,0,0,1952-580-r163-o533,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Round of 32,5,4,(4),AUS,Ken McGregor,ken-mcgregor,mq65,,AUS,Leo Lonergan,leo-lonergan,le69,62 61 60 ,3,0,18,3,0,0,1952-580-mq65-le69,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Round of 32,5,5,(5),AUS,Ian Ayre,ian-ayre,ad80,,AUS,Eric Stewart,eric-stewart,st20,63 60 60 ,3,0,18,3,0,0,1952-580-ad80-st20,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Round of 32,5,6,(6),AUS,Ken Rosewall,ken-rosewall,r075,,AUS,Noel Pearse,noel-pearse,pi49,63 64 62 ,3,0,18,9,0,0,1952-580-r075-pi49,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Round of 32,5,7,(7),AUS,Lew Hoad,lew-hoad,h132,,AUS,John Blacklock,john-blacklock,bo22,60 62 61 ,3,0,18,3,0,0,1952-580-h132-bo22,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Round of 32,5,8,(8),AUS,Don Candy,don-candy,c182,,AUS,Kevin Lonergan,kevin-lonergan,le70,61 62 64 ,3,0,18,7,0,0,1952-580-c182-le70,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Round of 32,5,9,,AUS,Geoff Brown,geoff-brown,b309,,AUS,Ron Clements,ron-clements,ci36,61 60 64 ,3,0,18,5,0,0,1952-580-b309-ci36,
1952-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1952/results,1952.01.19,1952,01,19,1952.01.28,1952,01,28,0.0,1952,Round of 32,5,10,,AUS,Neale Fraser,neale-fraser,f113,,AUS,John Hann,john-hann,hc84,64 68 97 63 ,3,1,27,22,0,0,1952-580-f113-hc84,
