tourney_year_id,tourney_order,tourney_name,tourney_slug,tourney_url_suffix,first_tourney_date,first_tourney_date_year,first_tourney_date_month,first_tourney_date_day,last_tourney_date,last_tourney_date_year,last_tourney_date_month,last_tourney_date_day,tourney_fin_commit,tourney_year,tourney_round_name,round_order,match_order,winner_seed,winner_nationality,winner_name,winner_player_id,winner_slug,loser_seed,loser_nationality,loser_name,loser_player_id,loser_slug,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id,match_stats_url_suffix
1948-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1948/results,1948.01.17,1948,01,17,1948.01.26,1948,01,26,0.0,1948,Finals,1,1,(2),AUS,Adrian Quist,adrian-quist,q964,(1),AUS,John Bromwich,john-bromwich,bo44,64 36 63 26 63 ,3,2,23,22,0,0,1948-580-q964-bo44,
1948-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1948/results,1948.01.17,1948,01,17,1948.01.26,1948,01,26,0.0,1948,Semi-Finals,2,1,(1),AUS,John Bromwich,john-bromwich,bo44,(4),AUS,Geoff Brown,geoff-brown,b309,36 26 64 64 75 ,3,2,24,25,0,0,1948-580-bo44-b309,
1948-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1948/results,1948.01.17,1948,01,17,1948.01.26,1948,01,26,0.0,1948,Semi-Finals,2,2,(2),AUS,Adrian Quist,adrian-quist,q964,(3),AUS,Oswald William Thoma Sidwell,oswald-william-thoma-sidwell,st34,61 62 16 63 ,3,1,19,12,0,0,1948-580-q964-st34,
1948-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1948/results,1948.01.17,1948,01,17,1948.01.26,1948,01,26,0.0,1948,Quarter-Finals,3,1,(1),AUS,John Bromwich,john-bromwich,bo44,(6),AUS,Frank Sedgman,frank-sedgman,s248,62 64 64 ,3,0,18,10,0,0,1948-580-bo44-s248,
1948-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1948/results,1948.01.17,1948,01,17,1948.01.26,1948,01,26,0.0,1948,Quarter-Finals,3,2,(2),AUS,Adrian Quist,adrian-quist,q964,(8),AUS,Robert McCarthy,robert-mccarthy,mq73,63 62 63 ,3,0,18,8,0,0,1948-580-q964-mq73,
1948-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1948/results,1948.01.17,1948,01,17,1948.01.26,1948,01,26,0.0,1948,Quarter-Finals,3,3,(3),AUS,Oswald William Thoma Sidwell,oswald-william-thoma-sidwell,st34,(5),AUS,Colin Long,colin-long,le95,62 57 62 60 ,3,1,23,11,0,0,1948-580-st34-le95,
1948-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1948/results,1948.01.17,1948,01,17,1948.01.26,1948,01,26,0.0,1948,Quarter-Finals,3,4,(4),AUS,Geoff Brown,geoff-brown,b309,(10),USA,Eddie Moylan,eddie-moylan,mq56,75 62 26 75 ,3,1,22,18,0,0,1948-580-b309-mq56,
1948-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1948/results,1948.01.17,1948,01,17,1948.01.26,1948,01,26,0.0,1948,Round of 16,4,1,(1),AUS,John Bromwich,john-bromwich,bo44,,AUS,Keith Rogers,keith-rogers,re41,61 61 60 ,3,0,18,2,0,0,1948-580-bo44-re41,
1948-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1948/results,1948.01.17,1948,01,17,1948.01.26,1948,01,26,0.0,1948,Round of 16,4,2,(2),AUS,Adrian Quist,adrian-quist,q964,,AUS,Jack Dart,jack-dart,dd75,61 63 64 ,3,0,18,8,0,0,1948-580-q964-dd75,
1948-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1948/results,1948.01.17,1948,01,17,1948.01.26,1948,01,26,0.0,1948,Round of 16,4,3,(3),AUS,Oswald William Thoma Sidwell,oswald-william-thoma-sidwell,st34,,AUS,Max Newcombe,max-newcombe,n815,61 63 61 ,3,0,18,5,0,0,1948-580-st34-n815,
