tourney_year_id,tourney_order,tourney_name,tourney_slug,tourney_url_suffix,first_tourney_date,first_tourney_date_year,first_tourney_date_month,first_tourney_date_day,last_tourney_date,last_tourney_date_year,last_tourney_date_month,last_tourney_date_day,tourney_fin_commit,tourney_year,tourney_round_name,round_order,match_order,winner_seed,winner_nationality,winner_name,winner_player_id,winner_slug,loser_seed,loser_nationality,loser_name,loser_player_id,loser_slug,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id,match_stats_url_suffix
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Finals,1,1,(2),AUS,Jack Crawford,jack-crawford,ci73,(1),GBR,Fred Perry,fred-perry,pi74,26 64 64 64 ,3,1,20,18,0,0,1935-580-ci73-pi74,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Semi-Finals,2,1,(1),GBR,Fred Perry,fred-perry,pi74,(5),AUS,Vivian Mcgrath,vivian-mcgrath,mr22,62 63 61 ,3,0,18,6,0,0,1935-580-pi74-mr22,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Semi-Finals,2,2,(2),AUS,Jack Crawford,jack-crawford,ci73,(6),AUS,Adrian Quist,adrian-quist,q964,61 16 62 36 63 ,3,2,22,18,0,0,1935-580-ci73-q964,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Quarter-Finals,3,1,(1),GBR,Fred Perry,fred-perry,pi74,(8),ITA,Giorgio De Stefani,giorgio-de-stefani,dd81,60 60 60 ,3,0,18,0,0,0,1935-580-pi74-dd81,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Quarter-Finals,3,2,(2),AUS,Jack Crawford,jack-crawford,ci73,,AUS,Edgar Moon,edgar-moon,mr21,60 108 62 ,3,0,13,2,1,0,1935-580-ci73-mr21,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Quarter-Finals,3,3,(6),AUS,Adrian Quist,adrian-quist,q964,(3),CZE,Roderich Menzel,roderich-menzel,mr26,61 63 810 16 61 ,4,1,27,12,1,0,1935-580-q964-mr26,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Quarter-Finals,3,4,(5),AUS,Vivian Mcgrath,vivian-mcgrath,mr22,,AUS,Donald Turnbull,donald-turnbull,td92,97 57 64 26 63 ,3,2,28,27,0,0,1935-580-mr22-td92,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 16,4,1,(1),GBR,Fred Perry,fred-perry,pi74,,RSA,Roy Malcolm,roy-malcolm,mq78,62 63 60 ,3,0,18,5,0,0,1935-580-pi74-mq78,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 16,4,2,(2),AUS,Jack Crawford,jack-crawford,ci73,,AUS,Bert Tonkin,bert-tonkin,td89,75 75 75 ,3,0,21,15,0,0,1935-580-ci73-td89,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 16,4,3,(3),CZE,Roderich Menzel,roderich-menzel,mr26,,GBR,Patrick Hughes,patrick-hughes,hd47,64 36 63 61 ,3,1,21,14,0,0,1935-580-mr26-hd47,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 16,4,4,,AUS,Donald Turnbull,donald-turnbull,td92,(4),FRA,Christian Boussus,christian-boussus,bo58,63 63 75 ,3,0,19,11,0,0,1935-580-td92-bo58,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 16,4,5,(5),AUS,Vivian Mcgrath,vivian-mcgrath,mr22,,ESP,Enrique Maier,enrique-maier,ms18,61 57 63 62 ,3,1,23,13,0,0,1935-580-mr22-ms18,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 16,4,6,(6),AUS,Adrian Quist,adrian-quist,q964,,AUS,Harry Hopman,harry-hopman,hd04,810 63 97 61 ,4,0,29,12,1,0,1935-580-q964-hd04,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 16,4,7,(8),ITA,Giorgio De Stefani,giorgio-de-stefani,dd81,,AUS,John Clemenger,john-clemenger,cj18,62 86 62 ,3,0,20,10,0,0,1935-580-dd81-cj18,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 16,4,8,,AUS,Edgar Moon,edgar-moon,mr21,,AUS,John Bromwich,john-bromwich,bo44,64 64 79 26 62 ,3,2,27,25,0,0,1935-580-mr21-bo44,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 32,5,1,(1),GBR,Fred Perry,fred-perry,pi74,,AUS,E.J. Mahony,e.j.-mahony,ms16,63 64 62 ,3,0,18,9,0,0,1935-580-pi74-ms16,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 32,5,2,(2),AUS,Jack Crawford,jack-crawford,ci73,,AUS,Alan Temple,alan-temple,te45,61 61 62 ,3,0,18,4,0,0,1935-580-ci73-te45,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 32,5,3,(3),CZE,Roderich Menzel,roderich-menzel,mr26,,AUS,William Ryan,william-ryan,re77,64 61 36 63 ,3,1,21,14,0,0,1935-580-mr26-re77,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 32,5,4,(4),FRA,Christian Boussus,christian-boussus,bo58,,AUS,Arthur Huxley,arthur-huxley,hd82,61 62 86 ,3,0,20,9,0,0,1935-580-bo58-hd82,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 32,5,5,(5),AUS,Vivian Mcgrath,vivian-mcgrath,mr22,,AUS,Colin McKenzie,colin-mckenzie,ms17,60 63 64 ,3,0,18,7,0,0,1935-580-mr22-ms17,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 32,5,6,(6),AUS,Adrian Quist,adrian-quist,q964,,AUS,John Walton,john-walton,w866,61 62 63 ,3,0,18,6,0,0,1935-580-q964-w866,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 32,5,7,,AUS,John Bromwich,john-bromwich,bo44,(7),RSA,Vernon Kirby,vernon-kirby,kg03,46 62 75 61 ,3,1,23,14,0,0,1935-580-bo44-kg03,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 32,5,8,(8),ITA,Giorgio De Stefani,giorgio-de-stefani,dd81,,AUS,Dudley Frankenberg,dudley-frankenberg,fa19,61 61 61 ,3,0,18,3,0,0,1935-580-dd81-fa19,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 32,5,9,,AUS,John Clemenger,john-clemenger,cj18,,FRA,Jacques Brugnon,jacques-brugnon,bo88,64 64 62 ,3,0,18,10,0,0,1935-580-cj18-bo88,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 32,5,10,,AUS,Harry Hopman,harry-hopman,hd04,,AUS,Reg Ewin,reg-ewin,e913,60 60 63 ,3,0,18,3,0,0,1935-580-hd04-e913,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 32,5,11,,GBR,Patrick Hughes,patrick-hughes,hd47,,USA,William Robertson,william-robertson,re74,61 60 63 ,3,0,18,4,0,0,1935-580-hd47-re74,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 32,5,12,,ESP,Enrique Maier,enrique-maier,ms18,,AUS,Abel Kay,abel-kay,kg01,61 64 63 ,3,0,18,8,0,0,1935-580-ms18-kg01,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 32,5,13,,RSA,Roy Malcolm,roy-malcolm,mq78,,AUS,F.A. Knight,f.a.-knight,kg02,63 75 63 ,3,0,19,11,0,0,1935-580-mq78-kg02,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 32,5,14,,AUS,Edgar Moon,edgar-moon,mr21,,AUS,Jack Purcell,jack-purcell,pi69,63 16 62 61 ,3,1,19,12,0,0,1935-580-mr21-pi69,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 32,5,15,,AUS,Bert Tonkin,bert-tonkin,td89,,AUS,Ronald Cummings,ronald-cummings,cj15,75 68 63 36 62 ,3,2,28,24,0,0,1935-580-td89-cj15,
1935-580,1,Australian Championships,australian-championships,/en/scores/archive/australian-championships/580/1935/results,1935.01.01,1935,01,01,1935.01.14,1935,01,14,0.0,1935,Round of 32,5,16,,AUS,Donald Turnbull,donald-turnbull,td92,,AUS,John Grinstead,john-grinstead,gh19,97 64 63 ,3,0,21,14,0,0,1935-580-td92-gh19,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Finals,1,1,(2),GBR,Fred Perry,fred-perry,pi74,(1),GER,Gottfried Von Cramm,gottfried-von-cramm,v911,63 36 61 63 ,3,1,21,13,0,0,1935-520-pi74-v911,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Semi-Finals,2,1,(1),GER,Gottfried Von Cramm,gottfried-von-cramm,v911,(4),GBR,Bunny Austin,bunny-austin,ae29,62 57 61 57 60 ,3,2,28,17,0,0,1935-520-v911-ae29,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Semi-Finals,2,2,(2),GBR,Fred Perry,fred-perry,pi74,(3),AUS,Jack Crawford,jack-crawford,ci73,63 86 63 ,3,0,20,12,0,0,1935-520-pi74-ci73,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Quarter-Finals,3,1,(1),GER,Gottfried Von Cramm,gottfried-von-cramm,v911,(8),AUS,Vivian Mcgrath,vivian-mcgrath,mr22,62 64 36 63 ,3,1,21,15,0,0,1935-520-v911-mr22,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Quarter-Finals,3,2,(2),GBR,Fred Perry,fred-perry,pi74,(7),FRA,Christian Boussus,christian-boussus,bo58,61 60 64 ,3,0,18,5,0,0,1935-520-pi74-bo58,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Quarter-Finals,3,3,(3),AUS,Jack Crawford,jack-crawford,ci73,(11),FRA,Marcel Bernard,marcel-bernard,bo26,63 61 61 ,3,0,18,5,0,0,1935-520-ci73-bo26,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Quarter-Finals,3,4,(4),GBR,Bunny Austin,bunny-austin,ae29,(5),CZE,Roderich Menzel,roderich-menzel,mr26,16 108 26 64 62 ,3,2,16,18,1,0,1935-520-ae29-mr26,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 16,4,1,(1),GER,Gottfried Von Cramm,gottfried-von-cramm,v911,,USA,Ladislav Hecht,ladislav-hecht,hc94,63 75 62 ,3,0,19,10,0,0,1935-520-v911-hc94,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 16,4,2,(2),GBR,Fred Perry,fred-perry,pi74,(15),AUS,Donald Turnbull,donald-turnbull,td92,63 63 63 ,3,0,18,9,0,0,1935-520-pi74-td92,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 16,4,3,(3),AUS,Jack Crawford,jack-crawford,ci73,(14),CZE,Josef Caska,josef-caska,cj39,63 97 61 ,3,0,21,11,0,0,1935-520-ci73-cj39,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 16,4,4,(4),GBR,Bunny Austin,bunny-austin,ae29,(13),FRA,Andre Merlin,andre-merlin,mr29,60 61 64 ,3,0,18,5,0,0,1935-520-ae29-mr29,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 16,4,5,(5),CZE,Roderich Menzel,roderich-menzel,mr26,(12),AUS,Adrian Quist,adrian-quist,q964,64 26 60 62 ,3,1,20,12,0,0,1935-520-mr26-q964,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 16,4,6,(11),FRA,Marcel Bernard,marcel-bernard,bo26,(6),ITA,Giorgio De Stefani,giorgio-de-stefani,dd81,63 97 63 ,3,0,21,13,0,0,1935-520-bo26-dd81,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 16,4,7,(7),FRA,Christian Boussus,christian-boussus,bo58,(10),AUS,Harry Hopman,harry-hopman,hd04,26 57 61 62 60 ,3,2,25,16,0,0,1935-520-bo58-hd04,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 16,4,8,(8),AUS,Vivian Mcgrath,vivian-mcgrath,mr22,(9),FRA,Andre Martin-Legeay,andre-martin-legeay,mr28,61 46 60 75 ,3,1,23,12,0,0,1935-520-mr22-mr28,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 32,5,1,(1),GER,Gottfried Von Cramm,gottfried-von-cramm,v911,,GBR,Frank Wilde,frank-wilde,w829,61 64 64 ,3,0,18,9,0,0,1935-520-v911-w829,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 32,5,2,(2),GBR,Fred Perry,fred-perry,pi74,,ESP,Enrique Maier,enrique-maier,ms18,62 64 62 ,3,0,18,8,0,0,1935-520-pi74-ms18,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 32,5,3,(3),AUS,Jack Crawford,jack-crawford,ci73,,YUG,Josip Palada,josip-palada,pi39,61 63 64 ,3,0,18,8,0,0,1935-520-ci73-pi39,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 32,5,4,(4),GBR,Bunny Austin,bunny-austin,ae29,,ITA,Alberto Del Bono,alberto-del-bono,dd88,62 63 61 ,3,0,18,6,0,0,1935-520-ae29-dd88,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 32,5,5,(5),CZE,Roderich Menzel,roderich-menzel,mr26,,YUG,Franjo Puncec,franjo-puncec,pi63,64 60 63 ,3,0,18,7,0,0,1935-520-mr26-pi63,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 32,5,6,(6),ITA,Giorgio De Stefani,giorgio-de-stefani,dd81,,FRA,Paul Feret,paul-feret,fa02,26 61 62 75 ,3,1,21,14,0,0,1935-520-dd81-fa02,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 32,5,7,(7),FRA,Christian Boussus,christian-boussus,bo58,,GER,Hans Denker,hans-denker,de54,62 60 61 ,3,0,18,3,0,0,1935-520-bo58-de54,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 32,5,8,(8),AUS,Vivian Mcgrath,vivian-mcgrath,mr22,,SUI,Max Ellmer,max-ellmer,e915,63 63 63 ,3,0,18,9,0,0,1935-520-mr22-e915,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 32,5,9,(9),FRA,Andre Martin-Legeay,andre-martin-legeay,mr28,,FRA,Jacques Langanay,jacques-langanay,lf50,75 60 61 ,3,0,19,6,0,0,1935-520-mr28-lf50,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 32,5,10,(10),AUS,Harry Hopman,harry-hopman,hd04,,RSA,Norman Farquharson,norman-farquharson,fa24,62 63 61 ,3,0,18,6,0,0,1935-520-hd04-fa24,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 32,5,11,(11),FRA,Marcel Bernard,marcel-bernard,bo26,,USA,Wilmer Hines,wilmer-hines,hd54,36 86 63 64 ,3,1,23,19,0,0,1935-520-bo26-hd54,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 32,5,12,(12),AUS,Adrian Quist,adrian-quist,q964,,FRA,Jacques Jamain,jacques-jamain,j613,62 64 64 ,3,0,18,10,0,0,1935-520-q964-j613,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 32,5,13,(13),FRA,Andre Merlin,andre-merlin,mr29,,CZE,Josef Malecek,josef-malecek,mr30,62 46 46 61 62 ,3,2,26,17,0,0,1935-520-mr29-mr30,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 32,5,14,(14),CZE,Josef Caska,josef-caska,cj39,,GER,Henner Henkel,henner-henkel,hd86,36 64 63 62 ,3,1,21,15,0,0,1935-520-cj39-hd86,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 32,5,15,(15),AUS,Donald Turnbull,donald-turnbull,td92,,ITA,Augusto Rado,augusto-rado,rf29,60 46 63 62 ,3,1,22,11,0,0,1935-520-td92-rf29,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 32,5,16,,USA,Ladislav Hecht,ladislav-hecht,hc94,(16),RSA,Vernon Kirby,vernon-kirby,kg03,61 60 108 ,3,0,13,1,1,0,1935-520-hc94-kg03,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 64,6,1,(1),GER,Gottfried Von Cramm,gottfried-von-cramm,v911,,,M. Lorewski,m.-lorewski,lf80,63 60 62 ,3,0,18,5,0,0,1935-520-v911-lf80,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 64,6,2,(2),GBR,Fred Perry,fred-perry,pi74,,MON,Vladimir Landau,vladimir-landau,le93,36 64 63 62 ,3,1,21,15,0,0,1935-520-pi74-le93,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 64,6,3,(3),AUS,Jack Crawford,jack-crawford,ci73,,BEL,Pierre Geelhand De Merxem,pierre-geelhand-de-merxem,dd72,62 62 60 ,3,0,18,4,0,0,1935-520-ci73-dd72,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 64,6,4,(4),GBR,Bunny Austin,bunny-austin,ae29,,FRA,Roger Vieillard,roger-vieillard,v922,(W/O),0,0,0,0,0,0,1935-520-ae29-v922,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 64,6,5,(5),CZE,Roderich Menzel,roderich-menzel,mr26,,FRA,Bernard Destremau,bernard-destremau,dd06,61 64 75 ,3,0,19,10,0,0,1935-520-mr26-dd06,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 64,6,6,(6),ITA,Giorgio De Stefani,giorgio-de-stefani,dd81,,SUI,Hector Fisher,hector-fisher,fa23,62 60 61 ,3,0,18,3,0,0,1935-520-dd81-fa23,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 64,6,7,(7),FRA,Christian Boussus,christian-boussus,bo58,,GRE,Georgios Nikolaides,georgios-nikolaides,n839,63 60 60 ,3,0,18,3,0,0,1935-520-bo58-n839,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 64,6,8,(8),AUS,Vivian Mcgrath,vivian-mcgrath,mr22,,FRA,Pierre Goldschmidt,pierre-goldschmidt,gg77,75 1412 62 ,2,1,14,11,0,1,1935-520-mr22-gg77,
1935-520,2,French Championships,french-championships,/en/scores/archive/french-championships/520/1935/results,1935.05.22,1935,05,22,1935.06.02,1935,06,02,0.0,1935,Round of 64,6,9,(9),FRA,Andre Martin-Legeay,andre-martin-legeay,mr28,,GBR,Dennis Cook,dennis-cook,cj91,64 62 63 ,3,0,18,9,0,0,1935-520-mr28-cj91,
